Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
283641,0.0237952,741.484992482699,3.000,0.000,0.000,False
283642,0.0130026,741.497995082289,3.000,0.000,0.000,False
283644,0.0152877,741.513282782398,3.000,0.000,0.000,False
283646,0.0264937,741.539776482619,3.000,0.000,0.000,False
283648,0.0137723,741.553548783064,3.000,0.000,0.000,False
283650,0.0172852,741.5708339829,3.000,0.000,0.000,False
283652,0.0216986,741.592532582581,3.000,0.000,0.000,False
283653,0.0145436,741.607076182961,3.000,0.000,0.000,False
283655,0.0149773,741.62205348257,3.000,0.000,0.000,False
283701,0.1154562,742.089693087153,3.000,0.000,0.000,False
283704,0.0204828,742.110175888054,3.000,0.000,0.000,False
283707,0.0227375,742.132913387381,3.000,0.000,0.000,False
283710,0.0291535,742.162066887133,3.000,0.000,0.000,False
283714,0.0342532,742.196320085786,3.000,0.000,0.000,False
283717,0.0320252,742.22834528517,3.000,0.000,0.000,False
283721,0.0382668,742.266612085514,3.000,0.000,0.000,False
283724,0.0424425,742.309054586105,3.000,0.000,0.000,False
283725,0.0184179,742.327472486533,3.000,0.000,0.000,False
283727,0.0158982,742.343370686285,3.000,0.000,0.000,False
283728,0.0170248,742.360395486467,3.000,0.000,0.000,False
283730,0.0145362,742.374931686558,3.000,0.000,0.000,False
283732,0.0200946,742.395026286133,3.000,0.000,0.000,False
283734,0.0162325,742.411258785985,3.000,0.000,0.000,False
283735,0.0216871,742.432945885696,3.000,0.000,0.000,False
283737,0.0133364,742.446282285266,3.000,0.000,0.000,False
283739,0.0167845,742.463066785596,3.000,0.000,0.000,False
283741,0.017236,742.480302785523,3.000,0.000,0.000,False
283742,0.0173503,742.497653084807,3.000,0.000,0.000,False
283744,0.0207967,742.518449784257,3.000,0.000,0.000,False
283746,0.0136992,742.532148984261,3.000,0.000,0.000,False
283749,0.024254,742.556402984075,3.000,0.000,0.000,False
283750,0.0271118,742.583514784463,3.000,0.000,0.000,False
283752,0.0123384,742.59585318435,3.000,0.000,0.000,False
283753,0.0163965,742.61224968452,3.000,0.000,0.000,False
283755,0.0131285,742.625378184952,3.000,0.000,0.000,False
283757,0.021664,742.647042184137,3.000,0.000,0.000,False
283758,0.0159184,742.662960584275,3.000,0.000,0.000,False
283760,0.0118198,742.674780384637,3.000,0.000,0.000,False
283762,0.0215878,742.696368184872,3.000,0.000,0.000,False
283764,0.0165455,742.712913685478,3.000,0.000,0.000,False
283765,0.0173549,742.730268585496,3.000,0.000,0.000,False
283767,0.0107266,742.74099518545,3.000,0.000,0.000,False
283769,0.0264131,742.76740828529,3.000,0.000,0.000,False
283771,0.0171925,742.784600785002,3.000,0.000,0.000,False
283772,0.0171107,742.80171148479,3.000,0.000,0.000,False
283774,0.0155984,742.817309884354,3.000,0.000,0.000,False
283776,0.0129446,742.830254483968,3.000,0.000,0.000,False
283777,0.0167323,742.846986783668,3.000,0.000,0.000,False
283779,0.0179597,742.864946484566,3.000,0.000,0.000,False
283780,0.0158235,742.880769984797,3.000,0.000,0.000,False
283782,0.0172067,742.897976685315,3.000,0.000,0.000,False
283786,0.0225812,742.920557884499,3.000,0.000,0.000,False
283787,0.0301605,742.950718384236,3.000,0.000,0.000,False
283791,0.0191156,742.969833984971,3.000,0.000,0.000,False
283792,0.0315133,743.001347284764,3.000,0.000,0.000,False
283794,0.0157951,743.017142385244,3.000,0.000,0.000,False
283796,0.0163206,743.033462984487,3.000,0.000,0.000,False
283797,0.015545,743.04900798481,3.000,0.000,0.000,False
283799,0.0178377,743.066845684312,3.000,0.000,0.000,False
283801,0.0147258,743.081571483985,3.000,0.000,0.000,False
283802,0.0172556,743.098827084526,3.000,0.000,0.000,False
283804,0.0127614,743.111588484608,3.000,0.000,0.000,False
283805,0.020132,743.131720484234,3.000,0.000,0.000,False
283807,0.0167577,743.148478184827,3.000,0.000,0.000,False
283809,0.0171283,743.165606484748,3.000,0.000,0.000,False
283810,0.0181129,743.183719384484,3.000,0.000,0.000,False
0,0.0170715,743.200790884905,3.000,0.000,0.000,False
0,0.0169955,743.217786385678,3.000,0.000,0.000,False
283815,0.0183135,743.236099884845,3.000,0.000,0.000,False
283815,0.0290529,743.265152784996,3.000,0.000,0.000,False
283817,0.0146796,743.279832384549,3.000,0.000,0.000,False
283822,0.013372,743.293204384856,3.000,0.000,0.000,False
283824,0.0218258,743.315030184574,3.000,0.000,0.000,False
283825,0.016587,743.331617184915,3.000,0.000,0.000,False
283827,0.0167407,743.348357885145,3.000,0.000,0.000,False
283827,0.011615,743.359972884879,3.000,0.000,0.000,False
283828,0.0224731,743.382445985451,3.000,0.000,0.000,False
283832,0.0181174,743.400563385338,3.000,0.000,0.000,False
283832,0.0166649,743.417228285223,3.000,0.000,0.000,False
283836,0.0111161,743.428344384767,3.000,0.000,0.000,False
283837,0.0224246,743.450768983923,3.000,0.000,0.000,False
283838,0.0179227,743.468691683374,3.000,0.000,0.000,False
283840,0.0128718,743.481563483365,3.000,0.000,0.000,False
283841,0.0203064,743.501869882457,3.000,0.000,0.000,False
283842,0.0166195,743.51848938223,3.000,0.000,0.000,False
283843,0.0145297,743.533019082621,3.000,0.000,0.000,False
283846,0.0127351,743.545754183084,3.000,0.000,0.000,False
283847,0.020971,743.566725183278,3.000,0.000,0.000,False
0,0.0174628,743.584187982604,3.000,0.000,0.000,False
0,0.016749,743.600936982781,3.000,0.000,0.000,False
0,0.0111348,743.612071782351,3.000,0.000,0.000,False
283856,0.0217114,743.633783182129,3.000,0.000,0.000,False
283857,0.0196876,743.653470782563,3.000,0.000,0.000,False
283859,0.0088862,743.662356982939,3.000,0.000,0.000,False
283861,0.0224202,743.684777182527,3.000,0.000,0.000,False
283862,0.0176116,743.702388782986,3.000,0.000,0.000,False
283863,0.0157961,743.718184883706,3.000,0.000,0.000,False
283866,0.0111601,743.729344983585,3.000,0.000,0.000,False
283868,0.0220807,743.75142568443,3.000,0.000,0.000,False
283869,0.0194361,743.770861784928,3.000,0.000,0.000,False
283870,0.01334,743.784201784991,3.000,0.000,0.000,False
283872,0.0125595,743.796761284582,3.000,0.000,0.000,False
283874,0.0215657,743.818326984532,3.000,0.000,0.000,False
283876,0.0201496,743.838476584293,3.000,0.000,0.000,False
283879,0.020353,743.858829584904,3.000,0.000,0.000,False
283882,0.0282647,743.887094284408,3.000,0.000,0.000,False
283884,0.0305652,743.917659484781,3.000,0.000,0.000,False
283885,0.0138183,743.93147778511,3.000,0.000,0.000,False
283887,0.0172389,743.948716685176,3.000,0.000,0.000,False
283888,0.0173176,743.966034285724,3.000,0.000,0.000,False
283890,0.0131334,743.979167685844,3.000,0.000,0.000,False
283892,0.020187,743.999354685657,3.000,0.000,0.000,False
283894,0.0170937,744.016448385082,3.000,0.000,0.000,False
283895,0.0158656,744.032313984819,3.000,0.000,0.000,False
283897,0.0119464,744.044260384515,3.000,0.000,0.000,False
283899,0.0242388,744.068499185145,3.000,0.000,0.000,False
283901,0.0182697,744.086768886074,3.000,0.000,0.000,False
283902,0.0177314,744.104500286281,3.000,0.000,0.000,False
283904,0.0075489,744.112049186137,3.000,0.000,0.000,False
283905,0.0237617,744.135810886975,3.000,0.000,0.000,False
283907,0.0137405,744.149551387411,3.000,0.000,0.000,False
283909,0.0123955,744.161946887616,3.000,0.000,0.000,False
283910,0.0203821,744.182328988332,3.000,0.000,0.000,False
283912,0.0172339,744.199562889058,3.000,0.000,0.000,False
283913,0.017159,744.216721889097,3.000,0.000,0.000,False
283916,0.0120137,744.228735588957,3.000,0.000,0.000,False
283917,0.0219831,744.250718689058,3.000,0.000,0.000,False
283919,0.0112169,744.261935589369,3.000,0.000,0.000,False
283920,0.023777,744.285712589975,3.000,0.000,0.000,False
283922,0.0116397,744.297352290247,3.000,0.000,0.000,False
283924,0.0225139,744.319866190199,3.000,0.000,0.000,False
283925,0.0178742,744.337740390096,3.000,0.000,0.000,False
283927,0.0104151,744.348155489657,3.000,0.000,0.000,False
283929,0.022668,744.370823489968,3.000,0.000,0.000,False
283931,0.014327,744.385150489863,3.000,0.000,0.000,False
283932,0.0166593,744.401809790637,3.000,0.000,0.000,False
283934,0.0120819,744.413891690318,3.000,0.000,0.000,False
0,0.0203626,744.434254291002,3.000,0.000,0.000,False
0,0.0116269,744.445881191175,3.000,0.000,0.000,False
0,0.0218058,744.467686991673,3.000,0.000,0.000,False
0,0.0125214,744.480208391789,3.000,0.000,0.000,False
283939,0.0217922,744.502000591252,3.000,0.000,0.000,False
283941,0.0180934,744.520093990956,3.000,0.000,0.000,False
283945,0.0145067,744.534600691404,3.000,0.000,0.000,False
283946,0.0110715,744.545672191773,3.000,0.000,0.000,False
283949,0.0244166,744.570088791195,3.000,0.000,0.000,False
283951,0.0147903,744.584879091475,3.000,0.000,0.000,False
283951,0.0174192,744.602298291866,3.000,0.000,0.000,False
283952,0.0112745,744.613572791684,3.000,0.000,0.000,False
283955,0.0213782,744.634950992186,3.000,0.000,0.000,False
283957,0.0156948,744.65064579295,3.000,0.000,0.000,False
283959,0.0130012,744.663646992762,3.000,0.000,0.000,False
283961,0.0210635,744.684710491914,3.000,0.000,0.000,False
283962,0.0185915,744.703301992733,3.000,0.000,0.000,False
283964,0.0160854,744.719387392048,3.000,0.000,0.000,False
283966,0.0111206,744.730507991742,3.000,0.000,0.000,False
283967,0.0215908,744.752098790836,3.000,0.000,0.000,False
283969,0.0178072,744.769905991387,3.000,0.000,0.000,False
283970,0.0145944,744.784500391688,3.000,0.000,0.000,False
283972,0.0149825,744.799482891802,3.000,0.000,0.000,False
283974,0.0199734,744.819456290919,3.000,0.000,0.000,False
283975,0.0139624,744.833418691065,3.000,0.000,0.000,False
283977,0.0116631,744.845081790816,3.000,0.000,0.000,False
283979,0.0241162,744.86919799028,3.000,0.000,0.000,False
283980,0.0149737,744.884171690326,3.000,0.000,0.000,False
283982,0.0166342,744.900805890094,3.000,0.000,0.000,False
283983,0.0188396,744.919645489659,3.000,0.000,0.000,False
283985,0.0119516,744.931597089861,3.000,0.000,0.000,False
283987,0.0204711,744.952068189625,3.000,0.000,0.000,False
283989,0.0152686,744.967336789239,3.000,0.000,0.000,False
283990,0.0158467,744.983183488715,3.000,0.000,0.000,False
283992,0.014523,744.997706489172,3.000,0.000,0.000,False
0,0.0195032,745.017209689599,3.000,0.000,0.000,False
0,0.0166441,745.033853789326,3.000,0.000,0.000,False
283996,0.0161183,745.049972088542,3.000,0.000,0.000,False
283999,0.0129896,745.062961688731,3.000,0.000,0.000,False
284000,0.0210127,745.083974387962,3.000,0.000,0.000,False
284002,0.0181217,745.102096088696,3.000,0.000,0.000,False
284003,0.016276,745.118372088764,3.000,0.000,0.000,False
284005,0.0116395,745.130011588801,3.000,0.000,0.000,False
284007,0.0222513,745.152262889314,3.000,0.000,0.000,False
284009,0.0100566,745.162319489289,3.000,0.000,0.000,False
