Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
215317216,0.0154984,25.7198648611084,-0.249,0.012,0.011,0.398,0.727,0.063,0.002,0.020,1.000,0.257
215317217,0.0183738,25.73823866155,-0.249,0.012,0.011,0.408,0.722,0.063,0.002,0.020,1.000,0.257
215317218,0.0078688,25.7461074618623,-0.249,0.012,0.011,0.413,0.721,0.063,0.002,0.020,1.000,0.259
215317220,0.0175507,25.7636581612751,-0.249,0.012,0.011,0.424,0.716,0.063,0.002,0.020,1.000,0.265
215317222,0.0173176,25.7809757618234,-0.249,0.012,0.011,0.432,0.710,0.063,0.002,0.020,1.000,0.270
215317224,0.0186887,25.7996644610539,-0.249,0.012,0.011,0.439,0.708,0.063,0.002,0.020,1.000,0.277
215317226,0.0175003,25.8171647610143,-0.249,0.012,0.011,0.448,0.710,0.063,0.002,0.020,1.000,0.287
215317228,0.0180602,25.8352249609306,-0.249,0.012,0.011,0.460,0.715,0.063,0.002,0.020,1.000,0.293
215317229,0.0192445,25.8544694604352,-0.249,0.012,0.011,0.464,0.729,0.063,0.003,0.020,1.000,0.294
215317231,0.0179112,25.8723806599155,-0.249,0.012,0.011,0.475,0.740,0.062,0.003,0.020,1.000,0.292
215317233,0.0200798,25.8924604607746,-0.249,0.012,0.011,0.481,0.756,0.062,0.003,0.021,1.000,0.291
215317235,0.0211479,25.9136083601043,-0.249,0.012,0.011,0.486,0.761,0.062,0.003,0.021,1.000,0.302
215317238,0.0228762,25.9364845594391,-0.249,0.012,0.011,0.495,0.759,0.062,0.003,0.021,1.000,0.311
215317240,0.0188759,25.9553604600951,-0.249,0.012,0.011,0.508,0.761,0.062,0.003,0.021,1.000,0.311
215317242,0.0209828,25.9763432601467,-0.249,0.012,0.011,0.507,0.763,0.062,0.003,0.021,0.988,0.310
215317244,0.023812,26.0001552598551,-0.249,0.012,0.011,0.497,0.753,0.062,0.002,0.021,0.977,0.308
215317247,0.0238056,26.0239608595148,-0.249,0.011,0.011,0.494,0.741,0.062,0.002,0.021,0.981,0.294
215317249,0.0224115,26.0463723586872,-0.249,0.011,0.012,0.492,0.725,0.062,0.002,0.021,0.979,0.284
215317252,0.0248782,26.0712505588308,-0.249,0.011,0.012,0.494,0.708,0.062,0.002,0.021,0.979,0.277
215317254,0.0267407,26.0979912588373,-0.249,0.011,0.012,0.485,0.709,0.062,0.002,0.022,0.998,0.282
215317257,0.0267427,26.1247339593247,-0.249,0.012,0.012,0.469,0.722,0.062,0.002,0.022,1.000,0.305
215317260,0.0290868,26.1538207596168,-0.249,0.012,0.012,0.442,0.721,0.062,0.001,0.022,1.000,0.317
215317264,0.0307718,26.1845925590023,-0.249,0.012,0.012,0.413,0.721,0.063,0.001,0.022,1.000,0.319
215317266,0.0311472,26.2157397596166,-0.249,0.012,0.012,0.398,0.732,0.063,0.001,0.022,1.000,0.301
0,0.0320563,26.2477960614488,-0.249,0.011,0.012,0.376,0.742,0.063,0.000,0.022,1.000,0.301
0,0.0361149,26.283910962753,-0.250,0.011,0.013,0.350,0.729,0.063,0.000,0.023,1.000,0.288
0,0.0381741,26.3220850629732,-0.250,0.010,0.014,0.332,0.693,0.064,-0.001,0.024,1.000,0.250
0,0.0425093,26.3645943617448,-0.251,0.012,0.016,0.331,0.652,0.063,0.000,0.027,1.000,0.250
0,0.0468911,26.4114854624495,-0.249,0.017,0.019,0.285,0.577,0.063,0.007,0.029,1.000,0.253
215317295,0.0553923,26.4668777612969,-0.242,0.022,0.016,0.096,0.284,0.063,0.018,0.026,1.000,0.269
215317304,0.0664197,26.5332974595949,-0.227,0.034,0.003,0.000,0.000,0.064,0.033,0.020,0.289,0.000
215317305,0.0915877,26.6248851595446,-0.227,0.033,-0.001,0.000,0.000,0.063,0.030,0.018,0.000,0.000
215317307,0.0098163,26.6347014596686,-0.224,0.035,-0.002,0.000,0.000,0.062,0.033,0.017,0.000,0.000
215317309,0.0173789,26.6520803598687,-0.222,0.036,-0.006,0.000,0.000,0.061,0.032,0.013,0.000,0.000
215317310,0.0162118,26.6682921601459,-0.220,0.037,-0.009,0.000,0.000,0.060,0.031,0.011,0.000,0.000
215317312,0.0182189,26.6865110592917,-0.217,0.040,-0.011,0.000,0.000,0.060,0.033,0.010,0.000,0.000
215317314,0.0160081,26.7025191588327,-0.215,0.041,-0.012,0.000,0.000,0.060,0.034,0.009,0.000,0.000
215317316,0.0186529,26.7211720580235,-0.213,0.043,-0.013,0.000,0.000,0.060,0.034,0.009,0.000,0.000
215317317,0.0163658,26.7375378580764,-0.211,0.044,-0.014,0.000,0.000,0.060,0.034,0.009,0.000,0.000
215317319,0.0154542,26.7529920581728,-0.209,0.044,-0.014,0.000,0.000,0.059,0.034,0.009,0.000,0.000
215317321,0.0164767,26.7694687582552,-0.208,0.044,-0.015,0.000,0.000,0.059,0.033,0.009,0.000,0.000
215317322,0.0155286,26.7849973579869,-0.206,0.044,-0.015,0.000,0.000,0.059,0.033,0.008,0.000,0.000
215317324,0.0172028,26.8022001581267,-0.205,0.043,-0.014,0.000,0.000,0.059,0.033,0.008,0.000,0.000
215317325,0.0160283,26.8182284580544,-0.205,0.043,-0.014,0.000,0.000,0.059,0.032,0.008,0.000,0.000
215317327,0.0165424,26.8347708573565,-0.204,0.041,-0.014,0.000,0.000,0.059,0.032,0.008,0.000,0.000
