Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
215523498,0.0139072,51.0615674685687,-0.076,0.465,-0.454,3.752,10.863,2.784
215523500,0.0121565,51.0737239681184,-0.076,0.465,-0.454,3.732,10.768,2.800
215523501,0.0179774,51.09170136787,-0.076,0.465,-0.454,3.724,10.669,2.831
215523503,0.0167753,51.1084766685963,-0.077,0.465,-0.454,3.719,10.534,2.857
215523505,0.016552,51.1250286679715,-0.077,0.465,-0.454,3.717,10.422,2.881
215523553,0.1132081,51.6130915693939,-0.081,0.465,-0.453,4.142,8.427,3.346
215523554,0.0165177,51.6296092700213,-0.081,0.465,-0.453,4.159,8.359,3.330
215523557,0.0096418,51.6392510700971,-0.081,0.465,-0.453,4.170,8.303,3.305
215523558,0.0271843,51.6664353702217,-0.081,0.464,-0.453,4.198,8.135,3.262
215523561,0.0096671,51.6761024706066,-0.081,0.464,-0.453,4.209,8.081,3.254
215523562,0.0248966,51.7009990699589,-0.081,0.464,-0.453,4.241,7.907,3.236
215523564,0.0104255,51.7114245695993,-0.082,0.464,-0.453,4.236,7.841,3.246
215523565,0.0279007,51.7393252691254,-0.082,0.465,-0.454,4.263,7.609,3.234
215523568,0.0125343,51.7518595689908,-0.082,0.465,-0.454,4.254,7.482,3.245
215523569,0.0219625,51.7738220682368,-0.083,0.465,-0.454,4.229,7.238,3.245
215523572,0.0108071,51.7846291679889,-0.083,0.465,-0.454,4.231,7.120,3.247
215523575,0.0280216,51.8126507680863,-0.083,0.465,-0.454,4.210,6.723,3.266
215523576,0.0300831,51.8427338674665,-0.084,0.465,-0.454,4.191,6.438,3.291
215523578,0.009155,51.8518888670951,-0.084,0.464,-0.454,4.186,6.113,3.318
215523579,0.0245393,51.8764281664044,-0.085,0.464,-0.454,4.190,5.756,3.341
215523581,0.0103175,51.8867456661537,-0.085,0.464,-0.454,4.193,5.380,3.350
215523582,0.0233861,51.9101317664608,-0.086,0.464,-0.454,4.193,5.024,3.368
215523585,0.0074316,51.917563366238,-0.086,0.465,-0.454,4.197,4.609,3.357
215523588,0.0265606,51.944123967085,-0.088,0.465,-0.454,4.204,3.497,3.333
215523591,0.037465,51.9815889657475,-0.091,0.465,-0.454,4.198,1.904,3.358
215523595,0.030204,52.011792965699,-0.093,0.465,-0.454,4.199,0.311,3.359
215523598,0.0304471,52.0422400650568,-0.096,0.465,-0.454,4.244,358.724,3.447
215523599,0.0320393,52.0742793646641,-0.097,0.465,-0.454,4.260,357.994,3.485
215523601,0.0084667,52.0827460647561,-0.098,0.465,-0.454,4.295,357.360,3.531
215523602,0.0247232,52.1074692648835,-0.100,0.465,-0.455,4.331,356.349,3.602
215523604,0.0119127,52.1193819646724,-0.101,0.465,-0.455,4.388,355.637,3.653
215523608,0.0233676,52.1427495651878,-0.105,0.464,-0.455,4.551,353.753,3.824
215523611,0.0327072,52.1754567646421,-0.109,0.464,-0.456,4.698,351.445,4.046
215523612,0.032323,52.2077797637321,-0.112,0.464,-0.456,4.796,350.153,4.192
215523615,0.0079369,52.2157166632824,-0.114,0.464,-0.456,4.884,349.389,4.305
215523616,0.0262311,52.2419477640651,-0.115,0.463,-0.457,4.982,348.639,4.441
