Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
215583337,0.100416,173.708847921807,0.030,0.342,0.500,0.000
215583385,0.1201566,174.25618941756,0.030,0.342,0.500,0.000
215583391,0.0207673,174.276956717018,0.030,0.342,0.500,0.000
215583397,0.0674187,174.344375418965,0.030,0.342,0.500,0.000
215583398,0.0502705,174.394645920489,0.030,0.342,0.500,0.000
215583400,0.0103754,174.405021320563,0.030,0.342,0.500,0.000
215583401,0.0243875,174.42940881988,0.030,0.342,0.500,0.000
215583404,0.0150226,174.44443141995,0.030,0.342,0.500,0.000
215583405,0.0195334,174.463964819442,0.030,0.342,0.500,0.000
215583407,0.009181,174.473145819735,0.030,0.342,0.500,0.000
215583408,0.0269006,174.500046420377,0.030,0.342,0.500,0.000
215583411,0.0096448,174.509691220243,0.030,0.342,0.500,0.000
215583413,0.02963,174.539321220014,0.030,0.342,0.500,0.000
215583415,0.025383,174.564704219345,0.030,0.342,0.500,0.000
215583417,0.0106806,174.575384819414,0.030,0.342,0.500,0.000
215583419,0.0248781,174.600262918975,0.030,0.342,0.500,0.000
215583421,0.0103208,174.610583719332,0.030,0.342,0.500,0.000
215583423,0.0270805,174.63766421983,0.030,0.342,0.500,0.000
215583424,0.018876,174.656540219206,0.030,0.342,0.500,0.000
215583426,0.0124721,174.669012318831,0.030,0.342,0.500,0.000
215583428,0.0234331,174.692445419263,0.030,0.342,0.500,0.000
215583430,0.0080964,174.70054181898,0.030,0.342,0.500,0.000
215583431,0.0262415,174.726783318911,0.030,0.342,0.500,0.000
215583434,0.0079956,174.734778918792,0.030,0.342,0.500,0.000
215583438,0.0345113,174.769290220458,0.030,0.342,0.500,0.000
215583441,0.032846,174.802136220504,0.030,0.342,0.500,0.000
215583444,0.0333185,174.835454721469,0.030,0.342,0.500,0.000
215583445,0.0318004,174.867255121935,0.030,0.342,0.500,0.000
215583448,0.0143024,174.881557521876,0.030,0.342,0.500,0.000
215583449,0.02034,174.901897521224,0.030,0.342,0.500,0.000
215583451,0.0096838,174.911581321154,0.030,0.342,0.500,0.000
215583455,0.0246398,174.936221121345,0.030,0.342,0.500,0.000
215583458,0.0339373,174.970158422831,0.030,0.342,0.500,0.000
215583461,0.0333566,175.003515022341,0.030,0.342,0.500,0.000
215583464,0.0338244,175.037339421455,0.030,0.342,0.500,0.000
215583468,0.0325318,175.069871223066,0.030,0.342,0.500,0.000
215583468,0.0315361,175.101407321636,0.030,0.342,0.500,0.000
215583471,0.0078031,175.109210421797,0.030,0.342,0.500,0.000
215583472,0.0252178,175.134428221267,0.030,0.342,0.500,0.000
215583474,0.0079165,175.142344721127,0.030,0.342,0.500,0.000
215583478,0.0271657,175.169510420877,0.030,0.342,0.500,0.000
215583479,0.0311889,175.200699320529,0.030,0.342,0.500,0.000
215583481,0.0095124,175.210211720783,0.030,0.342,0.500,0.000
215583482,0.0247468,175.234958520625,0.030,0.342,0.500,0.000
215583484,0.0082387,175.243197220843,0.030,0.342,0.500,0.000
215583485,0.0262488,175.26944602048,0.030,0.342,0.500,0.000
215583488,0.0093266,175.278772620019,0.030,0.342,0.500,0.000
215583491,0.0260422,175.304814820644,0.030,0.342,0.500,0.000
215583494,0.0335885,175.338403319474,0.030,0.342,0.500,0.000
215583498,0.031712,175.370115318801,0.030,0.342,0.500,0.000
215583499,0.0321105,175.402225819882,0.030,0.342,0.500,0.000
215583501,0.0083091,175.410534919705,0.030,0.342,0.500,0.000
215583502,0.0254724,175.436007320415,0.030,0.342,0.500,0.000
215583503,0.0088051,175.44481242029,0.030,0.342,0.500,0.000
0,0.0173161,175.462128519546,0.030,0.342,0.500,0.000
0,0.0244473,175.486575819086,0.030,0.342,0.500,0.000
0,0.0174254,175.50400121836,0.030,0.342,0.500,0.000
0,0.0262504,175.530251618009,0.030,0.342,0.500,0.000
215583516,0.0242194,175.554471017327,0.030,0.342,0.500,0.000
0,0.0319911,175.586462119129,0.030,0.342,0.500,0.000
0,0.0159202,175.602382318582,0.030,0.342,0.500,0.000
0,0.0087072,175.611089518759,0.030,0.342,0.500,0.000
0,0.0183424,175.629431918729,0.030,0.342,0.500,0.000
0,0.0261924,175.655624319334,0.030,0.342,0.500,0.000
0,0.03155,175.687174320687,0.030,0.342,0.500,0.000
0,0.0169691,175.704143420327,0.030,0.342,0.500,0.000
0,0.0339152,175.738058619667,0.030,0.342,0.500,0.000
0,0.0239778,175.762036419008,0.030,0.342,0.500,0.000
0,0.0250297,175.787066119257,0.030,0.342,0.500,0.000
0,0.0079995,175.795065619517,0.030,0.342,0.500,0.000
0,0.0273463,175.822411919478,0.030,0.342,0.500,0.000
0,0.0388712,175.861283118371,0.030,0.342,0.500,0.000
0,0.0271869,175.888470018748,0.030,0.342,0.500,0.000
0,0.0322918,175.920761818532,0.030,0.342,0.500,0.000
0,0.0084581,175.929219918791,0.030,0.342,0.500,0.000
0,0.0248338,175.954053719062,0.030,0.342,0.500,0.000
0,0.0102085,175.96426221868,0.030,0.342,0.500,0.000
0,0.0234451,175.987707318272,0.030,0.342,0.500,0.000
215583558,0.018781,176.006488319021,0.030,0.342,0.500,0.000
215583561,0.0084571,176.01494541904,0.030,0.342,0.500,0.000
215583562,0.0254073,176.040352718439,0.030,0.342,0.500,0.000
215583564,0.0081619,176.048514618073,0.030,0.342,0.500,0.000
215583566,0.0149736,176.063488218468,0.030,0.342,0.500,0.000
215583569,0.0241083,176.087596518453,0.030,0.342,0.500,0.000
215583572,0.0341706,176.12176711997,0.030,0.342,0.500,0.000
215583576,0.0322204,176.15398752084,0.030,0.342,0.500,0.000
215583579,0.0370071,176.19099462172,0.030,0.342,0.500,0.000
