Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
215612657,0.1044075,136.709077499807,3.000,0.000,0.000,True
215612705,0.1174086,137.247742801905,3.000,0.000,0.000,True
215612711,0.0169472,137.264690002427,3.000,0.000,0.000,True
215612717,0.0659848,137.330674802884,3.000,0.000,0.000,True
215612723,0.0604919,137.391166703776,3.000,0.000,0.000,True
215612725,0.0598769,137.451043603942,3.000,0.000,0.000,True
215612728,0.0208443,137.471887903288,3.000,0.000,0.000,True
215612729,0.0239058,137.495793703943,3.000,0.000,0.000,True
215612730,0.0103036,137.506097303703,3.000,0.000,0.000,True
215612733,0.0163753,137.522472603247,3.000,0.000,0.000,True
215612736,0.0255703,137.548042902723,3.000,0.000,0.000,True
215612740,0.0329886,137.581031503156,3.000,0.000,0.000,True
215612743,0.0339348,137.614966304973,3.000,0.000,0.000,True
215612744,0.028901,137.643867304549,3.000,0.000,0.000,True
215612745,0.0173688,137.661236103624,3.000,0.000,0.000,True
215612748,0.0088297,137.670065803453,3.000,0.000,0.000,True
215612749,0.0239626,137.69402840361,3.000,0.000,0.000,True
215612751,0.0096079,137.703636303544,3.000,0.000,0.000,True
215612752,0.0255038,137.729140102863,3.000,0.000,0.000,True
215612755,0.0085219,137.737662002444,3.000,0.000,0.000,True
215612755,0.0248794,137.762541402131,3.000,0.000,0.000,True
215612758,0.0103251,137.772866502404,3.000,0.000,0.000,True
215612759,0.0246117,137.79747820273,3.000,0.000,0.000,True
215612761,0.0082238,137.805702002719,3.000,0.000,0.000,True
215612765,0.0279494,137.833651402965,3.000,0.000,0.000,True
215612766,0.0318768,137.865528201684,3.000,0.000,0.000,True
215612768,0.0084172,137.873945401981,3.000,0.000,0.000,True
215612769,0.0240388,137.897984201089,3.000,0.000,0.000,True
215612771,0.008945,137.906929201446,3.000,0.000,0.000,True
215612772,0.023941,137.93087020237,3.000,0.000,0.000,True
215612775,0.0081796,137.939049802721,3.000,0.000,0.000,True
215612776,0.0260648,137.965114602819,3.000,0.000,0.000,True
215612778,0.0079549,137.973069502972,3.000,0.000,0.000,True
215612779,0.0251369,137.998206402175,3.000,0.000,0.000,True
215612781,0.0086809,138.006887301803,3.000,0.000,0.000,True
215612782,0.0252954,138.032182700932,3.000,0.000,0.000,True
215612785,0.008432,138.040614700876,3.000,0.000,0.000,True
215612786,0.0255017,138.066116400994,3.000,0.000,0.000,True
215612788,0.0085422,138.074658600613,3.000,0.000,0.000,True
215612789,0.0258,138.10045860149,3.000,0.000,0.000,True
215612791,0.0082246,138.108683201484,3.000,0.000,0.000,True
215612795,0.0244682,138.133151401766,3.000,0.000,0.000,True
215612796,0.0329336,138.166085002013,3.000,0.000,0.000,True
215612798,0.0075664,138.173651401885,3.000,0.000,0.000,True
215612799,0.0240165,138.197667901404,3.000,0.000,0.000,True
215612801,0.0095262,138.207194101065,3.000,0.000,0.000,True
215612802,0.0239778,138.231171900406,3.000,0.000,0.000,True
215612805,0.0092781,138.24045000039,3.000,0.000,0.000,True
215612806,0.0254152,138.265865201131,3.000,0.000,0.000,True
215612808,0.0076816,138.273546800949,3.000,0.000,0.000,True
215612809,0.0261383,138.299685101025,3.000,0.000,0.000,True
215612811,0.0074571,138.30714220088,3.000,0.000,0.000,True
215612815,0.0270381,138.334180300124,3.000,0.000,0.000,True
215612818,0.03367,138.367850300856,3.000,0.000,0.000,True
215612821,0.0318983,138.399748601951,3.000,0.000,0.000,True
215612822,0.0312207,138.430969302543,3.000,0.000,0.000,True
215612825,0.0090466,138.440015902743,3.000,0.000,0.000,True
215612828,0.0260003,138.466016203165,3.000,0.000,0.000,True
215612831,0.0336542,138.499670404941,3.000,0.000,0.000,True
215612832,0.0312178,138.530888205394,3.000,0.000,0.000,True
215612835,0.0079579,138.538846105337,3.000,0.000,0.000,True
215612838,0.0285093,138.567355405539,3.000,0.000,0.000,True
215612841,0.0304109,138.597766306251,3.000,0.000,0.000,True
215612844,0.0341953,138.631961606443,3.000,0.000,0.000,True
215612845,0.032522,138.664483606815,3.000,0.000,0.000,True
215612848,0.0096531,138.674136706628,3.000,0.000,0.000,True
215612849,0.0240588,138.698195506819,3.000,0.000,0.000,True
215612851,0.0082343,138.706429806538,3.000,0.000,0.000,True
215612852,0.0250101,138.731439906172,3.000,0.000,0.000,True
215612854,0.0083356,138.739775505848,3.000,0.000,0.000,True
215612855,0.0237523,138.763527805917,3.000,0.000,0.000,True
215612858,0.0091928,138.772720606066,3.000,0.000,0.000,True
215612859,0.025179,138.797899606638,3.000,0.000,0.000,True
215612861,0.0095052,138.807404806837,3.000,0.000,0.000,True
215612863,0.0181406,138.825545405969,3.000,0.000,0.000,True
215612865,0.0256159,138.851161306724,3.000,0.000,0.000,True
215612866,0.0163799,138.867541207001,3.000,0.000,0.000,True
215612868,0.0088271,138.876368306577,3.000,0.000,0.000,True
215612869,0.0246555,138.901023807004,3.000,0.000,0.000,True
215612871,0.0077169,138.908740707207,3.000,0.000,0.000,True
215612872,0.0251167,138.933857407887,3.000,0.000,0.000,True
215612875,0.0086528,138.942510207649,3.000,0.000,0.000,True
215612878,0.026028,138.968538207468,3.000,0.000,0.000,True
215612881,0.0342047,139.002742906567,3.000,0.000,0.000,True
215612882,0.0301019,139.032844807487,3.000,0.000,0.000,True
215612885,0.0076476,139.040492407512,3.000,0.000,0.000,True
215612885,0.0253632,139.065855606925,3.000,0.000,0.000,True
215612888,0.0080615,139.073917107191,3.000,0.000,0.000,True
215612889,0.0248448,139.098761906382,3.000,0.000,0.000,True
215612891,0.0088565,139.107618405949,3.000,0.000,0.000,True
215612892,0.0254717,139.133090106305,3.000,0.000,0.000,True
215612895,0.0100129,139.143103006762,3.000,0.000,0.000,True
215612896,0.0232649,139.166367906611,3.000,0.000,0.000,True
215612898,0.0086535,139.175021406729,3.000,0.000,0.000,True
215612899,0.0251795,139.200200906489,3.000,0.000,0.000,True
215612901,0.0090663,139.209267206024,3.000,0.000,0.000,True
215612902,0.0245045,139.233771705534,3.000,0.000,0.000,True
215612904,0.0088826,139.242654305417,3.000,0.000,0.000,True
215612907,0.0175401,139.260194404516,3.000,0.000,0.000,True
215612910,0.0255232,139.285717605148,3.000,0.000,0.000,True
215612911,0.0322832,139.318000806961,3.000,0.000,0.000,True
215612912,0.0157876,139.33378840657,3.000,0.000,0.000,True
215612914,0.0083949,139.342183306348,3.000,0.000,0.000,True
215612916,0.0163999,139.358583205845,3.000,0.000,0.000,True
215612918,0.0259796,139.384562806692,3.000,0.000,0.000,True
215612919,0.0155947,139.400157507043,3.000,0.000,0.000,True
215612921,0.0087263,139.408883806784,3.000,0.000,0.000,True
215612924,0.0260233,139.434907107148,3.000,0.000,0.000,True
215612926,0.0245377,139.459444806445,3.000,0.000,0.000,True
215612929,0.0247722,139.484217007179,3.000,0.000,0.000,True
215612933,0.0321166,139.51633360656,3.000,0.000,0.000,True
