Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
215633799,0.0119765,23.020494107157,0.000,0.000,0.000,False
215633800,0.0180691,23.0385632067919,0.000,0.000,0.000,False
215633802,0.0104845,23.0490477066487,0.000,0.000,0.000,False
215633803,0.0165002,23.0655479058623,0.000,0.000,0.000,False
215633805,0.0165263,23.0820742063224,0.000,0.000,0.000,False
215633807,0.0168342,23.098908405751,0.000,0.000,0.000,False
215633809,0.0170406,23.1159490048885,0.000,0.000,0.000,False
215633810,0.0175309,23.1334799043834,0.000,0.000,0.000,False
215633812,0.0180284,23.1515083052218,0.000,0.000,0.000,False
215633814,0.0193549,23.170863205567,0.000,0.000,0.000,False
215633816,0.0174431,23.1883063055575,0.000,0.000,0.000,False
215633818,0.0198014,23.2081077061594,0.000,0.000,0.000,False
215633820,0.0211982,23.2293059062213,0.000,0.000,0.000,False
215633822,0.018068,23.2473739068955,0.000,0.000,0.000,False
215633824,0.0206161,23.2679900061339,0.000,0.000,0.000,False
215633826,0.021335,23.2893250063062,0.000,0.000,0.000,False
215633828,0.022217,23.3115420062095,0.000,0.000,0.000,False
215633831,0.0227437,23.3342857062817,0.000,0.000,0.000,False
215633833,0.0216198,23.3559055067599,0.000,0.000,0.000,False
215633836,0.0237959,23.3797014076263,0.000,0.000,0.000,False
215633838,0.0246272,23.4043286070228,0.000,0.000,0.000,False
215633841,0.0253192,23.4296478070319,0.000,0.000,0.000,False
215633844,0.0261349,23.4557827077806,0.000,0.000,0.000,False
215633846,0.0294063,23.4851890075952,0.000,0.000,0.000,False
215633849,0.0274385,23.5126275084913,0.000,0.000,0.000,False
215633853,0.0300834,23.5427109077573,0.000,0.000,0.000,False
215633856,0.0323109,23.5750218071043,0.000,0.000,0.000,False
215633860,0.0355694,23.6105912066996,0.000,0.000,0.000,False
215633864,0.0370675,23.6476587057114,0.000,0.000,0.000,False
215633868,0.0388878,23.6865465044975,0.000,0.000,0.000,False
215633872,0.0437186,23.7302651032805,0.000,0.000,0.000,False
0,0.0502631,23.7805282026529,0.000,0.000,0.000,False
0,0.0596026,23.8401308022439,0.000,0.000,0.000,False
215633897,0.0754785,23.9156093038619,0.000,0.000,0.000,False
215633898,0.1015313,24.0171406008303,0.000,0.000,0.000,False
215633900,0.012497,24.0296376012266,0.000,0.000,0.000,False
215633901,0.0170466,24.0466842018068,0.000,0.000,0.000,False
215633903,0.0163902,24.0630744025111,0.000,0.000,0.000,False
215633905,0.01683,24.0799044016749,0.000,0.000,0.000,False
215633906,0.0181152,24.0980196017772,0.000,0.000,0.000,False
215633908,0.0165142,24.1145338024944,0.000,0.000,0.000,False
215633910,0.0169685,24.1315023023635,0.000,0.000,0.000,False
215633911,0.017569,24.1490713022649,0.000,0.000,0.000,False
215633913,0.0165536,24.1656249016523,0.000,0.000,0.000,False
215633915,0.0173423,24.1829672008753,0.000,0.000,0.000,False
215633916,0.0158131,24.1987803000957,0.000,0.000,0.000,False
215633918,0.0167269,24.2155071999878,0.000,0.000,0.000,False
215633920,0.0151937,24.2307008998469,0.000,0.000,0.000,False
215633921,0.0171122,24.2478130990639,0.000,0.000,0.000,False
215633923,0.0158574,24.2636704994366,0.000,0.000,0.000,False
215633925,0.0171823,24.2808527993038,0.000,0.000,0.000,False
215633926,0.0159992,24.2968519991264,0.000,0.000,0.000,False
215633928,0.0177537,24.3146056989208,0.000,0.000,0.000,False
215633929,0.0161207,24.3307263990864,0.000,0.000,0.000,False
215633931,0.018182,24.3489083992317,0.000,0.000,0.000,False
215633933,0.0152193,24.3641276992857,0.000,0.000,0.000,False
215633935,0.0166106,24.38073829934,0.000,0.000,0.000,False
215633936,0.0168282,24.3975664991885,0.000,0.000,0.000,False
215633938,0.0157239,24.413290400058,0.000,0.000,0.000,False
215633940,0.0160663,24.4293566998094,0.000,0.000,0.000,False
215633941,0.01735,24.4467066992074,0.000,0.000,0.000,False
215633943,0.0168707,24.4635773990303,0.000,0.000,0.000,False
215633944,0.0161817,24.4797590989619,0.000,0.000,0.000,False
215633946,0.0167488,24.4965078998357,0.000,0.000,0.000,False
215633948,0.0181297,24.5146376006305,0.000,0.000,0.000,False
215633950,0.0159789,24.5306165013462,0.000,0.000,0.000,False
215633951,0.0171522,24.5477687008679,0.000,0.000,0.000,False
215633953,0.0164021,24.5641708001494,0.000,0.000,0.000,False
215633955,0.0159446,24.5801154002547,0.000,0.000,0.000,False
215633956,0.017651,24.5977663993835,0.000,0.000,0.000,False
215633958,0.0162951,24.6140614990145,0.000,0.000,0.000,False
215633959,0.0154083,24.6294697988778,0.000,0.000,0.000,False
215633961,0.0168589,24.6463286988437,0.000,0.000,0.000,False
215633963,0.0169834,24.6633120980114,0.000,0.000,0.000,False
215633964,0.017829,24.6811410970986,0.000,0.000,0.000,False
215633966,0.0153989,24.6965399971232,0.000,0.000,0.000,False
215633968,0.0171264,24.7136663971469,0.000,0.000,0.000,False
215633970,0.0167555,24.7304218979552,0.000,0.000,0.000,False
215633971,0.0173146,24.7477364977822,0.000,0.000,0.000,False
215633973,0.0170525,24.7647889973596,0.000,0.000,0.000,False
215633975,0.0169941,24.7817830974236,0.000,0.000,0.000,False
215633976,0.016313,24.7980960970744,0.000,0.000,0.000,False
215633978,0.0174148,24.8155108978972,0.000,0.000,0.000,False
215633979,0.0172293,24.8327401978895,0.000,0.000,0.000,False
215633981,0.0155399,24.8482800982893,0.000,0.000,0.000,False
215633983,0.015414,24.8636940978467,0.000,0.000,0.000,False
215633984,0.0168581,24.8805521987379,0.000,0.000,0.000,False
215633986,0.0163703,24.8969224989414,0.000,0.000,0.000,False
215633988,0.0170581,24.9139805994928,0.000,0.000,0.000,False
215633989,0.0166625,24.9306431002915,0.000,0.000,0.000,False
215633991,0.0165935,24.9472365994006,0.000,0.000,0.000,False
215633993,0.0178761,24.9651126991957,0.000,0.000,0.000,False
215633995,0.0162517,24.9813643991947,0.000,0.000,0.000,False
215633996,0.0175692,24.9989335983992,0.000,0.000,0.000,False
0,0.0162859,25.0152194984257,0.000,0.000,0.000,False
215633999,0.0162983,25.031517798081,0.000,0.000,0.000,False
215634001,0.016943,25.0484607983381,0.000,0.000,0.000,False
215634003,0.0153628,25.063823598437,0.000,0.000,0.000,False
215634004,0.0162386,25.0800621984527,0.000,0.000,0.000,False
215634006,0.0167877,25.0968498988077,0.000,0.000,0.000,False
215634008,0.0166429,25.1134927989915,0.000,0.000,0.000,False
215634009,0.0165893,25.1300820996985,0.000,0.000,0.000,False
215634011,0.0174999,25.1475819991902,0.000,0.000,0.000,False
215634013,0.0175382,25.1651201983914,0.000,0.000,0.000,False
215634014,0.0160494,25.1811695983633,0.000,0.000,0.000,False
215634016,0.0172548,25.1984243979678,0.000,0.000,0.000,False
215634018,0.0167326,25.215156997554,0.000,0.000,0.000,False
215634019,0.0158433,25.2310002977028,0.000,0.000,0.000,False
215634021,0.0178539,25.2488541984931,0.000,0.000,0.000,False
215634023,0.0168538,25.2657079985365,0.000,0.000,0.000,False
215634024,0.0157126,25.2814205987379,0.000,0.000,0.000,False
215634026,0.0165255,25.2979460982606,0.000,0.000,0.000,False
215634028,0.0163235,25.3142695976421,0.000,0.000,0.000,False
215634029,0.0172233,25.3314928980544,0.000,0.000,0.000,False
215634031,0.0171596,25.3486524978653,0.000,0.000,0.000,False
215634033,0.0163075,25.364959997125,0.000,0.000,0.000,False
215634034,0.0166173,25.3815772971138,0.000,0.000,0.000,False
215634036,0.0167964,25.3983736978844,0.000,0.000,0.000,False
215634038,0.0176509,25.416024598293,0.000,0.000,0.000,False
215634039,0.0164273,25.4324518991634,0.000,0.000,0.000,False
215634041,0.016504,25.4489559000358,0.000,0.000,0.000,False
215634043,0.0177661,25.466721999459,0.000,0.000,0.000,False
215634044,0.0162792,25.4830011995509,0.000,0.000,0.000,False
215634046,0.0156505,25.498651699163,0.000,0.000,0.000,False
215634048,0.0170117,25.5156633993611,0.000,0.000,0.000,False
215634050,0.0154795,25.5311428997666,0.000,0.000,0.000,False
215634051,0.0177631,25.548906000331,0.000,0.000,0.000,False
215634053,0.0161872,25.5650932006538,0.000,0.000,0.000,False
215634054,0.0164637,25.5815569013357,0.000,0.000,0.000,False
215634056,0.0168006,25.5983575005084,0.000,0.000,0.000,False
215634058,0.0169313,25.6152887996286,0.000,0.000,0.000,False
215634059,0.0166655,25.631954299286,0.000,0.000,0.000,False
215634061,0.0181974,25.6501516997814,0.000,0.000,0.000,False
215634063,0.0164538,25.6666055005044,0.000,0.000,0.000,False
0,0.0170625,25.6836680006236,0.000,0.000,0.000,False
0,0.0153407,25.6990087004378,0.000,0.000,0.000,False
0,0.0169844,25.7159930998459,0.000,0.000,0.000,False
0,0.0154192,25.7314122999087,0.000,0.000,0.000,False
0,0.0165452,25.7479575006291,0.000,0.000,0.000,False
215634072,0.0167479,25.7647053999826,0.000,0.000,0.000,False
215634074,0.0170912,25.7817965997383,0.000,0.000,0.000,False
215634076,0.0164813,25.7982779005542,0.000,0.000,0.000,False
215634078,0.0189084,25.8171863006428,0.000,0.000,0.000,False
215634079,0.0148426,25.8320289002731,0.000,0.000,0.000,False
215634081,0.0177801,25.8498090011999,0.000,0.000,0.000,False
215634083,0.0167603,25.8665693020448,0.000,0.000,0.000,False
215634084,0.016111,25.8826803015545,0.000,0.000,0.000,False
215634086,0.0157496,25.8984299013391,0.000,0.000,0.000,False
215634088,0.0152208,25.9136507017538,0.000,0.000,0.000,False
215634089,0.0164608,25.9301115022972,0.000,0.000,0.000,False
215634091,0.0173503,25.9474618015811,0.000,0.000,0.000,False
215634093,0.0158863,25.9633481008932,0.000,0.000,0.000,False
215634094,0.0221979,25.9855460012332,0.000,0.000,0.000,False
215634096,0.0104923,25.9960383009166,0.000,0.000,0.000,False
215634097,0.0177628,26.0138011015952,0.000,0.000,0.000,False
215634099,0.0157752,26.0295763015747,0.000,0.000,0.000,False
215634101,0.0182125,26.0477888006717,0.000,0.000,0.000,False
215634103,0.0158075,26.0635963007808,0.000,0.000,0.000,False
215634104,0.0172891,26.0808854009956,0.000,0.000,0.000,False
215634106,0.0158778,26.0967632010579,0.000,0.000,0.000,False
215634108,0.0164529,26.1132161002606,0.000,0.000,0.000,False
215634109,0.0164682,26.1296843010932,0.000,0.000,0.000,False
215634111,0.017644,26.1473283004016,0.000,0.000,0.000,False
215634113,0.0160518,26.1633801013231,0.000,0.000,0.000,False
215634114,0.0169371,26.1803172007203,0.000,0.000,0.000,False
215634116,0.0166939,26.1970111001283,0.000,0.000,0.000,False
215634118,0.0166639,26.2136749997735,0.000,0.000,0.000,False
215634119,0.0160768,26.2297517992556,0.000,0.000,0.000,False
215634121,0.0182928,26.2480445988476,0.000,0.000,0.000,False
215634123,0.0157937,26.2638382986188,0.000,0.000,0.000,False
215634124,0.0174455,26.2812837976962,0.000,0.000,0.000,False
215634126,0.017368,26.2986517976969,0.000,0.000,0.000,False
215634128,0.0175134,26.3161651976407,0.000,0.000,0.000,False
215634129,0.0156746,26.3318397980183,0.000,0.000,0.000,False
215634131,0.0157329,26.3475726973265,0.000,0.000,0.000,False
215634133,0.0159921,26.3635647967458,0.000,0.000,0.000,False
215634134,0.0165284,26.380093196407,0.000,0.000,0.000,False
215634136,0.0172014,26.3972945958376,0.000,0.000,0.000,False
215634138,0.0165053,26.4137998949736,0.000,0.000,0.000,False
215634139,0.0167846,26.4305844958872,0.000,0.000,0.000,False
215634141,0.0232599,26.4538443963975,0.000,0.000,0.000,False
215634144,0.0186155,26.4724598955363,0.000,0.000,0.000,False
215634146
