Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
215633799,0.0119765,23.020494107157,-0.097,0.445,-0.446,0.222,8.927,0.328
215633800,0.0180691,23.0385632067919,-0.097,0.445,-0.446,0.224,8.924,0.323
215633802,0.0104845,23.0490477066487,-0.097,0.445,-0.446,0.224,8.925,0.308
215633803,0.0165002,23.0655479058623,-0.097,0.445,-0.446,0.226,8.926,0.301
215633805,0.0165263,23.0820742063224,-0.097,0.445,-0.446,0.219,8.951,0.294
215633807,0.0168342,23.098908405751,-0.097,0.445,-0.446,0.213,8.946,0.297
215633809,0.0170406,23.1159490048885,-0.097,0.445,-0.446,0.203,8.968,0.311
215633810,0.0175309,23.1334799043834,-0.097,0.445,-0.446,0.190,8.976,0.314
215633812,0.0180284,23.1515083052218,-0.097,0.445,-0.446,0.167,8.986,0.296
215633814,0.0193549,23.170863205567,-0.097,0.445,-0.446,0.167,9.002,0.276
215633816,0.0174431,23.1883063055575,-0.097,0.445,-0.446,0.170,9.013,0.273
215633818,0.0198014,23.2081077061594,-0.097,0.445,-0.446,0.178,9.015,0.289
215633820,0.0211982,23.2293059062213,-0.097,0.445,-0.446,0.201,9.013,0.302
215633822,0.018068,23.2473739068955,-0.097,0.445,-0.446,0.225,9.003,0.299
215633824,0.0206161,23.2679900061339,-0.097,0.445,-0.446,0.239,8.995,0.300
215633826,0.021335,23.2893250063062,-0.097,0.445,-0.446,0.257,8.978,0.294
215633828,0.022217,23.3115420062095,-0.097,0.445,-0.446,0.271,8.966,0.295
215633831,0.0227437,23.3342857062817,-0.097,0.445,-0.446,0.258,8.948,0.302
215633833,0.0216198,23.3559055067599,-0.097,0.445,-0.446,0.267,8.947,0.314
215633836,0.0237959,23.3797014076263,-0.097,0.445,-0.446,0.258,8.943,0.343
215633838,0.0246272,23.4043286070228,-0.098,0.445,-0.446,0.259,8.942,0.371
215633841,0.0253192,23.4296478070319,-0.098,0.445,-0.446,0.251,8.930,0.406
215633844,0.0261349,23.4557827077806,-0.098,0.445,-0.446,0.243,8.926,0.443
215633846,0.0294063,23.4851890075952,-0.098,0.445,-0.446,0.235,8.905,0.487
215633849,0.0274385,23.5126275084913,-0.098,0.445,-0.446,0.258,8.865,0.526
215633853,0.0300834,23.5427109077573,-0.098,0.445,-0.446,0.282,8.831,0.550
215633856,0.0323109,23.5750218071043,-0.098,0.445,-0.446,0.306,8.781,0.599
215633860,0.0355694,23.6105912066996,-0.099,0.445,-0.446,0.385,8.741,0.644
215633864,0.0370675,23.6476587057114,-0.099,0.445,-0.446,0.453,8.715,0.692
215633868,0.0388878,23.6865465044975,-0.099,0.445,-0.446,0.647,8.703,0.763
215633872,0.0437186,23.7302651032805,-0.099,0.444,-0.445,1.126,8.542,0.645
0,0.0502631,23.7805282026529,-0.100,0.445,-0.442,1.221,8.243,0.634
0,0.0596026,23.8401308022439,-0.101,0.439,-0.440,5.161,8.445,0.509
215633897,0.0754785,23.9156093038619,-0.103,0.431,-0.442,9.965,8.418,0.773
215633898,0.1015313,24.0171406008303,-0.103,0.430,-0.442,10.358,8.420,0.819
215633900,0.012497,24.0296376012266,-0.103,0.430,-0.442,10.842,8.424,0.905
215633901,0.0170466,24.0466842018068,-0.103,0.429,-0.443,11.191,8.433,0.986
215633903,0.0163902,24.0630744025111,-0.103,0.429,-0.443,11.226,8.436,1.061
215633905,0.01683,24.0799044016749,-0.103,0.430,-0.443,11.089,8.443,1.090
215633906,0.0181152,24.0980196017772,-0.104,0.429,-0.443,11.560,8.464,1.211
215633908,0.0165142,24.1145338024944,-0.104,0.429,-0.443,11.971,8.515,1.346
215633910,0.0169685,24.1315023023635,-0.104,0.428,-0.443,12.309,8.594,1.477
215633911,0.017569,24.1490713022649,-0.104,0.428,-0.443,12.617,8.698,1.612
215633913,0.0165536,24.1656249016523,-0.105,0.427,-0.443,12.871,8.783,1.734
215633915,0.0173423,24.1829672008753,-0.105,0.427,-0.442,13.070,8.884,1.868
215633916,0.0158131,24.1987803000957,-0.105,0.427,-0.442,13.244,8.994,2.008
215633918,0.0167269,24.2155071999878,-0.105,0.427,-0.442,13.405,9.104,2.138
215633920,0.0151937,24.2307008998469,-0.105,0.427,-0.442,13.523,9.219,2.229
215633921,0.0171122,24.2478130990639,-0.105,0.427,-0.442,13.577,9.307,2.271
215633923,0.0158574,24.2636704994366,-0.104,0.427,-0.442,13.607,9.392,2.297
215633925,0.0171823,24.2808527993038,-0.104,0.426,-0.442,13.625,9.448,2.312
215633926,0.0159992,24.2968519991264,-0.104,0.426,-0.441,13.681,9.510,2.327
215633928,0.0177537,24.3146056989208,-0.104,0.426,-0.441,13.744,9.550,2.337
215633929,0.0161207,24.3307263990864,-0.104,0.426,-0.442,13.810,9.575,2.340
215633931,0.018182,24.3489083992317,-0.104,0.426,-0.442,13.858,9.584,2.338
215633933,0.0152193,24.3641276992857,-0.104,0.426,-0.442,13.913,9.555,2.331
215633935,0.0166106,24.38073829934,-0.104,0.426,-0.442,13.962,9.522,2.337
215633936,0.0168282,24.3975664991885,-0.104,0.425,-0.442,13.999,9.475,2.354
215633938,0.0157239,24.413290400058,-0.104,0.425,-0.442,14.053,9.422,2.376
215633940,0.0160663,24.4293566998094,-0.104,0.425,-0.442,14.093,9.362,2.384
215633941,0.01735,24.4467066992074,-0.104,0.425,-0.442,14.124,9.296,2.388
215633943,0.0168707,24.4635773990303,-0.104,0.425,-0.442,14.144,9.241,2.384
215633944,0.0161817,24.4797590989619,-0.104,0.425,-0.442,14.143,9.191,2.378
