Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
215633799,0.0119765,23.020494107157,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633800,0.0180691,23.0385632067919,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633802,0.0104845,23.0490477066487,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633803,0.0165002,23.0655479058623,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633805,0.0165263,23.0820742063224,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633807,0.0168342,23.098908405751,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633809,0.0170406,23.1159490048885,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633810,0.0175309,23.1334799043834,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633812,0.0180284,23.1515083052218,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633814,0.0193549,23.170863205567,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633816,0.0174431,23.1883063055575,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633818,0.0198014,23.2081077061594,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633820,0.0211982,23.2293059062213,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633822,0.018068,23.2473739068955,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633824,0.0206161,23.2679900061339,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633826,0.021335,23.2893250063062,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633828,0.022217,23.3115420062095,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633831,0.0227437,23.3342857062817,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633833,0.0216198,23.3559055067599,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633836,0.0237959,23.3797014076263,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633838,0.0246272,23.4043286070228,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633841,0.0253192,23.4296478070319,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633844,0.0261349,23.4557827077806,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633846,0.0294063,23.4851890075952,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633849,0.0274385,23.5126275084913,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633853,0.0300834,23.5427109077573,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633856,0.0323109,23.5750218071043,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633860,0.0355694,23.6105912066996,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633864,0.0370675,23.6476587057114,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633868,0.0388878,23.6865465044975,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633872,0.0437186,23.7302651032805,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
0,0.0502631,23.7805282026529,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
0,0.0596026,23.8401308022439,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633897,0.0754785,23.9156093038619,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633898,0.1015313,24.0171406008303,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633900,0.012497,24.0296376012266,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633901,0.0170466,24.0466842018068,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633903,0.0163902,24.0630744025111,-0.197,0.005,-0.163,0.000,0.000,0.009,0.030,-0.175,1.000,0.874
215633905,0.01683,24.0799044016749,-0.197,0.005,-0.163,0.000,0.000,0.018,0.212,-0.192,1.000,0.874
215633906,0.0181152,24.0980196017772,-0.197,0.005,-0.163,0.000,0.000,0.038,0.124,-0.145,0.000,0.410
215633908,0.0165142,24.1145338024944,-0.187,0.143,-0.138,0.000,0.000,0.043,0.121,-0.138,0.000,0.000
215633910,0.0169685,24.1315023023635,-0.184,0.162,-0.149,0.000,0.000,0.035,0.147,-0.150,0.000,0.000
215633911,0.017569,24.1490713022649,-0.185,0.162,-0.145,0.000,0.000,0.031,0.161,-0.156,0.000,0.000
215633913,0.0165536,24.1656249016523,-0.189,0.154,-0.134,0.000,0.000,0.033,0.161,-0.153,0.000,0.000
215633915,0.0173423,24.1829672008753,-0.192,0.149,-0.126,0.000,0.000,0.034,0.159,-0.149,0.119,0.000
215633916,0.0158131,24.1987803000957,-0.192,0.149,-0.123,0.000,0.000,0.035,0.159,-0.147,0.148,0.000
215633918,0.0167269,24.2155071999878,-0.191,0.153,-0.123,0.000,0.000,0.034,0.160,-0.146,0.065,0.000
215633920,0.0151937,24.2307008998469,-0.190,0.156,-0.123,0.000,0.000,0.034,0.161,-0.146,0.025,0.000
215633921,0.0171122,24.2478130990639,-0.189,0.158,-0.124,0.000,0.000,0.034,0.162,-0.146,0.008,0.000
215633923,0.0158574,24.2636704994366,-0.188,0.158,-0.124,0.000,0.000,0.034,0.162,-0.146,0.005,0.000
215633925,0.0171823,24.2808527993038,-0.187,0.159,-0.123,0.000,0.000,0.034,0.162,-0.146,0.000,0.000
215633926,0.0159992,24.2968519991264,-0.187,0.159,-0.123,0.000,0.000,0.035,0.161,-0.146,0.000,0.000
215633928,0.0177537,24.3146056989208,-0.186,0.160,-0.123,0.000,0.000,0.035,0.161,-0.145,0.000,0.000
215633929,0.0161207,24.3307263990864,-0.186,0.160,-0.123,0.000,0.000,0.035,0.161,-0.145,0.000,0.000
215633931,0.018182,24.3489083992317,-0.185,0.160,-0.123,0.000,0.000,0.035,0.160,-0.145,0.000,0.000
215633933,0.0152193,24.3641276992857,-0.185,0.160,-0.123,0.000,0.000,0.035,0.160,-0.145,0.000,0.000
215633935,0.0166106,24.38073829934,-0.184,0.160,-0.123,0.000,0.000,0.036,0.160,-0.145,0.000,0.000
215633936,0.0168282,24.3975664991885,-0.183,0.161,-0.123,0.000,0.000,0.036,0.159,-0.145,0.000,0.000
215633938,0.0157239,24.413290400058,-0.182,0.161,-0.124,0.000,0.000,0.037,0.158,-0.144,0.000,0.000
215633940,0.0160663,24.4293566998094,-0.181,0.162,-0.125,0.000,0.000,0.037,0.158,-0.144,0.000,0.000
215633941,0.01735,24.4467066992074,-0.180,0.163,-0.126,0.000,0.000,0.038,0.157,-0.144,0.000,0.000
215633943,0.0168707,24.4635773990303,-0.180,0.163,-0.127,0.000,0.000,0.039,0.156,-0.144,0.000,0.000
215633944,0.0161817,24.4797590989619,-0.179,0.164,-0.127,0.000,0.000,0.040,0.155,-0.143,0.000,0.000
215633946,0.0167488,24.4965078998357,-0.179,0.163,-0.128,0.000,0.000,0.041,0.155,-0.143,0.000,0.000
215633948,0.0181297,24.5146376006305,-0.178,0.163,-0.128,0.000,0.000,0.043,0.155,-0.142,0.016,0.000
215633950,0.0159789,24.5306165013462,-0.178,0.163,-0.128,0.000,0.000,0.044,0.155,-0.141,0.012,0.000
215633951,0.0171522,24.5477687008679,-0.178,0.162,-0.128,0.000,0.000,0.046,0.155,-0.140,0.000,0.000
215633953,0.0164021,24.5641708001494,-0.178,0.163,-0.128,0.000,0.000,0.049,0.154,-0.138,0.000,0.000
215633955,0.0159446,24.5801154002547,-0.179,0.163,-0.129,0.000,0.000,0.053,0.150,-0.136,0.000,0.000
215633956,0.017651,24.5977663993835,-0.180,0.163,-0.130,0.000,0.000,0.056,0.148,-0.134,0.000,0.000
215633958,0.0162951,24.6140614990145,-0.179,0.163,-0.131,0.000,0.000,0.058,0.145,-0.129,0.000,0.000
215633959,0.0154083,24.6294697988778,-0.178,0.163,-0.132,0.000,0.000,0.059,0.144,-0.124,0.000,0.000
215633961,0.0168589,24.6463286988437,-0.177,0.154,-0.132,0.000,0.000,0.064,0.141,-0.120,0.000,0.000
215633963,0.0169834,24.6633120980114,-0.175,0.147,-0.132,0.000,0.000,0.069,0.137,-0.118,0.000,0.000
215633964,0.017829,24.6811410970986,-0.176,0.145,-0.131,0.000,0.000,0.075,0.136,-0.116,0.000,0.000
215633966,0.0153989,24.6965399971232,-0.176,0.146,-0.130,0.000,0.000,0.080,0.135,-0.111,0.000,0.000
215633968,0.0171264,24.7136663971469,-0.175,0.145,-0.127,0.000,0.000,0.084,0.134,-0.106,0.000,0.000
215633970,0.0167555,24.7304218979552,-0.174,0.143,-0.125,0.000,0.000,0.089,0.131,-0.103,0.000,0.000
215633971,0.0173146,24.7477364977822,-0.174,0.137,-0.122,0.000,0.000,0.093,0.127,-0.100,0.000,0.000
215633973,0.0170525,24.7647889973596,-0.176,0.130,-0.118,0.000,0.000,0.098,0.125,-0.098,0.000,0.000
215633975,0.0169941,24.7817830974236,-0.178,0.124,-0.114,0.000,0.000,0.102,0.123,-0.096,0.000,0.000
215633976,0.016313,24.7980960970744,-0.180,0.118,-0.110,0.000,0.000,0.105,0.122,-0.094,0.000,0.000
215633978,0.0174148,24.8155108978972,-0.181,0.115,-0.108,0.000,0.000,0.108,0.121,-0.093,0.000,0.000
215633979,0.0172293,24.8327401978895,-0.182,0.114,-0.108,0.000,0.000,0.110,0.121,-0.093,0.000,0.000
215633981,0.0155399,24.8482800982893,-0.182,0.116,-0.109,0.000,0.000,0.112,0.120,-0.093,0.000,0.000
