Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
215644668,0.2415819,131.437899898272,-0.080,1.067,2.147,0.000,0.000,0.392,1.000,2.122,0.678,0.000
215644678,0.144755,131.582654904108,-0.075,1.774,3.009,0.080,0.000,0.404,1.701,2.983,0.040,0.104
215644726,0.1183729,132.133821401279,0.074,5.510,5.906,0.123,0.000,-0.407,5.494,5.833,0.081,0.320
215644736,0.0219964,132.155817800667,0.073,5.686,6.123,0.089,0.000,-0.408,5.672,6.049,0.065,0.291
215644746,0.0960994,132.251917199697,0.072,6.219,6.769,0.075,0.000,-0.408,6.205,6.697,0.149,0.326
215644747,0.099735,132.351652198937,0.072,6.753,7.416,0.102,0.000,-0.408,6.739,7.344,0.178,0.305
215644749,0.0099561,132.361608298961,-0.073,6.042,8.184,0.110,0.000,0.408,5.974,8.157,0.179,0.322
215644750,0.0252065,132.386814799625,0.073,7.109,7.848,0.112,0.000,-0.408,7.095,7.776,0.161,0.337
215644753,0.0082031,132.395017900039,-0.073,6.397,8.616,0.110,0.000,0.407,6.330,8.588,0.153,0.336
215644753,0.0248811,132.419899000321,-0.073,6.575,8.832,0.128,0.000,0.407,6.509,8.803,0.133,0.355
215644756,0.0089782,132.428877200466,-0.072,6.753,9.048,0.136,0.000,0.407,6.687,9.019,0.134,0.368
215644757,0.0256578,132.454534999561,-0.072,6.930,9.264,0.156,0.000,0.406,6.865,9.234,0.141,0.364
215644759,0.007962,132.462496999186,0.072,7.821,8.710,0.156,0.000,-0.406,7.804,8.641,0.154,0.364
215644764,0.0259058,132.488402798306,-0.071,7.284,9.695,0.145,0.000,0.405,7.221,9.663,0.164,0.359
215644768,0.0497664,132.538169197273,0.071,8.355,9.355,0.123,0.000,-0.406,8.335,9.287,0.128,0.227
215644769,0.0321163,132.57028549863,-0.070,7.817,10.342,0.106,0.000,0.406,7.754,10.309,0.091,0.137
215644770,0.0168529,132.587138399016,-0.070,7.994,10.557,0.099,0.000,0.407,7.931,10.525,0.060,0.047
215644773,0.009233,132.596371398773,0.070,8.887,10.002,0.091,0.000,-0.408,8.868,9.932,0.057,0.001
215644774,0.0239616,132.620332998689,0.070,9.065,10.217,0.103,0.000,-0.409,9.046,10.147,0.052,0.000
215644776,0.007777,132.628109998535,0.070,9.243,10.433,0.123,0.000,-0.409,9.223,10.363,0.061,0.000
215644777,0.0257678,132.653877798002,0.069,9.421,10.649,0.182,0.000,-0.409,9.401,10.578,0.057,0.000
215644779,0.0083172,132.662194997538,-0.069,8.705,11.419,0.186,0.000,0.410,8.640,11.386,0.052,0.000
215644783,0.0285213,132.6907162969,0.069,9.776,11.079,0.187,0.000,-0.410,9.756,11.009,0.050,0.000
215644786,0.0300058,132.720722096507,0.070,9.954,11.294,0.189,0.000,-0.409,9.934,11.224,0.024,0.000
215644787,0.0317123,132.752434397582,-0.070,9.415,12.282,0.163,0.000,0.409,9.350,12.249,0.001,0.033
215644789,0.008611,132.761045397725,-0.272,0.010,-0.138,0.129,0.000,0.208,-0.002,-0.075,0.000,0.098
215644791,0.0173849,132.778430297505,-0.272,0.011,-0.139,0.108,0.000,0.208,-0.002,-0.075,0.000,0.161
215644793,0.0260571,132.804487397429,-0.272,0.011,-0.139,0.082,0.000,0.208,-0.002,-0.075,0.000,0.239
