Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
215533806,0.1179577,154.171007534023,-0.096,0.450,-0.476,11.421,13.754,3.160
215533813,0.019556,154.190563534852,-0.097,0.450,-0.475,11.379,13.614,3.045
215533819,0.0679056,154.258469132241,-0.097,0.450,-0.475,11.417,13.525,3.166
215533827,0.0591181,154.317587231752,-0.097,0.450,-0.475,11.406,13.242,3.228
215533829,0.0847863,154.402373535093,-0.098,0.450,-0.475,11.438,13.148,3.218
215533830,0.0185608,154.420934335794,-0.097,0.450,-0.475,11.440,13.250,3.214
215533833,0.0091351,154.430069435854,-0.097,0.450,-0.475,11.431,13.235,3.221
215533833,0.0251722,154.455241635907,-0.098,0.450,-0.475,11.418,13.097,3.261
215533836,0.008957,154.464198636357,-0.098,0.450,-0.475,11.405,13.011,3.295
215533838,0.0313065,154.495505137835,-0.099,0.450,-0.475,11.370,12.625,3.364
215533840,0.0128236,154.508328738157,-0.099,0.450,-0.475,11.360,12.477,3.370
215533843,0.0271658,154.53549453849,-0.100,0.450,-0.475,11.313,11.863,3.430
215533844,0.0273896,154.562884139363,-0.102,0.451,-0.475,11.252,10.772,3.525
215533847,0.0149824,154.577866539825,-0.103,0.450,-0.475,11.258,10.722,3.527
215533850,0.0339153,154.611781839747,-0.106,0.451,-0.474,11.239,8.751,3.594
215533851,0.0171425,154.628924340475,-0.109,0.451,-0.474,11.203,7.573,3.564
215533853,0.0093535,154.638277840335,-0.108,0.451,-0.474,11.213,7.772,3.530
215533854,0.0234859,154.661763741169,-0.111,0.450,-0.474,11.214,6.318,3.493
215533856,0.0095588,154.671322540846,-0.111,0.451,-0.474,11.242,6.028,3.480
215533858,0.0257854,154.697107940447,-0.114,0.451,-0.473,11.225,4.324,3.364
215533860,0.0087642,154.705872140359,-0.115,0.451,-0.473,11.218,3.996,3.290
215533861,0.0250711,154.73094323976,-0.118,0.451,-0.473,11.212,2.476,3.131
215533863,0.0078088,154.738752039615,-0.119,0.451,-0.473,11.193,2.106,3.082
215533864,0.0243211,154.763073139358,-0.122,0.451,-0.473,11.112,0.373,2.901
215533866,0.0086432,154.771716339048,-0.123,0.451,-0.473,11.088,0.133,2.884
215533871,0.0209093,154.792625639122,-0.129,0.451,-0.473,10.920,357.452,2.646
215533874,0.0510421,154.843667737674,-0.135,0.452,-0.473,10.816,354.815,2.655
215533879,0.0326748,154.876342538279,-0.142,0.452,-0.474,10.723,352.258,2.808
215533883,0.0492182,154.925560738426,-0.144,0.452,-0.474,10.723,351.589,2.975
215533886,0.0325607,154.958121437114,-0.146,0.452,-0.474,10.773,350.877,3.138
215533889,0.0342044,154.99232583819,-0.149,0.451,-0.474,10.837,350.323,3.330
215533890,0.0296782,155.02200403763,-0.151,0.451,-0.475,10.897,349.757,3.495
215533892,0.0085136,155.030517637264,-0.150,0.451,-0.475,10.874,350.171,3.439
215533893,0.0249984,155.055516037624,-0.151,0.451,-0.475,10.908,349.820,3.578
215533895,0.0086449,155.064160937909,-0.151,0.451,-0.475,10.898,349.871,3.591
215533897,0.016936,155.081096938346,-0.152,0.451,-0.475,10.921,349.786,3.658
