Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
215571679,0.0137577,57.3424391839653,0.000,0.325,0.513,0.000
215571680,0.0176266,57.3600657843053,0.000,0.325,0.513,0.000
215571682,0.0091458,57.3692115843296,0.000,0.325,0.513,0.000
215571684,0.0170706,57.3862821850926,0.000,0.325,0.513,0.000
215571685,0.017277,57.4035591855645,0.000,0.325,0.513,0.000
215571687,0.0170489,57.4206080846488,0.000,0.325,0.513,0.000
215571689,0.0172632,57.4378712847829,0.000,0.325,0.513,0.000
215571691,0.0206455,57.4585167840123,0.000,0.325,0.513,0.000
215571693,0.016027,57.4745437838137,0.000,0.325,0.513,0.000
215571694,0.0201243,57.4946680832654,0.000,0.325,0.513,0.000
215571696,0.0179686,57.5126366838813,0.000,0.325,0.513,0.000
215571698,0.0200305,57.5326671842486,0.000,0.325,0.513,0.000
215571700,0.0190476,57.5517147835344,0.000,0.325,0.513,0.000
215571703,0.0208731,57.5725878830999,0.000,0.325,0.513,0.000
215571705,0.0214928,57.5940806828439,0.000,0.325,0.513,0.000
215571707,0.0215926,57.615673283115,0.000,0.325,0.513,0.000
215571709,0.0222757,57.6379489824176,0.000,0.325,0.513,0.000
215571712,0.0251603,57.6631092820317,0.000,0.325,0.513,0.000
215571714,0.0219105,57.685019781813,0.000,0.325,0.513,0.000
215571716,0.0245869,57.7096066810191,0.000,0.325,0.513,0.000
0,0.0254105,57.7350171804428,0.000,0.325,0.513,0.000
0,0.0270115,57.7620286811143,0.000,0.325,0.513,0.000
0,0.0269041,57.7889327816665,0.000,0.325,0.513,0.000
215571728,0.0304799,57.8194126822054,0.000,0.325,0.513,0.000
0,0.0295103,57.8489229828119,0.000,0.325,0.513,0.000
0,0.0320156,57.8809385821223,0.000,0.325,0.513,0.000
215571738,0.0345436,57.9154821820557,0.000,0.325,0.513,0.000
215571742,0.0374375,57.9529196806252,0.000,0.325,0.513,0.000
215571747,0.0409563,57.9938759803772,0.000,0.325,0.513,0.000
215571752,0.0441372,58.0380131788552,0.000,0.325,0.513,0.000
215571758,0.0530683,58.0910814777017,0.000,0.325,0.513,0.000
215571763,0.0598077,58.1508891768754,0.000,0.325,0.513,0.000
215571771,0.0554658,58.2063549757004,0.000,0.325,0.513,0.000
215571781,0.071032,58.2773869782686,0.000,0.325,0.513,0.000
215571783,0.0993637,58.376750677824,0.000,0.325,0.513,0.000
215571785,0.023249,58.3999996781349,0.000,0.325,0.513,0.000
215571786,0.0159685,58.4159681778401,0.000,0.325,0.513,0.000
215571788,0.0165912,58.4325593784451,0.000,0.325,0.513,0.000
215571789,0.0166479,58.4492072779685,0.000,0.325,0.513,0.000
215571791,0.0158332,58.4650404788554,0.000,0.325,0.513,0.000
