Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
0,0.1861109,0.692321248352528,-0.102,0.462,-0.447,354.872,4.466,1.657
0,0.2016678,0.89398904889822,-0.102,0.462,-0.446,355.872,4.730,0.688
0,0.0896782,0.983667246997356,-0.102,0.463,-0.447,355.694,4.753,0.719
0,0.01385,0.997517246752977,-0.102,0.463,-0.447,355.861,4.811,0.617
0,0.0170586,1.01457584649324,-0.103,0.463,-0.447,356.471,4.934,0.282
0,0.0163138,1.03088964708149,-0.103,0.463,-0.447,357.067,5.043,0.074
0,0.0174762,1.04836584627628,-0.103,0.462,-0.446,357.746,5.152,359.935
0,0.0157495,1.06411534547806,-0.103,0.462,-0.446,358.620,5.275,359.811
0,0.0174147,1.08153004571795,-0.103,0.462,-0.446,359.508,5.385,359.778
0,0.015906,1.09743604622781,-0.103,0.461,-0.447,0.537,5.507,359.791
0,0.0163147,1.11375074647367,-0.103,0.460,-0.447,1.219,5.576,359.863
0,0.0133633,1.12711404636502,-0.103,0.459,-0.447,2.332,5.694,359.953
215599105,0.0183714,1.14548544585705,-0.099,0.429,-0.448,21.547,12.128,359.986
215599129,0.1992899,1.34477534890175,-0.101,0.433,-0.443,20.295,13.094,2.317
215599131,0.2389259,1.58370125293732,-0.102,0.433,-0.442,20.336,12.443,2.339
215599133,0.019511,1.60321225225925,-0.103,0.434,-0.443,20.078,12.105,2.158
215599135,0.0150608,1.61827305238694,-0.103,0.434,-0.443,19.909,11.861,2.087
215599136,0.0154576,1.63373065274209,-0.103,0.434,-0.444,19.787,11.747,2.043
215599138,0.0163414,1.65007205214351,-0.102,0.434,-0.444,19.674,11.729,1.974
215599139,0.0167901,1.66686215158552,-0.102,0.434,-0.444,19.565,11.750,1.873
215599141,0.0164203,1.68328245077282,-0.102,0.434,-0.444,19.634,11.690,1.924
215599143,0.0181679,1.70145035069436,-0.102,0.434,-0.444,19.737,11.587,2.007
215599145,0.015587,1.71703735087067,-0.103,0.434,-0.444,19.807,11.477,2.065
