Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
215612657,0.1044075,136.709077499807,0.010,0.381,0.500,0.000
215612705,0.1174086,137.247742801905,0.010,0.381,0.500,0.000
215612711,0.0169472,137.264690002427,0.010,0.381,0.500,0.000
215612717,0.0659848,137.330674802884,0.010,0.381,0.500,0.000
215612723,0.0604919,137.391166703776,0.010,0.381,0.500,0.000
215612725,0.0598769,137.451043603942,0.010,0.381,0.500,0.000
215612728,0.0208443,137.471887903288,0.010,0.381,0.500,0.000
215612729,0.0239058,137.495793703943,0.010,0.381,0.500,0.000
215612730,0.0103036,137.506097303703,0.010,0.381,0.500,0.000
215612733,0.0163753,137.522472603247,0.010,0.381,0.500,0.000
215612736,0.0255703,137.548042902723,0.010,0.381,0.500,0.000
215612740,0.0329886,137.581031503156,0.010,0.381,0.500,0.000
215612743,0.0339348,137.614966304973,0.010,0.381,0.500,0.000
215612744,0.028901,137.643867304549,0.010,0.381,0.500,0.000
215612745,0.0173688,137.661236103624,0.010,0.381,0.500,0.000
215612748,0.0088297,137.670065803453,0.010,0.381,0.500,0.000
215612749,0.0239626,137.69402840361,0.010,0.381,0.500,0.000
215612751,0.0096079,137.703636303544,0.010,0.381,0.500,0.000
215612752,0.0255038,137.729140102863,0.010,0.381,0.500,0.000
215612755,0.0085219,137.737662002444,0.010,0.381,0.500,0.000
215612755,0.0248794,137.762541402131,0.010,0.381,0.500,0.000
215612758,0.0103251,137.772866502404,0.010,0.381,0.500,0.000
215612759,0.0246117,137.79747820273,0.010,0.381,0.500,0.000
215612761,0.0082238,137.805702002719,0.010,0.381,0.500,0.000
215612765,0.0279494,137.833651402965,0.010,0.381,0.500,0.000
215612766,0.0318768,137.865528201684,0.010,0.381,0.500,0.000
215612768,0.0084172,137.873945401981,0.010,0.381,0.500,0.000
215612769,0.0240388,137.897984201089,0.010,0.381,0.500,0.000
215612771,0.008945,137.906929201446,0.010,0.381,0.500,0.000
215612772,0.023941,137.93087020237,0.010,0.381,0.500,0.000
215612775,0.0081796,137.939049802721,0.010,0.381,0.500,0.000
215612776,0.0260648,137.965114602819,0.010,0.381,0.500,0.000
215612778,0.0079549,137.973069502972,0.010,0.381,0.500,0.000
215612779,0.0251369,137.998206402175,0.010,0.381,0.500,0.000
215612781,0.0086809,138.006887301803,0.010,0.381,0.500,0.000
215612782,0.0252954,138.032182700932,0.010,0.381,0.500,0.000
215612785,0.008432,138.040614700876,0.010,0.381,0.500,0.000
215612786,0.0255017,138.066116400994,0.010,0.381,0.500,0.000
215612788,0.0085422,138.074658600613,0.010,0.381,0.500,0.000
215612789,0.0258,138.10045860149,0.010,0.381,0.500,0.000
215612791,0.0082246,138.108683201484,0.010,0.381,0.500,0.000
215612795,0.0244682,138.133151401766,0.010,0.381,0.500,0.000
215612796,0.0329336,138.166085002013,0.010,0.381,0.500,0.000
215612798,0.0075664,138.173651401885,0.010,0.381,0.500,0.000
215612799,0.0240165,138.197667901404,0.010,0.381,0.500,0.000
215612801,0.0095262,138.207194101065,0.010,0.381,0.500,0.000
215612802,0.0239778,138.231171900406,0.010,0.381,0.500,0.000
215612805,0.0092781,138.24045000039,0.010,0.381,0.500,0.000
215612806,0.0254152,138.265865201131,0.010,0.381,0.500,0.000
215612808,0.0076816,138.273546800949,0.010,0.381,0.500,0.000
215612809,0.0261383,138.299685101025,0.010,0.381,0.500,0.000
215612811,0.0074571,138.30714220088,0.010,0.381,0.500,0.000
215612815,0.0270381,138.334180300124,0.010,0.381,0.500,0.000
215612818,0.03367,138.367850300856,0.010,0.381,0.500,0.000
215612821,0.0318983,138.399748601951,0.010,0.381,0.500,0.000
215612822,0.0312207,138.430969302543,0.010,0.381,0.500,0.000
215612825,0.0090466,138.440015902743,0.010,0.381,0.500,0.000
215612828,0.0260003,138.466016203165,0.010,0.381,0.500,0.000
215612831,0.0336542,138.499670404941,0.010,0.381,0.500,0.000
215612832,0.0312178,138.530888205394,0.010,0.381,0.500,0.000
215612835,0.0079579,138.538846105337,0.010,0.381,0.500,0.000
215612838,0.0285093,138.567355405539,0.010,0.381,0.500,0.000
215612841,0.0304109,138.597766306251,0.010,0.381,0.500,0.000
215612844,0.0341953,138.631961606443,0.010,0.381,0.500,0.000
215612845,0.032522,138.664483606815,0.010,0.381,0.500,0.000
215612848,0.0096531,138.674136706628,0.010,0.381,0.500,0.000
215612849,0.0240588,138.698195506819,0.010,0.381,0.500,0.000
215612851,0.0082343,138.706429806538,0.010,0.381,0.500,0.000
215612852,0.0250101,138.731439906172,0.010,0.381,0.500,0.000
215612854,0.0083356,138.739775505848,0.010,0.381,0.500,0.000
215612855,0.0237523,138.763527805917,0.010,0.381,0.500,0.000
215612858,0.0091928,138.772720606066,0.010,0.381,0.500,0.000
215612859,0.025179,138.797899606638,0.010,0.381,0.500,0.000
215612861,0.0095052,138.807404806837,0.010,0.381,0.500,0.000
215612863,0.0181406,138.825545405969,0.010,0.381,0.500,0.000
215612865,0.0256159,138.851161306724,0.010,0.381,0.500,0.000
215612866,0.0163799,138.867541207001,0.010,0.381,0.500,0.000
215612868,0.0088271,138.876368306577,0.010,0.381,0.500,0.000
215612869,0.0246555,138.901023807004,0.010,0.381,0.500,0.000
215612871,0.0077169,138.908740707207,0.010,0.381,0.500,0.000
215612872,0.0251167,138.933857407887,0.010,0.381,0.500,0.000
215612875,0.0086528,138.942510207649,0.010,0.381,0.500,0.000
215612878,0.026028,138.968538207468,0.010,0.381,0.500,0.000
215612881,0.0342047,139.002742906567,0.010,0.381,0.500,0.000
215612882,0.0301019,139.032844807487,0.010,0.381,0.500,0.000
215612885,0.0076476,139.040492407512,0.010,0.381,0.500,0.000
215612885,0.0253632,139.065855606925,0.010,0.381,0.500,0.000
215612888,0.0080615,139.073917107191,0.010,0.381,0.500,0.000
215612889,0.0248448,139.098761906382,0.010,0.381,0.500,0.000
215612891,0.0088565,139.107618405949,0.010,0.381,0.500,0.000
215612892,0.0254717,139.133090106305,0.010,0.381,0.500,0.000
215612895,0.0100129,139.143103006762,0.010,0.381,0.500,0.000
215612895,0.0232649,139.166367906611,0.010,0.381,0.500,0.000
215612898,0.0086535,139.175021406729,0.010,0.381,0.500,0.000
215612899,0.0251795,139.200200906489,0.010,0.381,0.500,0.000
