Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
215634173,0.0289286,26.5781955961138,0.000,0.000,0.000,False
215634175,0.0228401,26.601035695523,0.000,0.000,0.000,False
215634177,0.022694,26.6237296946347,0.000,0.000,0.000,False
215634236,0.1151247,27.2154408004135,0.000,0.000,0.000,False
215634237,0.0158614,27.2313021998852,0.000,0.000,0.000,False
215634240,0.0154813,27.246783499606,0.000,0.000,0.000,False
215634242,0.0336681,27.2804516004398,0.000,0.000,0.000,False
215634244,0.0189455,27.2993971006945,0.000,0.000,0.000,False
215634247,0.0147,27.3140971008688,0.000,0.000,0.000,False
215634250,0.0311385,27.3452356010675,0.000,0.000,0.000,False
215634251,0.0297421,27.3749777004123,0.000,0.000,0.000,False
215634254,0.0088956,27.3838733006269,0.000,0.000,0.000,False
215634257,0.0282264,27.4120997004211,0.000,0.000,0.000,False
215634258,0.0324833,27.4445829987526,0.000,0.000,0.000,False
215634261,0.0169341,27.4615170992911,0.000,0.000,0.000,False
215634264,0.0263831,27.4879001993686,0.000,0.000,0.000,False
215634267,0.0241761,27.5120762996376,0.000,0.000,0.000,False
215634270,0.0328155,27.5448918007314,0.000,0.000,0.000,False
215634272,0.032194,27.5770858004689,0.000,0.000,0.000,False
215634273,0.0164728,27.5935586001724,0.000,0.000,0.000,False
215634275,0.0082895,27.6018481003121,0.000,0.000,0.000,False
215634276,0.0245078,27.6263559004292,0.000,0.000,0.000,False
215634279,0.009073,27.6354289008304,0.000,0.000,0.000,False
215634282,0.027587,27.6630159011111,0.000,0.000,0.000,False
215634285,0.0337725,27.6967883994803,0.000,0.000,0.000,False
215634286,0.0305271,27.7273154994473,0.000,0.000,0.000,False
215634288,0.0086741,27.7359895994887,0.000,0.000,0.000,False
215634291,0.0382617,27.7742512999102,0.000,0.000,0.000,False
215634293,0.0135747,27.7878259997815,0.000,0.000,0.000,False
215634295,0.0228844,27.8107104003429,0.000,0.000,0.000,False
215634296,0.0164724,27.8271827995777,0.000,0.000,0.000,False
215634298,0.0097942,27.8369769994169,0.000,0.000,0.000,False
215634300,0.0212936,27.8582705985755,0.000,0.000,0.000,False
215634301,0.0192704,27.8775409981608,0.000,0.000,0.000,False
215634303,0.0086639,27.8862048983574,0.000,0.000,0.000,False
