Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
215706235,0.0128357,42.8660830287263,0.000,0.000,0.000,False
215706236,0.0189789,42.8850619280711,0.000,0.000,0.000,False
215706238,0.0086446,42.8937065284699,0.000,0.000,0.000,False
215706239,0.018647,42.9123535286635,0.000,0.000,0.000,False
215706241,0.0166518,42.9290053285658,0.000,0.000,0.000,False
215706243,0.0182793,42.9472846277058,0.000,0.000,0.000,False
215706245,0.0181983,42.9654829278588,0.000,0.000,0.000,False
215706247,0.0184626,42.9839455280453,0.000,0.000,0.000,False
215706249,0.0181578,43.0021033287048,0.000,0.000,0.000,False
215706251,0.0205413,43.0226446278393,0.000,0.000,0.000,False
215706253,0.0189671,43.0416117273271,0.000,0.000,0.000,False
215706255,0.0221337,43.0637454278767,0.000,0.000,0.000,False
215706257,0.0221164,43.0858618281782,0.000,0.000,0.000,False
215706259,0.0189487,43.1048105284572,0.000,0.000,0.000,False
215706261,0.0219025,43.1267130281776,0.000,0.000,0.000,False
215706264,0.0232221,43.1499351281673,0.000,0.000,0.000,False
215706266,0.023089,43.1730241272599,0.000,0.000,0.000,False
215706269,0.0245803,43.1976044271141,0.000,0.000,0.000,False
0,0.0254083,43.223012726754,0.000,0.000,0.000,False
0,0.0257755,43.2487882263958,0.000,0.000,0.000,False
0,0.0271489,43.2759371269494,0.000,0.000,0.000,False
0,0.0283655,43.3043026272208,0.000,0.000,0.000,False
0,0.0300358,43.33433842659,0.000,0.000,0.000,False
215706286,0.0333073,43.3676457256079,0.000,0.000,0.000,False
215706290,0.0337076,43.4013533256948,0.000,0.000,0.000,False
215706294,0.0364428,43.4377961270511,0.000,0.000,0.000,False
215706299,0.0406472,43.4784433282912,0.000,0.000,0.000,False
215706303,0.0465502,43.5249935276806,0.000,0.000,0.000,False
215706309,0.0482695,43.5732630267739,0.000,0.000,0.000,False
215706316,0.0586532,43.6319162249565,0.000,0.000,0.000,False
215706326,0.0709462,43.7028624266386,0.000,0.000,0.000,False
215706327,0.0996446,43.8025070279837,0.000,0.000,0.000,False
215706329,0.0088105,43.8113175276667,0.000,0.000,0.000,False
215706331,0.0165215,43.8278390280902,0.000,0.000,0.000,False
215706332,0.0171402,43.8449792284518,0.000,0.000,0.000,False
215706334,0.01668,43.8616592288017,0.000,0.000,0.000,False
215706336,0.0165759,43.8782351296395,0.000,0.000,0.000,False
215706337,0.0180428,43.8962779287249,0.000,0.000,0.000,False
215706339,0.0154576,43.91173552908,0.000,0.000,0.000,False
215706341,0.0191354,43.9308709297329,0.000,0.000,0.000,False
215706343,0.0141341,43.9450050294399,0.000,0.000,0.000,False
215706344,0.0179222,43.9629272297025,0.000,0.000,0.000,False
215706346,0.0160002,43.9789274297655,0.000,0.000,0.000,False
215706347,0.0166854,43.9956128299236,0.000,0.000,0.000,False
215706349,0.0161287,44.0117415301502,0.000,0.000,0.000,False
215706351,0.0172641,44.0290056299418,0.000,0.000,0.000,False
215706353,0.0160428,44.045048430562,0.000,0.000,0.000,False
215706354,0.017916,44.0629644300789,0.000,0.000,0.000,False
215706356,0.016356,44.0793204307556,0.000,0.000,0.000,False
215706358,0.0169872,44.096307631582,0.000,0.000,0.000,False
215706359,0.0182403,44.1145479306579,0.000,0.000,0.000,False
215706361,0.0157451,44.1302930302918,0.000,0.000,0.000,False
215706363,0.0155151,44.1458081305027,0.000,0.000,0.000,False
215706364,0.0174044,44.1632125303149,0.000,0.000,0.000,False
215706366,0.0172397,44.1804522294551,0.000,0.000,0.000,False
215706367,0.0163105,44.1967627294362,0.000,0.000,0.000,False
215706369,0.0154712,44.2122339298949,0.000,0.000,0.000,False
215706371,0.0171806,44.2294145291671,0.000,0.000,0.000,False
215706372,0.0158628,44.245277329348,0.000,0.000,0.000,False
215706374,0.0175035,44.2627808293328,0.000,0.000,0.000,False
215706376,0.0174189,44.2801997298375,0.000,0.000,0.000,False
215706377,0.0164391,44.2966388305649,0.000,0.000,0.000,False
215706379,0.0167222,44.3133610310033,0.000,0.000,0.000,False
215706381,0.0172915,44.3306525303051,0.000,0.000,0.000,False
215706383,0.0151237,44.3457762300968,0.000,0.000,0.000,False
215706384,0.0177835,44.363559730351,0.000,0.000,0.000,False
215706386,0.0164552,44.3800149299204,0.000,0.000,0.000,False
215706388,0.0160839,44.3960988298059,0.000,0.000,0.000,False
215706389,0.0174204,44.4135192297399,0.000,0.000,0.000,False
215706391,0.0171931,44.4307123292238,0.000,0.000,0.000,False
215706393,0.0149226,44.4456349294633,0.000,0.000,0.000,False
215706394,0.0178195,44.4634544290602,0.000,0.000,0.000,False
215706396,0.0162337,44.4796881284565,0.000,0.000,0.000,False
215706398,0.0169977,44.4966858290136,0.000,0.000,0.000,False
215706399,0.0164206,44.5131064280868,0.000,0.000,0.000,False
215706401,0.017281,44.5303874276578,0.000,0.000,0.000,False
215706402,0.0199038,44.5502912271768,0.000,0.000,0.000,False
215706404,0.0136223,44.5639135269448,0.000,0.000,0.000,False
215706406,0.0186154,44.5825289273635,0.000,0.000,0.000,False
215706407,0.0140996,44.596628527157,0.000,0.000,0.000,False
215706409,0.0171349,44.6137634264305,0.000,0.000,0.000,False
215706411,0.0165601,44.6303235264495,0.000,0.000,0.000,False
215706413,0.015564,44.6458875266835,0.000,0.000,0.000,False
215706414,0.0179564,44.6638439269736,0.000,0.000,0.000,False
215706416,0.0155313,44.6793752266094,0.000,0.000,0.000,False
