Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
215706235,0.0128357,42.8660830287263,-0.110,0.483,-0.380,3.649,11.791,0.562
215706236,0.0189789,42.8850619280711,-0.110,0.483,-0.380,3.655,11.784,0.552
215706238,0.0086446,42.8937065284699,-0.110,0.483,-0.380,3.645,11.789,0.525
215706239,0.018647,42.9123535286635,-0.110,0.483,-0.380,3.650,11.781,0.512
215706241,0.0166518,42.9290053285658,-0.110,0.483,-0.380,3.660,11.778,0.525
215706243,0.0182793,42.9472846277058,-0.110,0.483,-0.380,3.669,11.780,0.538
215706245,0.0181983,42.9654829278588,-0.110,0.483,-0.380,3.700,11.786,0.546
215706247,0.0184626,42.9839455280453,-0.110,0.482,-0.380,3.729,11.789,0.550
215706249,0.0181578,43.0021033287048,-0.110,0.482,-0.380,3.740,11.797,0.561
215706251,0.0205413,43.0226446278393,-0.110,0.482,-0.380,3.746,11.793,0.561
215706253,0.0189671,43.0416117273271,-0.110,0.482,-0.380,3.764,11.798,0.571
215706255,0.0221337,43.0637454278767,-0.110,0.482,-0.380,3.790,11.813,0.578
215706257,0.0221164,43.0858618281782,-0.110,0.482,-0.380,3.806,11.815,0.576
215706259,0.0189487,43.1048105284572,-0.110,0.482,-0.379,3.818,11.829,0.578
215706261,0.0219025,43.1267130281776,-0.110,0.482,-0.379,3.849,11.828,0.585
215706264,0.0232221,43.1499351281673,-0.111,0.482,-0.379,3.895,11.844,0.596
215706266,0.023089,43.1730241272599,-0.111,0.482,-0.379,4.050,11.842,0.632
215706269,0.0245803,43.1976044271141,-0.111,0.481,-0.379,4.593,11.853,0.695
0,0.0254083,43.223012726754,-0.111,0.479,-0.379,5.790,11.930,0.645
0,0.0257755,43.2487882263958,-0.112,0.476,-0.380,7.853,12.071,0.617
0,0.0271489,43.2759371269494,-0.113,0.472,-0.380,10.422,12.192,0.846
0,0.0283655,43.3043026272208,-0.114,0.468,-0.380,13.351,12.399,1.180
0,0.0300358,43.33433842659,-0.114,0.464,-0.380,16.431,12.700,1.641
215706286,0.0333073,43.3676457256079,-0.115,0.460,-0.379,19.100,13.012,2.182
215706290,0.0337076,43.4013533256948,-0.115,0.456,-0.377,20.970,13.339,2.683
215706294,0.0364428,43.4377961270511,-0.116,0.454,-0.375,22.051,13.547,3.002
215706299,0.0406472,43.4784433282912,-0.116,0.452,-0.374,22.988,13.715,3.251
215706303,0.0465502,43.5249935276806,-0.118,0.451,-0.373,23.573,13.818,3.551
215706309,0.0482695,43.5732630267739,-0.119,0.451,-0.372,23.403,13.820,3.919
215706316,0.0586532,43.6319162249565,-0.119,0.452,-0.373,23.069,13.636,4.122
215706326,0.0709462,43.7028624266386,-0.118,0.453,-0.372,22.727,13.290,4.210
215706327,0.0996446,43.8025070279837,-0.118,0.454,-0.372,22.691,13.331,4.207
215706329,0.0088105,43.8113175276667,-0.118,0.454,-0.372,22.755,13.487,4.128
215706331,0.0165215,43.8278390280902,-0.118,0.454,-0.372,22.834,13.708,4.109
215706332,0.0171402,43.8449792284518,-0.117,0.453,-0.372,22.951,13.884,4.163
215706334,0.01668,43.8616592288017,-0.117,0.453,-0.373,23.061,14.038,4.281
215706336,0.0165759,43.8782351296395,-0.117,0.453,-0.373,23.135,14.102,4.350
215706337,0.0180428,43.8962779287249,-0.117,0.453,-0.373,23.288,14.358,4.465
215706339,0.0154576,43.91173552908,-0.117,0.452,-0.374,23.402,14.643,4.588
215706341,0.0191354,43.9308709297329,-0.117,0.452,-0.375,23.453,14.903,4.696
215706343,0.0141341,43.9450050294399,-0.116,0.451,-0.375,23.440,15.163,4.809
215706344,0.0179222,43.9629272297025,-0.116,0.451,-0.376,23.389,15.443,4.898
215706346,0.0160002,43.9789274297655,-0.116,0.451,-0.376,23.339,15.691,4.990
215706347,0.0166854,43.9956128299236,-0.116,0.451,-0.377,23.298,15.939,5.063
215706349,0.0161287,44.0117415301502,-0.115,0.452,-0.377,23.249,16.177,5.127
215706351,0.0172641,44.0290056299418,-0.115,0.452,-0.377,23.211,16.387,5.187
215706353,0.0160428,44.045048430562,-0.115,0.452,-0.377,23.180,16.581,5.237
215706354,0.017916,44.0629644300789,-0.115,0.452,-0.378,23.123,16.746,5.280
215706356,0.016356,44.0793204307556,-0.114,0.453,-0.378,23.053,16.878,5.311
215706358,0.0169872,44.096307631582,-0.114,0.453,-0.378,22.975,16.981,5.328
215706359,0.0182403,44.1145479306579,-0.114,0.453,-0.378,22.897,17.070,5.318
215706361,0.0157451,44.1302930302918,-0.113,0.453,-0.378,22.812,17.136,5.296
215706363,0.0155151,44.1458081305027,-0.113,0.454,-0.378,22.748,17.196,5.265
215706364,0.0174044,44.1632125303149,-0.113,0.454,-0.378,22.697,17.228,5.223
215706366,0.0172397,44.1804522294551,-0.112,0.454,-0.378,22.680,17.266,5.186
215706367,0.0163105,44.1967627294362,-0.112,0.454,-0.378,22.684,17.290,5.159
215706369,0.0154712,44.2122339298949,-0.112,0.454,-0.378,22.682,17.326,5.144
215706371,0.0171806,44.2294145291671,-0.112,0.454,-0.378,22.695,17.361,5.132
215706372,0.0158628,44.245277329348,-0.111,0.454,-0.378,22.705,17.401,5.117
215706374,0.0175035,44.2627808293328,-0.111,0.454,-0.378,22.707,17.448,5.078
215706376,0.0174189,44.2801997298375,-0.111,0.454,-0.378,22.691,17.502,5.032
215706377,0.0164391,44.2966388305649,-0.110,0.454,-0.378,22.631,17.548,5.022
215706379,0.0167222,44.3133610310033,-0.110,0.454,-0.377,22.580,17.593,5.077
215706381,0.0172915,44.3306525303051,-0.110,0.454,-0.377,22.626,17.658,5.151
215706383,0.0151237,44.3457762300968,-0.109,0.454,-0.378,22.824,17.788,5.180
215706384,0.0177835,44.363559730351,-0.109,0.454,-0.378,23.056,17.959,5.108
215706386,0.0164552,44.3800149299204,-0.109,0.453,-0.379,23.215,18.131,5.006
215706388,0.0160839,44.3960988298059,-0.108,0.453,-0.379,23.198,18.290,4.940
215706389,0.0174204,44.4135192297399,-0.108,0.453,-0.379,23.093,18.401,4.985
215706391,0.0171931,44.4307123292238,-0.108,0.453,-0.379,23.067,18.467,5.090
215706393,0.0149226,44.4456349294633,-0.107,0.454,-0.379,23.074,18.527,5.181
215706394,0.0178195,44.4634544290602,-0.107,0.454,-0.378,23.067,18.564,5.168
215706396,0.0162337,44.4796881284565,-0.106,0.454,-0.378,22.998,18.570,5.097
215706398,0.0169977,44.4966858290136,-0.106,0.454,-0.378,22.917,18.569,4.970
215706399,0.0164206,44.5131064280868,-0.106,0.454,-0.377,22.830,18.548,4.835
215706401,0.017281,44.5303874276578,-0.105,0.454,-0.377,22.796,18.537,4.775
215706402,0.0199038,44.5502912271768,-0.105,0.454,-0.376,22.856,18.521,4.753
215706404,0.0136223,44.5639135269448,-0.104,0.454,-0.376,23.000,18.507,4.736
215706406,0.0186154,44.5825289273635,-0.104,0.453,-0.376,23.215,18.502,4.697
215706407,0.0140996,44.596628527157,-0.104,0.453,-0.376,23.492,18.526,4.591
215706409,0.0171349,44.6137634264305,-0.104,0.452,-0.377,23.728,18.536,4.495
215706411,0.0165601,44.6303235264495,-0.104,0.452,-0.377,23.840,18.481,4.530
215706413,0.015564,44.6458875266835,-0.103,0.452,-0.377,23.857,18.400,4.577
215706414,0.0179564,44.6638439269736,-0.103,0.451,-0.377,23.940,18.372,4.492
215706416,0.0155313,44.6793752266094,-0.103,0.451,-0.377,24.093,18.386,4.328
215706417,0.0167478,44.6961230272427,-0.103,0.451,-0.378,24.245,18.387,4.246
215706419,0.0167225,44.712845527567,-0.103,0.451,-0.378,24.250,18.318,4.297
215706421,0.0169965,44.729842026718,-0.103,0.451,-0.378,24.090,18.202,4.439
215706422,0.0174872,44.747329226695,-0.103,0.451,-0.378,23.854,18.068,4.578
