Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
215706235,0.0128357,42.8660830287263,-0.232,0.003,-0.125,0.082,0.000,0.060,0.022,-0.062,1.000,0.510
215706236,0.0189789,42.8850619280711,-0.232,0.003,-0.125,0.082,0.000,0.060,0.023,-0.062,1.000,0.482
215706238,0.0086446,42.8937065284699,-0.232,0.003,-0.125,0.082,0.000,0.060,0.023,-0.062,1.000,0.480
215706239,0.018647,42.9123535286635,-0.232,0.003,-0.125,0.082,0.000,0.060,0.023,-0.062,1.000,0.476
215706241,0.0166518,42.9290053285658,-0.232,0.003,-0.125,0.082,0.000,0.061,0.023,-0.062,1.000,0.479
215706243,0.0182793,42.9472846277058,-0.232,0.003,-0.125,0.082,0.000,0.061,0.023,-0.062,1.000,0.485
215706245,0.0181983,42.9654829278588,-0.232,0.003,-0.125,0.082,0.000,0.061,0.022,-0.061,1.000,0.491
215706247,0.0184626,42.9839455280453,-0.232,0.003,-0.125,0.082,0.000,0.061,0.022,-0.061,1.000,0.492
215706249,0.0181578,43.0021033287048,-0.232,0.003,-0.125,0.082,0.000,0.062,0.021,-0.061,1.000,0.484
215706251,0.0205413,43.0226446278393,-0.232,0.003,-0.125,0.082,0.000,0.062,0.020,-0.061,1.000,0.477
215706253,0.0189671,43.0416117273271,-0.232,0.003,-0.125,0.082,0.000,0.062,0.020,-0.061,1.000,0.481
215706255,0.0221337,43.0637454278767,-0.232,0.003,-0.125,0.082,0.000,0.062,0.020,-0.061,1.000,0.482
215706257,0.0221164,43.0858618281782,-0.232,0.003,-0.125,0.082,0.000,0.062,0.021,-0.061,1.000,0.479
215706259,0.0189487,43.1048105284572,-0.232,0.003,-0.125,0.082,0.000,0.062,0.021,-0.061,1.000,0.474
215706261,0.0219025,43.1267130281776,-0.232,0.003,-0.125,0.082,0.000,0.062,0.021,-0.062,1.000,0.466
215706264,0.0232221,43.1499351281673,-0.232,0.003,-0.125,0.082,0.000,0.062,0.022,-0.062,1.000,0.459
215706266,0.023089,43.1730241272599,-0.232,0.003,-0.125,0.082,0.000,0.062,0.022,-0.062,1.000,0.472
215706269,0.0245803,43.1976044271141,-0.232,0.003,-0.125,0.082,0.000,0.062,0.022,-0.061,1.000,0.491
0,0.0254083,43.223012726754,-0.232,0.003,-0.125,0.082,0.000,0.062,0.021,-0.060,1.000,0.501
0,0.0257755,43.2487882263958,-0.232,0.003,-0.125,0.082,0.000,0.062,0.020,-0.060,1.000,0.521
0,0.0271489,43.2759371269494,-0.232,0.003,-0.125,0.082,0.000,0.062,0.020,-0.060,1.000,0.478
0,0.0283655,43.3043026272208,-0.232,0.003,-0.125,0.082,0.000,0.063,0.026,-0.057,0.857,0.308
0,0.0300358,43.33433842659,-0.232,0.003,-0.125,0.082,0.000,0.065,0.036,-0.049,0.668,0.096
215706286,0.0333073,43.3676457256079,-0.232,0.003,-0.125,0.082,0.000,0.065,0.050,-0.047,0.587,0.052
215706290,0.0337076,43.4013533256948,-0.232,0.003,-0.125,0.082,0.000,0.064,0.062,-0.051,0.471,0.132
215706294,0.0364428,43.4377961270511,-0.217,0.088,-0.080,0.082,0.000,0.063,0.070,-0.062,0.123,0.122
215706299,0.0406472,43.4784433282912,-0.241,0.020,-0.024,0.000,0.000,0.063,0.072,-0.070,0.000,0.001
215706303,0.0465502,43.5249935276806,-0.208,0.086,-0.061,0.000,0.000,0.064,0.072,-0.075,0.000,0.000
215706309,0.0482695,43.5732630267739,-0.201,0.079,-0.058,0.000,0.000,0.061,0.079,-0.085,0.000,0.000
215706316,0.0586532,43.6319162249565,-0.193,0.087,-0.061,0.000,0.000,0.058,0.085,-0.093,0.000,0.000
