Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
215706591,0.0196772,46.2420738292858,-0.087,-0.021,0.244,0.000,0.000,-0.075,0.670,-0.015,0.665,0.563
215706593,0.0190289,46.261102729477,-0.087,-0.021,0.244,0.000,0.000,-0.076,0.847,0.201,0.654,0.552
215706596,0.0157758,46.2768785292283,-0.087,-0.021,0.244,0.000,0.000,0.076,0.086,1.010,0.651,0.533
215706598,0.0320698,46.3089483277872,-0.087,-0.021,0.244,0.000,0.000,-0.076,1.203,0.633,0.681,0.490
215706601,0.0308405,46.3397888271138,-0.087,-0.021,0.244,0.000,0.000,-0.076,1.380,0.849,0.675,0.481
215706648,0.1144924,46.8168630218133,-0.087,-0.021,0.244,0.000,0.000,0.076,3.115,4.677,0.700,0.489
215706651,0.0171603,46.8340233219787,-0.087,-0.021,0.244,0.000,0.000,0.075,3.293,4.893,0.675,0.527
215706654,0.029026,46.8630493218079,-0.087,-0.021,0.244,0.000,0.000,-0.075,4.402,4.523,0.669,0.535
215706656,0.0279725,46.8910218225792,-0.087,-0.021,0.244,0.000,0.000,-0.075,4.580,4.739,0.680,0.530
215706660,0.0239488,46.914970622398,-0.087,-0.021,0.244,0.000,0.000,-0.076,4.759,4.955,0.670,0.533
215706662,0.0348292,46.9497998217121,-0.087,-0.021,0.244,0.000,0.000,0.076,4.183,5.973,0.656,0.530
215706665,0.0201253,46.9699251214042,-0.087,-0.021,0.244,0.000,0.000,0.076,4.361,6.189,0.638,0.514
215706668,0.0359286,47.0058537209407,-0.087,-0.021,0.244,0.000,0.000,-0.077,5.471,5.818,0.624,0.500
215706669,0.0262769,47.0321306204423,-0.087,-0.021,0.244,0.000,0.000,-0.077,5.649,6.034,0.645,0.462
215706672,0.0121861,47.0443167202175,-0.087,-0.021,0.244,0.000,0.000,-0.077,5.828,6.250,0.654,0.442
215706673,0.0257388,47.070055520162,-0.087,-0.021,0.244,0.000,0.000,-0.077,6.006,6.466,0.659,0.376
215706675,0.0089404,47.0789959197864,-0.087,-0.021,0.244,0.000,0.000,0.078,5.252,7.270,0.647,0.363
215706678,0.0265608,47.1055567199364,-0.087,-0.021,0.244,0.000,0.000,-0.078,6.364,6.899,0.553,0.329
215706682,0.0354792,47.1410359190777,-0.087,-0.021,0.244,0.000,0.000,0.079,5.787,7.921,0.369,0.000
215706685,0.0299873,47.1710232188925,-0.087,-0.021,0.244,0.000,0.000,0.081,5.968,8.139,0.000,0.000
215706686,0.031728,47.2027512183413,-0.087,-0.021,0.244,0.000,0.000,-0.083,7.079,7.770,0.000,0.000
215706688,0.0084859,47.2112371185794,-0.087,-0.021,0.244,0.000,0.000,0.086,6.331,8.572,0.000,0.000
215706689,0.0249873,47.2362244194373,-0.087,-0.021,0.244,0.000,0.000,0.088,6.513,8.789,0.000,0.000
215706692,0.0087154,47.2449398189783,-0.087,-0.021,0.244,0.000,0.000,0.092,6.696,9.007,0.000,0.000
215706693,0.0254031,47.2703429181129,-0.087,-0.021,0.244,0.000,0.000,0.097,6.879,9.226,0.000,0.000
215706695,0.0122987,47.2826416185126,-0.087,-0.021,0.244,0.000,0.000,0.128,0.041,-0.103,0.000,0.000
215706696,0.0213368,47.303978418,-0.087,-0.021,0.244,0.000,0.000,0.134,0.044,-0.102,0.000,0.000
215706698,0.0084333,47.3124117180705,-0.087,-0.021,0.244,0.000,0.000,0.139,0.046,-0.099,0.000,0.000
215706699,0.0251122,47.3375239185989,-0.087,-0.021,0.244,0.000,0.000,0.146,0.048,-0.096,0.000,0.000
