Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
215750175,0.0109593,482.813895114232,-0.135,0.454,-0.452,10.198,14.109,3.101
215750175,0.0207978,482.834692914505,-0.135,0.454,-0.452,10.185,14.052,3.082
215750178,0.0084586,482.843151514884,-0.136,0.454,-0.453,10.167,14.031,3.084
215750179,0.0259732,482.869124715682,-0.136,0.454,-0.453,10.141,13.931,3.060
215750181,0.0073606,482.876485315617,-0.136,0.454,-0.453,10.131,13.925,3.052
215750182,0.0246053,482.901090615895,-0.136,0.454,-0.453,10.095,13.838,3.026
215750185,0.0081903,482.90928091621,-0.136,0.454,-0.453,10.061,13.835,3.018
215750186,0.0270406,482.936321516987,-0.136,0.454,-0.453,10.001,13.768,3.001
215750188,0.0087014,482.945022916887,-0.136,0.454,-0.453,9.996,13.743,3.006
215750192,0.0241892,482.969212117139,-0.136,0.455,-0.454,9.946,13.678,2.988
215750196,0.0470243,483.016236415599,-0.137,0.455,-0.454,9.962,13.682,2.965
215750201,0.0316209,483.047857316677,-0.137,0.454,-0.454,10.099,13.752,2.996
215750203,0.0485062,483.09636351699,-0.137,0.454,-0.454,10.144,13.787,3.048
215750207,0.0249156,483.121279117186,-0.137,0.454,-0.455,10.179,13.789,3.122
215750208,0.0405002,483.161779318471,-0.138,0.454,-0.455,10.175,13.782,3.154
215750210,0.0086045,483.170383818913,-0.138,0.454,-0.455,10.160,13.785,3.160
215750212,0.0157256,483.186109418515,-0.138,0.454,-0.456,10.135,13.775,3.166
215750213,0.0244805,483.210589917842,-0.138,0.454,-0.456,10.110,13.772,3.171
215750215,0.0101203,483.220710217487,-0.138,0.455,-0.456,10.078,13.753,3.186
215750216,0.0239732,483.244683417957,-0.138,0.455,-0.456,10.047,13.733,3.197
215750219,0.0090546,483.253738018218,-0.138,0.455,-0.457,9.980,13.703,3.211
215750222,0.0268969,483.280634917784,-0.138,0.455,-0.457,9.813,13.643,3.289
215750223,0.0324657,483.313100617845,-0.138,0.455,-0.457,9.753,13.602,3.323
215750226,0.0124033,483.325503917877,-0.138,0.455,-0.458,9.699,13.579,3.352
215750226,0.0200674,483.345571317244,-0.139,0.455,-0.458,9.657,13.536,3.361
215750229,0.0085946,483.354165916797,-0.139,0.455,-0.458,9.626,13.509,3.389
215750230,0.0250059,483.379171816166,-0.139,0.456,-0.458,9.618,13.473,3.373
215750232,0.0085196,483.387691416312,-0.139,0.455,-0.458,9.613,13.433,3.377
215750235,0.026172,483.413863417227,-0.139,0.455,-0.458,9.634,13.342,3.412
215750236,0.0309187,483.444782117847,-0.139,0.455,-0.459,9.633,13.295,3.421
215750239,0.0100518,483.454833917785,-0.139,0.455,-0.459,9.625,13.260,3.415
215750240,0.0235674,483.478401318658,-0.139,0.455,-0.459,9.617,13.212,3.404
215750242,0.0072136,483.485614918638,-0.139,0.455,-0.459,9.624,13.174,3.407
215750245,0.0274539,483.513068818022,-0.138,0.455,-0.459,9.598,13.096,3.431
215750249,0.0323605,483.545429319609,-0.139,0.456,-0.459,9.543,13.002,3.414
215750250,0.0325198,483.577949118335,-0.139,0.456,-0.459,9.511,12.931,3.390
215750252,0.007774,483.585723118391,-0.139,0.456,-0.459,9.533,12.872,3.373
215750253,0.0246137,483.610336819198,-0.139,0.456,-0.459,9.521,12.817,3.361
215750255,0.0090345,483.619371319655,-0.139,0.456,-0.459,9.508,12.738,3.356
215750256,0.0248917,483.644263020251,-0.139,0.456,-0.459,9.513,12.591,3.361
215750259,0.0124519,483.65671492042,-0.139,0.456,-0.459,9.476,12.431,3.385
215750260,0.0218419,483.678556820843,-0.140,0.456,-0.458,9.427,12.153,3.395
215750262,0.0097063,483.688263120595,-0.140,0.456,-0.458,9.339,11.808,3.389
0,0.0267487,483.715011820663,-0.142,0.456,-0.458,9.160,10.728,3.425
0,0.0333134,483.748325221706,-0.145,0.457,-0.457,8.875,8.753,3.414
0,0.0302904,483.778615622316,-0.149,0.458,-0.457,8.594,6.159,3.311
215750275,0.0332382,483.811853820924,-0.153,0.458,-0.456,8.498,3.692,3.076
215750278,0.0324627,483.844316522125,-0.157,0.458,-0.457,8.479,1.594,2.919
215750279,0.0316652,483.87598172063,-0.159,0.458,-0.457,8.444,0.130,2.811
215750282,0.0078618,483.883843520191,-0.161,0.458,-0.457,8.447,359.202,2.761
215750283,0.0249334,483.908776919823,-0.163,0.458,-0.457,8.435,358.096,2.704
215750285,0.0076423,483.916419219691,-0.164,0.458,-0.458,8.433,357.360,2.698
215750286,0.0253785,483.941797718871,-0.166,0.458,-0.458,8.414,356.366,2.665
215750288,0.0079828,483.949780518655,-0.168,0.458,-0.458,8.367,355.672,2.619
215750289,0.0255184,483.975298919249,-0.170,0.458,-0.459,8.316,354.867,2.604
215750292,0.0093989,483.984697819222,-0.171,0.458,-0.459,8.257,354.161,2.619
215750293,0.0250334,484.009731218684,-0.173,0.458,-0.459,8.158,353.470,2.609
215750295,0.0094534,484.019184618723,-0.174,0.458,-0.459,8.091,352.854,2.576
215750296,0.0254251,484.044609719422,-0.176,0.458,-0.459,8.049,352.345,2.565
215750299,0.0095654,484.054175119381,-0.177,0.458,-0.460,8.007,351.902,2.571
215750299,0.024858,484.079033119138,-0.179,0.459,-0.460,7.977,351.494,2.592
215750302,0.0085406,484.087573718745,-0.180,0.459,-0.460,7.956,351.147,2.633
215750303,0.0250583,484.112632018048,-0.181,0.459,-0.460,7.927,350.821,2.669
215750305,0.0123716,484.125003617723,-0.182,0.459,-0.460,7.887,350.543,2.707
215750306,0.0199074,484.144911017735,-0.183,0.459,-0.460,7.843,350.282,2.759
215750309,0.0086173,484.153528317343,-0.184,0.459,-0.461,7.822,350.073,2.838
215750310,0.0245752,484.178103517275,-0.184,0.459,-0.461,7.815,349.870,2.931
215750312,0.0085466,484.186650117394,-0.185,0.459,-0.461,7.805,349.695,3.033
215750313,0.0247882,484.211438318249,-0.186,0.459,-0.461,7.807,349.544,3.128
215750315,0.0085669,484.220005218405,-0.187,0.459,-0.461,7.827,349.406,3.208
215750316,0.0262949,484.24630011851,-0.187,0.459,-0.461,7.848,349.298,3.282
215750319,0.0074321,484.253732218407,-0.188,0.459,-0.461,7.893,349.193,3.361
215750320,0.0242699,484.27800211776,-0.188,0.459,-0.460,7.940,349.119,3.412
215750322,0.0088995,484.286901617423,-0.189,0.458,-0.460,7.964,349.040,3.466
215750323,0.0246707,484.311572317034,-0.189,0.458,-0.460,7.986,348.981,3.537
215750325,0.0091029,484.320675216615,-0.190,0.458,-0.460,8.026,348.945,3.618
215750326,0.0246012,484.345276417211,-0.190,0.458,-0.460,8.046,348.908,3.695
215750329,0.0078035,484.353079917375,-0.190,0.458,-0.460,8.035,348.859,3.767
215750330,0.0260542,484.37913411716,-0.191,0.458,-0.460,8.037,348.797,3.838
215750332,0.0089462,484.388080317061,-0.191,0.458,-0.460,8.034,348.724,3.879
215750333,0.0252868,484.413367116358,-0.191,0.458,-0.460,8.040,348.654,3.897
215750335,0.0070828,484.420449916273,-0.192,0.458,-0.459,8.053,348.583,3.903
215750336,0.0247291,484.445179015398,-0.192,0.458,-0.459,8.043,348.503,3.921
215750339,0.011523,484.456702015363,-0.192,0.458,-0.459,8.047,348.419,3.947
215750340,0.0225764,484.47927841451,-0.192,0.458,-0.459,8.054,348.324,3.955
215750342,0.0080161,484.487294514664,-0.193,0.458,-0.459,8.071,348.219,3.954
215750343,0.0247826,484.512077114545,-0.193,0.458,-0.459,8.103,348.127,3.957
215750345,0.0083654,484.52044251468,-0.193,0.458,-0.459,8.126,348.055,3.962
215750346,0.0245683,484.545010815375,-0.194,0.458,-0.459,8.157,347.983,3.987
215750349,0.0122384,484.557249215432,-0.194,0.458,-0.459,8.200,347.898,4.008
215750350,0.0215681,484.578817316331,-0.194,0.458,-0.459,8.220,347.826,4.007
215750352,0.0082715,484.587088815868,-0.194,0.458,-0.459,8.242,347.727,4.031
215750353,0.0244985,484.611587315798,-0.194,0.458,-0.459,8.263,347.630,4.004
215750355,0.0086038,484.620191115886,-0.194,0.458,-0.459,8.286,347.523,4.007
215750356,0.0249668,484.645157916471,-0.195,0.458,-0.460,8.297,347.417,4.000
215750359,0.0088652,484.654023116454,-0.195,0.458,-0.460,8.323,347.318,3.976
215750359,0.0247115,484.678734617308,-0.195,0.458,-0.460,8.334,347.226,3.962
215750362,0.0083431,484.687077716924,-0.195,0.458,-0.460,8.357,347.124,3.969
215750363,0.0249439,484.712021616288,-0.195,0.458,-0.460,8.368,347.034,3.966
215750365,0.0084022,484.720423816703,-0.195,0.458,-0.460,8.367,346.966,3.958
215750369,0.0267399,484.747163715772,-0.196,0.458,-0.460,8.347,346.851,3.922
215750370,0.0314068,484.778570516966,-0.196,0.458,-0.460,8.354,346.815,3.936
215750372,0.0118597,484.79043021705,-0.196,0.458,-0.460,8.355,346.777,3.948
215750373,0.0208088,484.811239016242,-0.196,0.458,-0.460,8.352,346.743,3.973
215750375,0.0091262,484.820365216583,-0.196,0.458,-0.460,8.348,346.742,4.002
215750376,0.0260557,484.846420915797,-0.196,0.458,-0.460,8.331,346.722,3.991
215750379,0.0073935,484.853814415634,-0.196,0.458,-0.460,8.317,346.730,3.979
215750380,0.0255069,484.879321316257,-0.196,0.458,-0.460,8.328,346.742,4.002
215750382,0.0127562,484.892077515833,-0.196,0.458,-0.460,8.337,346.755,4.020
215750383,0.0202667,484.912344216369,-0.196,0.458,-0.460,8.339,346.766,4.030
215750385,0.0079066,484.920250816271,-0.196,0.458,-0.460,8.344,346.774,4.037
215750386,0.0250768,484.945327615365,-0.196,0.458,-0.460,8.334,346.783,4.039
215750389,0.008542,484.953869615681,-0.196,0.458,-0.460,8.341,346.786,4.032
215750389,0.0244993,484.978368916549,-0.196,0.458,-0.460,8.338,346.808,4.049
215750392,0.0120225,484.990391416475,-0.197,0.458,-0.460,8.342,346.810,4.053
215750393,0.0213074,485.011698815972,-0.197,0.458,-0.460,8.354,346.816,4.055
215750395,0.0089185,485.020617315546,-0.197,0.458,-0.460,8.374,346.824,4.080
215750396,0.0254096,485.046026915312,-0.197,0.458,-0.460,8.384,346.826,4.083
