Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
215750175,0.0109593,482.813895114232,0.010,0.322,0.509,0.000
215750175,0.0207978,482.834692914505,0.010,0.322,0.509,0.000
215750178,0.0084586,482.843151514884,0.010,0.322,0.509,0.000
215750179,0.0259732,482.869124715682,0.010,0.322,0.509,0.000
215750181,0.0073606,482.876485315617,0.010,0.322,0.509,0.000
215750182,0.0246053,482.901090615895,0.010,0.322,0.509,0.000
215750185,0.0081903,482.90928091621,0.010,0.322,0.509,0.000
215750186,0.0270406,482.936321516987,0.010,0.322,0.509,0.000
215750188,0.0087014,482.945022916887,0.010,0.322,0.509,0.000
215750192,0.0241892,482.969212117139,0.010,0.322,0.509,0.000
215750196,0.0470243,483.016236415599,0.010,0.322,0.509,0.000
215750201,0.0316209,483.047857316677,0.010,0.322,0.509,0.000
215750203,0.0485062,483.09636351699,0.010,0.322,0.509,0.000
215750207,0.0249156,483.121279117186,0.010,0.322,0.509,0.000
215750208,0.0405002,483.161779318471,0.010,0.322,0.509,0.000
215750210,0.0086045,483.170383818913,0.010,0.322,0.509,0.000
215750212,0.0157256,483.186109418515,0.010,0.322,0.509,0.000
215750213,0.0244805,483.210589917842,0.010,0.322,0.509,0.000
215750215,0.0101203,483.220710217487,0.010,0.322,0.509,0.000
215750216,0.0239732,483.244683417957,0.010,0.322,0.509,0.000
215750219,0.0090546,483.253738018218,0.010,0.322,0.509,0.000
215750222,0.0268969,483.280634917784,0.010,0.322,0.509,0.000
215750223,0.0324657,483.313100617845,0.010,0.322,0.509,0.000
215750226,0.0124033,483.325503917877,0.010,0.322,0.509,0.000
215750226,0.0200674,483.345571317244,0.010,0.322,0.509,0.000
215750229,0.0085946,483.354165916797,0.010,0.322,0.509,0.000
215750230,0.0250059,483.379171816166,0.010,0.322,0.509,0.000
215750232,0.0085196,483.387691416312,0.010,0.322,0.509,0.000
215750235,0.026172,483.413863417227,0.010,0.322,0.509,0.000
215750236,0.0309187,483.444782117847,0.010,0.322,0.509,0.000
215750239,0.0100518,483.454833917785,0.010,0.322,0.509,0.000
215750240,0.0235674,483.478401318658,0.010,0.322,0.509,0.000
215750242,0.0072136,483.485614918638,0.010,0.322,0.509,0.000
215750245,0.0274539,483.513068818022,0.010,0.322,0.509,0.000
215750249,0.0323605,483.545429319609,0.010,0.322,0.509,0.000
215750250,0.0325198,483.577949118335,0.010,0.322,0.509,0.000
215750252,0.007774,483.585723118391,0.010,0.322,0.509,0.000
215750253,0.0246137,483.610336819198,0.010,0.322,0.509,0.000
215750255,0.0090345,483.619371319655,0.010,0.322,0.509,0.000
215750256,0.0248917,483.644263020251,0.010,0.322,0.509,0.000
215750259,0.0124519,483.65671492042,0.010,0.322,0.509,0.000
215750260,0.0218419,483.678556820843,0.010,0.322,0.509,0.000
215750262,0.0097063,483.688263120595,0.010,0.322,0.509,0.000
0,0.0267487,483.715011820663,0.010,0.322,0.509,0.000
0,0.0333134,483.748325221706,0.010,0.322,0.509,0.000
0,0.0302904,483.778615622316,0.010,0.322,0.509,0.000
215750275,0.0332382,483.811853820924,0.010,0.322,0.509,0.000
215750278,0.0324627,483.844316522125,0.010,0.322,0.509,0.000
215750279,0.0316652,483.87598172063,0.010,0.322,0.509,0.000
215750282,0.0078618,483.883843520191,0.010,0.322,0.509,0.000
215750283,0.0249334,483.908776919823,0.010,0.322,0.509,0.000
215750285,0.0076423,483.916419219691,0.010,0.322,0.509,0.000
215750286,0.0253785,483.941797718871,0.010,0.322,0.509,0.000
215750288,0.0079828,483.949780518655,0.010,0.322,0.509,0.000
215750289,0.0255184,483.975298919249,0.010,0.322,0.509,0.000
215750292,0.0093989,483.984697819222,0.010,0.322,0.509,0.000
215750293,0.0250334,484.009731218684,0.010,0.322,0.509,0.000
215750295,0.0094534,484.019184618723,0.010,0.322,0.509,0.000
215750296,0.0254251,484.044609719422,0.010,0.322,0.509,0.000
215750299,0.0095654,484.054175119381,0.010,0.322,0.509,0.000
215750299,0.024858,484.079033119138,0.010,0.322,0.509,0.000
215750302,0.0085406,484.087573718745,0.010,0.322,0.509,0.000
215750303,0.0250583,484.112632018048,0.010,0.322,0.509,0.000
215750305,0.0123716,484.125003617723,0.010,0.322,0.509,0.000
215750306,0.0199074,484.144911017735,0.010,0.322,0.509,0.000
215750309,0.0086173,484.153528317343,0.010,0.322,0.509,0.000
215750310,0.0245752,484.178103517275,0.010,0.322,0.509,0.000
215750312,0.0085466,484.186650117394,0.010,0.322,0.509,0.000
215750313,0.0247882,484.211438318249,0.010,0.322,0.509,0.000
215750315,0.0085669,484.220005218405,0.010,0.322,0.509,0.000
215750316,0.0262949,484.24630011851,0.010,0.322,0.509,0.000
215750319,0.0074321,484.253732218407,0.010,0.322,0.509,0.000
215750320,0.0242699,484.27800211776,0.010,0.322,0.509,0.000
215750322,0.0088995,484.286901617423,0.010,0.322,0.509,0.000
215750323,0.0246707,484.311572317034,0.010,0.322,0.509,0.000
215750325,0.0091029,484.320675216615,0.010,0.322,0.509,0.000
215750326,0.0246012,484.345276417211,0.010,0.322,0.509,0.000
215750329,0.0078035,484.353079917375,0.010,0.322,0.509,0.000
215750330,0.0260542,484.37913411716,0.010,0.322,0.509,0.000
215750332,0.0089462,484.388080317061,0.010,0.322,0.509,0.000
215750333,0.0252868,484.413367116358,0.010,0.322,0.509,0.000
215750335,0.0070828,484.420449916273,0.010,0.322,0.509,0.000
215750336,0.0247291,484.445179015398,0.010,0.322,0.509,0.000
215750339,0.011523,484.456702015363,0.010,0.322,0.509,0.000
215750340,0.0225764,484.47927841451,0.010,0.322,0.509,0.000
215750342,0.0080161,484.487294514664,0.010,0.322,0.509,0.000
215750343,0.0247826,484.512077114545,0.010,0.322,0.509,0.000
215750345,0.0083654,484.52044251468,0.010,0.322,0.509,0.000
215750346,0.0245683,484.545010815375,0.010,0.322,0.509,0.000
215750349,0.0122384,484.557249215432,0.010,0.322,0.509,0.000
215750350,0.0215681,484.578817316331,0.010,0.322,0.509,0.000
215750352,0.0082715,484.587088815868,0.010,0.322,0.509,0.000
215750353,0.0244985,484.611587315798,0.010,0.322,0.509,0.000
215750355,0.0086038,484.620191115886,0.010,0.322,0.509,0.000
215750356,0.0249668,484.645157916471,0.010,0.322,0.509,0.000
