Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
17483308,0.0102679,27.8548576999456,0.012,0.447,-0.446,6.155,4.553,0.039
17483309,0.0148143,27.8696720004082,0.012,0.447,-0.446,6.174,4.577,0.039
17483311,0.0138167,27.8834887007251,0.012,0.447,-0.446,6.173,4.584,0.051
17483313,0.0172119,27.9007005998865,0.012,0.447,-0.446,6.166,4.583,0.044
17483315,0.0173099,27.9180105002597,0.012,0.447,-0.446,6.160,4.590,0.033
17483316,0.0173017,27.9353121994063,0.012,0.447,-0.446,6.173,4.580,0.032
17483318,0.0175219,27.9528340985999,0.012,0.447,-0.446,6.166,4.572,0.033
17483320,0.0208908,27.9737248988822,0.012,0.447,-0.446,6.155,4.561,0.019
17483322,0.0150788,27.9888036986813,0.012,0.447,-0.446,6.142,4.532,0.015
17483324,0.0190783,28.0078819980845,0.012,0.447,-0.446,6.137,4.527,0.020
17483326,0.018285,28.0261669987813,0.012,0.447,-0.446,6.133,4.507,0.010
17483328,0.0197681,28.0459350990132,0.012,0.447,-0.446,6.137,4.506,0.036
17483330,0.0199198,28.0658548986539,0.012,0.447,-0.446,6.129,4.490,0.048
17483332,0.0205059,28.0863607982174,0.012,0.447,-0.446,6.113,4.484,0.043
17483334,0.0214253,28.1077860975638,0.012,0.447,-0.446,6.096,4.481,0.037
17483336,0.0205469,28.1283329976723,0.012,0.447,-0.446,6.070,4.482,0.059
17483338,0.0223146,28.1506475983188,0.012,0.447,-0.446,6.052,4.483,0.081
17483341,0.0229469,28.1735944980755,0.012,0.447,-0.446,6.040,4.479,0.115
17483343,0.0227848,28.1963792974129,0.012,0.447,-0.446,6.046,4.470,0.110
17483345,0.0238305,28.220209796913,0.012,0.447,-0.446,6.042,4.453,0.106
17483348,0.0236974,28.2439071973786,0.012,0.447,-0.446,6.048,4.432,0.098
17483351,0.0263317,28.2702388977632,0.012,0.447,-0.446,6.039,4.413,0.097
17483353,0.025764,28.2960028974339,0.012,0.447,-0.446,6.026,4.406,0.094
17483356,0.0285923,28.3245951971039,0.012,0.447,-0.446,6.015,4.391,0.120
17483359,0.029178,28.3537731962278,0.012,0.447,-0.446,6.022,4.388,0.115
17483362,0.0294932,28.3832663958892,0.012,0.447,-0.446,6.017,4.371,0.123
17483366,0.0321659,28.415432295762,0.012,0.447,-0.446,6.029,4.359,0.110
0,0.0357184,28.4511506957933,0.012,0.447,-0.446,6.010,4.340,0.158
0,0.0370506,28.4882012968883,0.011,0.447,-0.446,5.998,4.315,0.116
0,0.0408542,28.5290554976091,0.011,0.447,-0.446,5.980,4.330,0.164
0,0.0466157,28.5756711987779,0.011,0.448,-0.446,5.943,4.333,0.166
17483389,0.0517074,28.6273785969242,0.011,0.448,-0.446,5.883,4.304,0.169
17483398,0.0622473,28.6896258955821,0.012,0.448,-0.447,5.857,4.262,0.120
17483399,0.0849068,28.7745326971635,0.012,0.448,-0.447,5.867,4.252,0.099
17483401,0.0115598,28.7860924974084,0.012,0.448,-0.447,5.867,4.281,0.132
17483403,0.0183267,28.8044191971421,0.012,0.448,-0.447,5.863,4.310,0.183
17483405,0.0160827,28.8205018974841,0.012,0.448,-0.447,5.795,4.353,0.243
17483406,0.0160447,28.8365465980023,0.012,0.448,-0.447,5.738,4.477,0.395
17483408,0.0185637,28.8551102988422,0.012,0.448,-0.447,5.709,4.595,0.424
17483409,0.0147397,28.8698499985039,0.012,0.448,-0.446,5.693,4.840,0.539
17483411,0.0170255,28.8868754990399,0.012,0.448,-0.446,5.680,5.108,0.697
17483413,0.0177608,28.9046362992376,0.013,0.448,-0.446,5.641,5.323,0.823
17483414,0.0154318,28.9200680991635,0.013,0.448,-0.446,5.586,5.403,0.867
17483416,0.0163922,28.9364602984861,0.013,0.448,-0.446,5.538,5.383,0.776
17483418,0.0174233,28.9538835985586,0.013,0.448,-0.446,5.514,5.277,0.636
17483420,0.0160851,28.9699686979875,0.013,0.448,-0.446,5.487,5.142,0.542
17483421,0.0172332,28.9872018983588,0.012,0.448,-0.446,5.484,4.995,0.477
17483423,0.0159981,29.0031999992207,0.012,0.448,-0.446,5.499,4.821,0.434
17483424,0.0165209,29.0197208998725,0.012,0.448,-0.446,5.565,4.606,0.363
17483426,0.0162263,29.0359471989796,0.012,0.448,-0.446,5.642,4.409,0.329
17483428,0.0177312,29.0536783998832,0.012,0.448,-0.446,5.711,4.256,0.319
17483429,0.0161324,29.069810799323,0.011,0.448,-0.446,5.777,4.115,0.348
17483431,0.0173938,29.0872045988217,0.011,0.448,-0.446,5.812,4.010,0.366
17483433,0.0167339,29.1039384985343,0.011,0.448,-0.446,5.837,3.950,0.406
17483435,0.0162818,29.1202202988788,0.011,0.448,-0.446,5.860,3.925,0.437
17483436,0.0175158,29.1377360997722,0.011,0.448,-0.446,5.874,3.938,0.443
17483438,0.0168167,29.1545527996495,0.011,0.448,-0.446,5.886,3.954,0.432
17483439,0.0171181,29.1716708997265,0.011,0.448,-0.446,5.890,3.998,0.417
17483441,0.0193873,29.1910581989214,0.011,0.448,-0.446,5.886,4.056,0.416
17483443,0.0137604,29.2048185989261,0.011,0.448,-0.446,5.885,4.117,0.407
