Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
17483308,0.0102679,27.8548576999456,-0.115,0.843,0.519,0.000
17483309,0.0148143,27.8696720004082,-0.115,0.843,0.519,0.000
17483311,0.0138167,27.8834887007251,-0.115,0.843,0.519,0.000
17483313,0.0172119,27.9007005998865,-0.115,0.843,0.519,0.000
17483315,0.0173099,27.9180105002597,-0.115,0.843,0.519,0.000
17483316,0.0173017,27.9353121994063,-0.115,0.843,0.519,0.000
17483318,0.0175219,27.9528340985999,-0.115,0.843,0.519,0.000
17483320,0.0208908,27.9737248988822,-0.115,0.843,0.519,0.000
17483322,0.0150788,27.9888036986813,-0.115,0.843,0.519,0.000
17483324,0.0190783,28.0078819980845,-0.115,0.843,0.519,0.000
17483326,0.018285,28.0261669987813,-0.115,0.843,0.519,0.000
17483328,0.0197681,28.0459350990132,-0.115,0.843,0.519,0.000
17483330,0.0199198,28.0658548986539,-0.115,0.843,0.519,0.000
17483332,0.0205059,28.0863607982174,-0.115,0.843,0.519,0.000
17483334,0.0214253,28.1077860975638,-0.115,0.843,0.519,0.000
17483336,0.0205469,28.1283329976723,-0.115,0.843,0.519,0.000
17483338,0.0223146,28.1506475983188,-0.115,0.843,0.519,0.000
17483341,0.0229469,28.1735944980755,-0.115,0.843,0.519,0.000
17483343,0.0227848,28.1963792974129,-0.115,0.843,0.519,0.000
17483345,0.0238305,28.220209796913,-0.115,0.843,0.519,0.000
17483348,0.0236974,28.2439071973786,-0.115,0.843,0.519,0.000
17483351,0.0263317,28.2702388977632,-0.115,0.843,0.519,0.000
17483353,0.025764,28.2960028974339,-0.115,0.843,0.519,0.000
17483356,0.0285923,28.3245951971039,-0.115,0.843,0.519,0.000
17483359,0.029178,28.3537731962278,-0.115,0.843,0.519,0.000
17483362,0.0294932,28.3832663958892,-0.115,0.843,0.519,0.000
17483366,0.0321659,28.415432295762,-0.115,0.843,0.519,0.000
0,0.0357184,28.4511506957933,-0.115,0.843,0.519,0.000
0,0.0370506,28.4882012968883,-0.115,0.843,0.519,0.000
