Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
17274099,0.0117736,46.5934289759025,0.039,0.440,-0.579,7.509,3.215,0.970
17274101,0.0150234,46.6084523759782,0.039,0.440,-0.579,7.505,3.217,0.963
17274103,0.0135255,46.6219778759405,0.039,0.440,-0.579,7.499,3.223,0.972
17274104,0.0171679,46.6391457756981,0.039,0.440,-0.579,7.491,3.230,0.970
17274106,0.0173126,46.6564583750442,0.039,0.440,-0.579,7.478,3.230,0.955
17274108,0.0175114,46.673969774507,0.039,0.441,-0.579,7.461,3.230,0.930
17274109,0.0177807,46.6917504752055,0.039,0.440,-0.579,7.448,3.247,0.919
17274111,0.0196486,46.7113990755752,0.040,0.441,-0.579,7.438,3.242,0.913
17274113,0.0190335,46.7304325764999,0.040,0.441,-0.579,7.440,3.254,0.911
17274115,0.0177969,46.7482294766232,0.040,0.441,-0.579,7.455,3.260,0.910
17274117,0.01879,46.7670194758102,0.039,0.440,-0.579,7.464,3.263,0.910
17274119,0.0195239,46.7865433758125,0.040,0.440,-0.579,7.485,3.274,0.885
17274121,0.0205447,46.807088076137,0.039,0.440,-0.579,7.508,3.286,0.896
17274123,0.0203425,46.8274305770174,0.039,0.440,-0.579,7.528,3.290,0.899
17274126,0.0206073,46.8480378771201,0.040,0.441,-0.579,7.516,3.307,0.900
17274128,0.0217691,46.8698069779202,0.040,0.441,-0.579,7.521,3.309,0.888
17274130,0.0209581,46.8907650774345,0.040,0.441,-0.579,7.530,3.309,0.869
17274132,0.0232536,46.9140186766163,0.040,0.441,-0.579,7.512,3.292,0.859
17274135,0.0242912,46.9383098771796,0.040,0.441,-0.579,7.495,3.285,0.833
17274137,0.0255874,46.9638972776011,0.039,0.441,-0.579,7.500,3.289,0.843
17274140,0.0236424,46.9875396778807,0.039,0.441,-0.579,7.525,3.297,0.869
17274143,0.0263392,47.0138788772747,0.040,0.441,-0.578,7.533,3.305,0.864
17274145,0.0282141,47.042092978023,0.039,0.441,-0.579,7.555,3.336,0.892
17274149,0.0273123,47.0694052772596,0.040,0.441,-0.578,7.591,3.396,0.959
17274152,0.0310512,47.1004564771429,0.039,0.441,-0.579,7.619,3.490,1.014
17274155,0.0321799,47.1326363766566,0.039,0.441,-0.579,7.591,3.530,0.991
17274159,0.0346326,47.1672689775005,0.039,0.441,-0.579,7.568,3.474,0.943
17274163,0.0369755,47.204244476743,0.039,0.441,-0.579,7.584,3.363,0.911
17274167,0.0401068,47.2443512761965,0.039,0.441,-0.579,7.590,3.218,0.905
17274173,0.0456949,47.2900461750105,0.039,0.441,-0.579,7.583,3.136,0.845
17274178,0.051723,47.3417691746727,0.038,0.441,-0.578,7.565,3.113,0.921
17274186,0.0592014,47.4009705753997,0.038,0.440,-0.578,7.654,3.045,0.914
17274188,0.0787455,47.479716074653,0.038,0.440,-0.578,7.623,3.047,0.901
17274189,0.0123889,47.4921049745753,0.038,0.440,-0.579,7.612,3.071,0.893
17274191,0.0176338,47.5097387740389,0.038,0.440,-0.579,7.611,3.070,0.881
17274193,0.0171088,47.5268475739285,0.038,0.440,-0.579,7.575,3.087,0.890
17274194,0.0161172,47.5429647741839,0.038,0.440,-0.579,7.583,3.092,0.895
17274196,0.0159503,47.5589150739834,0.038,0.440,-0.579,7.578,3.102,0.896
17274198,0.0175322,47.5764472736046,0.038,0.440,-0.579,7.586,3.126,0.885
17274199,0.0164297,47.5928769735619,0.038,0.440,-0.579,7.592,3.133,0.883
17274201,0.0167445,47.609621473588,0.038,0.440,-0.579,7.605,3.130,0.891
17274203,0.0163666,47.6259880727157,0.038,0.440,-0.579,7.606,3.136,0.880
17274204,0.0176278,47.6436158725992,0.038,0.440,-0.579,7.607,3.137,0.856
