Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
17274099,0.0117736,46.5934289759025,-0.167,0.026,-0.301,0.000,0.223,0.222,0.032,-0.306,0.046,0.324
17274101,0.0150234,46.6084523759782,-0.167,0.026,-0.301,0.000,0.262,0.222,0.032,-0.306,0.045,0.307
17274103,0.0135255,46.6219778759405,-0.167,0.026,-0.301,0.000,0.296,0.222,0.032,-0.307,0.051,0.307
17274104,0.0171679,46.6391457756981,-0.167,0.026,-0.301,0.000,0.306,0.221,0.032,-0.307,0.045,0.309
17274106,0.0173126,46.6564583750442,-0.167,0.027,-0.301,0.000,0.307,0.221,0.032,-0.307,0.046,0.315
17274108,0.0175114,46.673969774507,-0.167,0.027,-0.302,0.002,0.302,0.221,0.032,-0.307,0.048,0.318
17274109,0.0177807,46.6917504752055,-0.167,0.028,-0.302,0.019,0.307,0.221,0.032,-0.307,0.042,0.312
17274111,0.0196486,46.7113990755752,-0.167,0.028,-0.302,0.041,0.315,0.221,0.032,-0.307,0.032,0.305
17274113,0.0190335,46.7304325764999,-0.167,0.028,-0.302,0.052,0.321,0.221,0.032,-0.307,0.032,0.305
17274115,0.0177969,46.7482294766232,-0.167,0.028,-0.302,0.042,0.315,0.221,0.032,-0.307,0.028,0.303
17274117,0.01879,46.7670194758102,-0.167,0.028,-0.302,0.011,0.307,0.222,0.032,-0.307,0.038,0.311
17274119,0.0195239,46.7865433758125,-0.166,0.028,-0.301,0.000,0.292,0.222,0.032,-0.307,0.041,0.325
17274121,0.0205447,46.807088076137,-0.166,0.029,-0.302,0.000,0.294,0.221,0.032,-0.307,0.030,0.341
17274123,0.0203425,46.8274305770174,-0.166,0.029,-0.302,0.000,0.299,0.221,0.031,-0.307,0.026,0.351
17274126,0.0206073,46.8480378771201,-0.166,0.029,-0.302,0.000,0.299,0.221,0.031,-0.307,0.050,0.359
17274128,0.0217691,46.8698069779202,-0.166,0.029,-0.302,0.000,0.306,0.221,0.031,-0.306,0.071,0.368
17274130,0.0209581,46.8907650774345,-0.166,0.029,-0.302,0.000,0.296,0.221,0.031,-0.306,0.103,0.393
