Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
17427289,0.0179152,960.226715258323,-0.022,0.447,-0.471,9.018,4.530,1.173
17427290,0.0181137,960.244828958996,-0.022,0.447,-0.471,9.040,4.527,1.174
17427293,0.0140457,960.258874659427,-0.022,0.447,-0.471,9.065,4.515,1.162
17427295,0.030397,960.289271659218,-0.022,0.447,-0.471,9.083,4.515,1.146
17427297,0.0235646,960.312836258672,-0.022,0.447,-0.470,9.128,4.539,1.143
17427300,0.0159615,960.328797758557,-0.022,0.447,-0.470,9.250,4.566,1.183
17427303,0.0321712,960.360968959518,-0.022,0.447,-0.470,9.287,4.544,1.196
17427305,0.0250564,960.386025358923,-0.022,0.447,-0.470,9.262,4.463,1.172
17427308,0.0275966,960.413621959277,-0.022,0.447,-0.470,9.218,4.349,1.132
17427310,0.0286535,960.442275459878,-0.022,0.447,-0.470,9.212,4.291,1.122
17427314,0.018276,960.460551460274,-0.023,0.447,-0.470,9.238,4.266,1.149
17427317,0.0363855,960.496936959215,-0.023,0.447,-0.470,9.280,4.278,1.162
17427320,0.0322292,960.52916615922,-0.023,0.447,-0.470,9.283,4.338,1.147
17427324,0.0337805,960.562946659513,-0.022,0.447,-0.470,9.258,4.392,1.185
17427327,0.037493,960.600439661182,-0.022,0.447,-0.470,9.253,4.437,1.161
17427333,0.0326634,960.633103062399,-0.023,0.447,-0.470,9.221,4.422,1.168
17427338,0.0516069,960.684709963389,-0.023,0.447,-0.470,9.217,4.374,1.180
17427344,0.0521487,960.736858663149,-0.023,0.447,-0.471,9.192,4.324,1.162
17427351,0.0597006,960.796559263952,-0.023,0.447,-0.471,9.123,4.454,1.206
17427361,0.0770782,960.873637464829,-0.022,0.447,-0.471,9.120,4.583,1.137
17427371,0.1000339,960.973671366461,-0.023,0.447,-0.471,9.126,4.501,1.201
17427381,0.0996808,961.073352170177,-0.023,0.447,-0.470,9.059,4.412,1.242
17427383,0.1009925,961.174344670959,-0.023,0.447,-0.471,9.112,4.405,1.212
17427385,0.0136568,961.18800147064,-0.023,0.447,-0.471,9.131,4.402,1.267
17427386,0.0249709,961.212972370908,-0.023,0.447,-0.471,9.136,4.409,1.328
17427388,0.0087526,961.221724971198,-0.023,0.447,-0.471,9.128,4.408,1.313
17427389,0.0237678,961.245492770337,-0.023,0.447,-0.471,9.128,4.425,1.296
17427392,0.0088024,961.254295170307,-0.023,0.447,-0.471,9.127,4.413,1.292
17427393,0.0257828,961.280077969655,-0.023,0.447,-0.471,9.114,4.410,1.285
17427395,0.0084697,961.288547669537,-0.023,0.447,-0.471,9.113,4.413,1.284
17427396,0.0247971,961.313344770111,-0.023,0.447,-0.471,9.112,4.404,1.288
17427399,0.0091095,961.322454269975,-0.023,0.447,-0.471,9.105,4.404,1.297
17427400,0.0265241,961.348978370428,-0.023,0.447,-0.471,9.110,4.393,1.307
17427402,0.0094975,961.358475870453,-0.023,0.447,-0.471,9.110,4.388,1.318
17427403,0.02467,961.38314586971,-0.023,0.447,-0.471,9.116,4.389,1.323
17427406,0.00933,961.392475869507,-0.023,0.447,-0.471,9.097,4.391,1.326
17427407,0.0246939,961.417169770226,-0.023,0.447,-0.471,9.092,4.396,1.310
17427409,0.0086709,961.425840670243,-0.024,0.447,-0.471,9.084,4.398,1.303
17427410,0.0244708,961.450311470777,-0.024,0.447,-0.471,9.070,4.400,1.315
17427412,0.0087405,961.459051970392,-0.024,0.447,-0.471,9.064,4.409,1.321
17427413,0.024324,961.483375970274,-0.023,0.447,-0.471,9.057,4.423,1.315
17427416,0.0095674,961.492943370715,-0.023,0.447,-0.471,9.054,4.422,1.310
17427417,0.0244356,961.517378970981,-0.023,0.447,-0.471,9.052,4.436,1.292
17427419,0.008118,961.525496970862,-0.023,0.447,-0.471,9.060,4.439,1.290
17427420,0.0247096,961.550206569955,-0.023,0.447,-0.471,9.084,4.443,1.296
17427422,0.0089954,961.559201969765,-0.023,0.447,-0.471,9.092,4.456,1.298
17427423,0.024686,961.583887969144,-0.023,0.447,-0.471,9.109,4.469,1.310
17427426,0.0084686,961.592356569134,-0.023,0.447,-0.471,9.133,4.484,1.324
17427426,0.0242543,961.616610868834,-0.023,0.447,-0.471,9.137,4.490,1.329
17427429,0.0087495,961.625360368751,-0.023,0.447,-0.471,9.147,4.488,1.329
17427430,0.0240291,961.649389469065,-0.023,0.447,-0.471,9.154,4.485,1.320
17427432,0.0100221,961.659411569126,-0.024,0.447,-0.471,9.160,4.480,1.333
17427433,0.0251395,961.684551068582,-0.024,0.447,-0.471,9.166,4.487,1.346
17427436,0.0078851,961.692436168902,-0.024,0.447,-0.471,9.187,4.463,1.350
17427436,0.0245911,961.717027268372,-0.024,0.447,-0.471,9.202,4.471,1.364
17427439,0.0084182,961.725445467979,-0.024,0.447,-0.471,9.210,4.465,1.397
17427440,0.0245413,961.749986767769,-0.024,0.447,-0.471,9.218,4.442,1.392
17427442,0.0091943,961.759181067348,-0.024,0.447,-0.471,9.229,4.442,1.397
17427443,0.0247341,961.783915167674,-0.024,0.447,-0.471,9.236,4.424,1.392
17427446,0.0089896,961.792904768139,-0.024,0.447,-0.471,9.241,4.431,1.425
17427446,0.0243554,961.817260168493,-0.024,0.447,-0.471,9.253,4.426,1.439
17427449,0.0088655,961.826125668362,-0.024,0.447,-0.471,9.263,4.425,1.458
17427450,0.0251461,961.851271769032,-0.024,0.447,-0.471,9.276,4.411,1.461
17427452,0.0084958,961.859767569229,-0.024,0.447,-0.471,9.275,4.410,1.464
17427453,0.0250063,961.884773869067,-0.024,0.447,-0.471,9.276,4.398,1.461
17427456,0.0083604,961.893134268932,-0.024,0.447,-0.471,9.278,4.403,1.490
17427457,0.0252336,961.918367869221,-0.024,0.447,-0.471,9.275,4.407,1.504
17427459,0.0083701,961.92673796881,-0.024,0.447,-0.471,9.288,4.408,1.520
17427460,0.0243424,961.9510803679,-0.024,0.447,-0.471,9.303,4.414,1.519
17427462,0.0074033,961.958483668044,-0.024,0.447,-0.471,9.322,4.427,1.541
17427463,0.0264047,961.984888367355,-0.024,0.447,-0.471,9.305,4.413,1.556
17427466,0.0085923,961.993480667472,-0.024,0.447,-0.471,9.304,4.392,1.555
17427467,0.0243072,962.017787868157,-0.024,0.447,-0.471,9.282,4.369,1.537
17427469,0.0128454,962.030633267947,-0.024,0.447,-0.471,9.275,4.340,1.515
17427470,0.0203215,962.050954767503,-0.024,0.447,-0.471,9.259,4.313,1.509
17427472,0.0092863,962.060241067782,-0.024,0.447,-0.471,9.254,4.282,1.505
17427473,0.0253514,962.085592467338,-0.024,0.447,-0.471,9.252,4.265,1.506
17427476,0.0084487,962.094041167758,-0.024,0.447,-0.471,9.261,4.259,1.496
17427476,0.0238463,962.117887468077,-0.024,0.447,-0.471,9.261,4.251,1.503
17427478,0.0088145,962.126701967791,-0.024,0.447,-0.471,9.269,4.252,1.497
17427481,0.0172403,962.143942268565,-0.024,0.447,-0.471,9.273,4.248,1.494
17427482,0.0267614,962.170703668147,-0.024,0.447,-0.470,9.274,4.259,1.494
17427483,0.0155164,962.186220068485,-0.024,0.447,-0.471,9.279,4.265,1.503
17427485,0.0081673,962.194387368858,-0.024,0.447,-0.470,9.290,4.280,1.505
17427487,0.0162684,962.210655769333,-0.024,0.447,-0.470,9.294,4.287,1.511
17427489,0.0245301,962.235185869038,-0.024,0.447,-0.470,9.301,4.282,1.501
17427490,0.0179069,962.253092769533,-0.024,0.447,-0.470,9.286,4.275,1.498
17427492,0.0070102,962.260102969594,-0.024,0.447,-0.470,9.272,4.264,1.475
17427493,0.0250476,962.285150569864,-0.024,0.447,-0.470,9.260,4.252,1.475
17427496,0.0083369,962.293487469666,-0.024,0.447,-0.470,9.247,4.240,1.474
17427496,0.0248407,962.318328169174,-0.024,0.447,-0.471,9.242,4.223,1.452
17427499,0.0082633,962.326591469347,-0.024,0.447,-0.471,9.253,4.234,1.474
17427500,0.0237454,962.350336870179,-0.024,0.447,-0.471,9.248,4.230,1.481
17427502,0.0095041,962.359840970486,-0.024,0.447,-0.471,9.246,4.214,1.468
17427503,0.0250585,962.384899470955,-0.024,0.447,-0.471,9.234,4.212,1.446
17427506,0.0088238,962.393723270856,-0.024,0.447,-0.471,9.246,4.217,1.440
17427506,0.0248608,962.418584070168,-0.024,0.447,-0.471,9.251,4.213,1.442
17427509,0.0082728,962.426856869832,-0.024,0.447,-0.471,9.262,4.211,1.462
17427510,0.0252395,962.452096369118,-0.024,0.447,-0.471,9.272,4.209,1.469
17427512,0.0077951,962.459891469218,-0.024,0.447,-0.471,9.265,4.213,1.471
17427513,0.0259994,962.485890869983,-0.024,0.447,-0.471,9.261,4.209,1.456
17427515,0.0079195,962.493810369633,-0.024,0.447,-0.470,9.259,4.206,1.456
17427516,0.0239496,962.517759970389,-0.024,0.447,-0.470,9.269,4.196,1.461
17427518,0.008744,962.526503970847,-0.024,0.447,-0.470,9.271,4.193,1.467
17427521,0.0170317,962.543535670266,-0.024,0.447,-0.470,9.265,4.200,1.467
17427522,0.026811,962.570346670225,-0.024,0.447,-0.470,9.278,4.171,1.470
17427523,0.0155517,962.585898370482,-0.024,0.447,-0.470,9.301,4.174,1.473
17427525,0.0069588,962.592857170384,-0.024,0.447,-0.470,9.322,4.156,1.471
17427527,0.0169268,962.609783971217,-0.024,0.447,-0.470,9.334,4.126,1.476
17427528,0.0252967,962.635080670472,-0.024,0.447,-0.470,9.358,4.117,1.464
17427531,0.0089245,962.644005170558,-0.024,0.447,-0.470,9.360,4.101,1.427
17427532,0.0242133,962.668218469713,-0.024,0.447,-0.470,9.332,4.105,1.433
17427535,0.0184672,962.686685670633,-0.024,0.447,-0.470,9.327,4.092,1.453
17427536,0.0324579,962.719143569935,-0.024,0.447,-0.470,9.323,4.102,1.451
17427538,0.006566,962.725709570106,-0.024,0.447,-0.470,9.326,4.104,1.448
