Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
17427289,0.0179152,960.226715258323,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427290,0.0181137,960.244828958996,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427293,0.0140457,960.258874659427,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427295,0.030397,960.289271659218,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427297,0.0235646,960.312836258672,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427300,0.0159615,960.328797758557,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427303,0.0321712,960.360968959518,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427305,0.0250564,960.386025358923,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427308,0.0275966,960.413621959277,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427310,0.0286535,960.442275459878,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427314,0.018276,960.460551460274,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427317,0.0363855,960.496936959215,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427320,0.0322292,960.52916615922,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427324,0.0337805,960.562946659513,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427327,0.037493,960.600439661182,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427333,0.0326634,960.633103062399,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427338,0.0516069,960.684709963389,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427344,0.0521487,960.736858663149,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427351,0.0597006,960.796559263952,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427361,0.0770782,960.873637464829,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427371,0.1000339,960.973671366461,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427381,0.0996808,961.073352170177,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427383,0.1009925,961.174344670959,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427385,0.0136568,961.18800147064,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427386,0.0249709,961.212972370908,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427388,0.0087526,961.221724971198,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427389,0.0237678,961.245492770337,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427392,0.0088024,961.254295170307,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427393,0.0257828,961.280077969655,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427395,0.0084697,961.288547669537,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427396,0.0247971,961.313344770111,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427399,0.0091095,961.322454269975,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427400,0.0265241,961.348978370428,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427402,0.0094975,961.358475870453,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427403,0.02467,961.38314586971,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427406,0.00933,961.392475869507,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427407,0.0246939,961.417169770226,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427409,0.0086709,961.425840670243,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427410,0.0244708,961.450311470777,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427412,0.0087405,961.459051970392,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427413,0.024324,961.483375970274,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427416,0.0095674,961.492943370715,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427417,0.0244356,961.517378970981,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427419,0.008118,961.525496970862,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427420,0.0247096,961.550206569955,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427422,0.0089954,961.559201969765,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427423,0.024686,961.583887969144,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427426,0.0084686,961.592356569134,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427426,0.0242543,961.616610868834,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427429,0.0087495,961.625360368751,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427430,0.0240291,961.649389469065,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427432,0.0100221,961.659411569126,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427433,0.0251395,961.684551068582,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427436,0.0078851,961.692436168902,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427436,0.0245911,961.717027268372,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427439,0.0084182,961.725445467979,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427440,0.0245413,961.749986767769,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427442,0.0091943,961.759181067348,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427443,0.0247341,961.783915167674,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427446,0.0089896,961.792904768139,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427446,0.0243554,961.817260168493,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427449,0.0088655,961.826125668362,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427450,0.0251461,961.851271769032,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427452,0.0084958,961.859767569229,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427453,0.0250063,961.884773869067,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427456,0.0083604,961.893134268932,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427457,0.0252336,961.918367869221,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427459,0.0083701,961.92673796881,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427460,0.0243424,961.9510803679,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427462,0.0074033,961.958483668044,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427463,0.0264047,961.984888367355,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427466,0.0085923,961.993480667472,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427467,0.0243072,962.017787868157,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427469,0.0128454,962.030633267947,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427470,0.0203215,962.050954767503,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427472,0.0092863,962.060241067782,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427473,0.0253514,962.085592467338,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427476,0.0084487,962.094041167758,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427476,0.0238463,962.117887468077,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427478,0.0088145,962.126701967791,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427481,0.0172403,962.143942268565,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427482,0.0267614,962.170703668147,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427483,0.0155164,962.186220068485,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427485,0.0081673,962.194387368858,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427487,0.0162684,962.210655769333,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
17427489,0.0245301,962.235185869038,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
