Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
17427289,0.0179152,960.226715258323,0.000,0.461,0.500,0.000
17427290,0.0181137,960.244828958996,0.000,0.461,0.500,0.000
17427293,0.0140457,960.258874659427,0.000,0.461,0.500,0.000
17427295,0.030397,960.289271659218,0.000,0.461,0.500,0.000
17427297,0.0235646,960.312836258672,0.000,0.461,0.500,0.000
17427300,0.0159615,960.328797758557,0.000,0.461,0.500,0.000
17427303,0.0321712,960.360968959518,0.000,0.461,0.500,0.000
17427305,0.0250564,960.386025358923,0.000,0.461,0.500,0.000
17427308,0.0275966,960.413621959277,0.000,0.461,0.500,0.000
17427310,0.0286535,960.442275459878,0.000,0.461,0.500,0.000
17427314,0.018276,960.460551460274,0.000,0.461,0.500,0.000
17427317,0.0363855,960.496936959215,0.000,0.461,0.500,0.000
17427320,0.0322292,960.52916615922,0.000,0.461,0.500,0.000
17427324,0.0337805,960.562946659513,0.000,0.461,0.500,0.000
17427327,0.037493,960.600439661182,0.000,0.461,0.500,0.000
17427333,0.0326634,960.633103062399,0.000,0.461,0.500,0.000
17427338,0.0516069,960.684709963389,0.000,0.461,0.500,0.000
17427344,0.0521487,960.736858663149,0.000,0.461,0.500,0.000
17427351,0.0597006,960.796559263952,0.000,0.461,0.500,0.000
17427361,0.0770782,960.873637464829,0.000,0.461,0.500,0.000
17427371,0.1000339,960.973671366461,0.000,0.461,0.500,0.000
17427381,0.0996808,961.073352170177,0.000,0.461,0.500,0.000
17427383,0.1009925,961.174344670959,0.000,0.461,0.500,0.000
17427385,0.0136568,961.18800147064,0.000,0.461,0.500,0.000
17427386,0.0249709,961.212972370908,0.000,0.461,0.500,0.000
17427388,0.0087526,961.221724971198,0.000,0.461,0.500,0.000
17427389,0.0237678,961.245492770337,0.000,0.461,0.500,0.000
17427392,0.0088024,961.254295170307,0.000,0.461,0.500,0.000
17427393,0.0257828,961.280077969655,0.000,0.461,0.500,0.000
17427395,0.0084697,961.288547669537,0.000,0.461,0.500,0.000
17427396,0.0247971,961.313344770111,0.000,0.461,0.500,0.000
17427399,0.0091095,961.322454269975,0.000,0.461,0.500,0.000
17427400,0.0265241,961.348978370428,0.000,0.461,0.500,0.000
17427402,0.0094975,961.358475870453,0.000,0.461,0.500,0.000
17427403,0.02467,961.38314586971,0.000,0.461,0.500,0.000
17427406,0.00933,961.392475869507,0.000,0.461,0.500,0.000
17427407,0.0246939,961.417169770226,0.000,0.461,0.500,0.000
17427409,0.0086709,961.425840670243,0.000,0.461,0.500,0.000
17427410,0.0244708,961.450311470777,0.000,0.461,0.500,0.000
17427412,0.0087405,961.459051970392,0.000,0.461,0.500,0.000
17427413,0.024324,961.483375970274,0.000,0.461,0.500,0.000
17427416,0.0095674,961.492943370715,0.000,0.461,0.500,0.000
17427417,0.0244356,961.517378970981,0.000,0.461,0.500,0.000
17427419,0.008118,961.525496970862,0.000,0.461,0.500,0.000
17427420,0.0247096,961.550206569955,0.000,0.461,0.500,0.000
17427422,0.0089954,961.559201969765,0.000,0.461,0.500,0.000
17427423,0.024686,961.583887969144,0.000,0.461,0.500,0.000
17427426,0.0084686,961.592356569134,0.000,0.461,0.500,0.000
17427426,0.0242543,961.616610868834,0.000,0.461,0.500,0.000
