Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
17276599,0.0102774,71.5246706847101,-0.001,0.416,0.500,0.000
17276600,0.0204444,71.5451150853187,-0.001,0.416,0.500,0.000
17276603,0.0087896,71.5539046851918,-0.001,0.416,0.500,0.000
17276604,0.0241572,71.5780618852004,-0.001,0.416,0.500,0.000
17276605,0.0173586,71.5954204844311,-0.001,0.416,0.500,0.000
17276608,0.0084189,71.6038393843919,-0.001,0.416,0.500,0.000
17276608,0.0247896,71.6286289840937,-0.001,0.416,0.500,0.000
17276611,0.008879,71.6375079844147,-0.001,0.416,0.500,0.000
17276612,0.0254393,71.6629472840577,-0.001,0.416,0.500,0.000
17276613,0.0086977,71.6716449838132,-0.001,0.416,0.500,0.000
17276618,0.0128536,71.6844985838979,-0.001,0.416,0.500,0.000
17276620,0.0476449,71.7321434821934,-0.001,0.416,0.500,0.000
17276624,0.0236867,71.7558301817626,-0.001,0.416,0.500,0.000
17276627,0.0405957,71.7964258808643,-0.001,0.416,0.500,0.000
17276631,0.0255108,71.821936680004,-0.001,0.416,0.500,0.000
17276632,0.0404984,71.8624350782484,-0.001,0.416,0.500,0.000
17276634,0.0110018,71.8734368784353,-0.001,0.416,0.500,0.000
17276635,0.0239267,71.8973635779694,-0.001,0.416,0.500,0.000
17276637,0.0087933,71.9061568779871,-0.001,0.416,0.500,0.000
17276639,0.0155269,71.921683778055,-0.001,0.416,0.500,0.000
17276640,0.0257646,71.9474483774975,-0.001,0.416,0.500,0.000
17276643,0.0087183,71.956166677177,-0.001,0.416,0.500,0.000
17276644,0.0231098,71.9792764764279,-0.001,0.416,0.500,0.000
17276646,0.0102695,71.9895459767431,-0.001,0.416,0.500,0.000
17276647,0.0239852,72.0135311763734,-0.001,0.416,0.500,0.000
17276649,0.0091744,72.0227055763826,-0.001,0.416,0.500,0.000
17276650,0.0236418,72.0463473768905,-0.001,0.416,0.500,0.000
17276653,0.0102367,72.0565840769559,-0.001,0.416,0.500,0.000
17276654,0.0236056,72.0801896769553,-0.001,0.416,0.500,0.000
17276656,0.0099161,72.090105776675,-0.001,0.416,0.500,0.000
17276657,0.0233838,72.1134895766154,-0.001,0.416,0.500,0.000
17276659,0.0088008,72.1222903765738,-0.001,0.416,0.500,0.000
17276660,0.0250689,72.1473592761904,-0.001,0.416,0.500,0.000
17276663,0.0085878,72.1559470761567,-0.001,0.416,0.500,0.000
17276664,0.0245176,72.18046467565,-0.001,0.416,0.500,0.000
17276666,0.0091252,72.1895898757502,-0.001,0.416,0.500,0.000
17276667,0.0222954,72.2118852762505,-0.001,0.416,0.500,0.000
17276669,0.0102708,72.222156076692,-0.001,0.416,0.500,0.000
17276670,0.0241464,72.2463024770841,-0.001,0.416,0.500,0.000
17276673,0.0091068,72.2554092770442,-0.001,0.416,0.500,0.000
17276674,0.0263544,72.2817636774853,-0.001,0.416,0.500,0.000
