Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
6524267,0.0095051,534.360270710196,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524269,0.0136641,534.373934810515,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524270,0.0169111,534.390845911112,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524272,0.0165219,534.407367812004,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524274,0.0175702,534.424938011449,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524275,0.0173857,534.442323712166,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524277,0.0178194,534.460143113043,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524279,0.0191529,534.479296013247,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524281,0.0186002,534.497896212619,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524283,0.0185126,534.516408811789,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524285,0.0196283,534.536037111189,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524287,0.022859,534.558896110859,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524289,0.0200329,534.578929010313,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524291,0.019392,534.598321010824,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524294,0.0212655,534.619586510118,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524296,0.0252106,534.644797110464,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524298,0.0213808,534.666177911218,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524301,0.0227483,534.688926212024,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524303,0.0245312,534.713457412552,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524306,0.0254733,534.73893071292,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524309,0.0282192,534.76714991359,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524312,0.0267004,534.793850313406,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524315,0.0322739,534.82612421317,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524318,0.0266082,534.852732413914,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524321,0.034333,534.887065415736,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524325,0.0341465,534.921211914625,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524329,0.0370716,534.958283515181,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
0,0.0459683,535.004251816776,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524339,0.0413562,535.045608015265,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524345,0.0530544,535.098662415054,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524354,0.0624573,535.161119715776,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524364,0.0832784,535.244398118462,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524366,0.0992102,535.343608321156,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524367,0.0257211,535.369329420384,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524369,0.0123902,535.381719620433,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524371,0.0179515,535.399671120103,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524372,0.0151137,535.414784820285,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524374,0.017358,535.432142819744,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524375,0.0163513,535.448494119104,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
0,0.0172039,535.465698018204,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
0,0.0163185,535.482016518246,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
0,0.0175233,535.499539818149,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
0,0.0163201,535.515859918203,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
0,0.0168484,535.532708318438,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
0,0.0173728,535.550081118476,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
0,0.0166498,535.566730917897,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
0,0.0166298,535.583360718098,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
0,0.0168633,535.600224017631,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524393,0.0167878,535.617011816707,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524394,0.0167591,535.633770916145,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524396,0.0169181,535.650689016562,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524397,0.016345,535.667034016456,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524399,0.0169736,535.684007616248,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524401,0.0170444,535.701052017044,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524403,0.0159289,535.716980916914,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524404,0.0171286,535.734109516721,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524406,0.0164115,535.750521016773,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524408,0.0169354,535.767456417438,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524409,0.0165504,535.784006816801,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524411,0.0168734,535.800880217459,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524412,0.0168686,535.817748818081,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524414,0.016841,535.834589818027,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524416,0.0161683,535.850758118089,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524418,0.0169532,535.867711318191,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524419,0.0170549,535.884766218718,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524421,0.0165667,535.901332918089,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524423,0.0160928,535.917425717693,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524424,0.0174346,535.934860318433,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524426,0.0164642,535.951324518304,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524428,0.0167184,535.968042918947,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524429,0.017661,535.985703918617,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524431,0.0160055,536.001709417906,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524433,0.0161232,536.017832617741,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524434,0.0167846,536.034617218655,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
6524436,0.016845,536.051462219562,-0.350,0.448,-0.355,1.000,0.982,0.130,0.586,-0.153,1.000,0.923
