Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
249522,0.012598,633.973563509993,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249525,0.0134501,633.98701361008,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249527,0.0214408,634.008454410359,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249528,0.0193543,634.027808710933,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249530,0.0194793,634.04728801176,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249532,0.0208802,634.068168211728,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
0,0.0225311,634.090699311346,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
0,0.020591,634.111290311441,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
0,0.0184142,634.129704510793,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
0,0.0228168,634.152521310374,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249543,0.0223925,634.174913810566,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249546,0.0228468,634.19776060991,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249548,0.0253565,634.223117109388,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249551,0.0237487,634.246865808964,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249554,0.0281051,634.274970909581,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249556,0.0254896,634.300460509956,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249559,0.0281323,634.32859281078,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
249563,0.0301275,634.358720310032,-0.347,0.616,-0.315,0.745,1.000,-0.077,0.639,-0.204,0.121,0.504
