Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
190984,0.0166746,109.939637402538,-0.077,0.051,0.258,0.000,0.000,0.427,-0.263,0.707,0.770,0.682
190986,0.0132572,109.952894602437,-0.077,0.051,0.258,0.000,0.000,0.427,-0.172,0.894,0.763,0.670
190988,0.0163013,109.969195902813,-0.077,0.051,0.258,0.000,0.000,0.428,-0.081,1.081,0.764,0.666
190989,0.0174661,109.986662002746,-0.077,0.051,0.258,0.000,0.000,0.428,0.010,1.268,0.756,0.670
190991,0.0169555,110.003617503215,-0.077,0.051,0.258,0.000,0.000,-0.428,0.943,0.928,0.766,0.685
190993,0.0173951,110.02101260284,-0.077,0.051,0.258,0.000,0.000,-0.427,1.034,1.115,0.777,0.695
190995,0.0174523,110.038464902435,-0.077,0.051,0.258,0.000,0.000,-0.427,1.125,1.302,0.775,0.705
190996,0.0235283,110.06199320266,-0.077,0.051,0.258,0.000,0.000,-0.426,1.215,1.489,0.690,0.714
190998,0.0165704,110.078563603107,-0.077,0.051,0.258,0.000,0.000,-0.425,1.306,1.676,0.673,0.717
191044,0.1120259,110.539187802468,-0.077,0.051,0.258,0.000,0.000,-0.406,2.589,4.288,0.686,0.735
191046,0.0131285,110.552316302899,-0.077,0.051,0.258,0.000,0.000,-0.407,2.682,4.474,0.496,0.684
191048,0.0209968,110.573313102592,-0.077,0.051,0.258,0.000,0.000,-0.407,2.777,4.660,0.320,0.677
191051,0.0249682,110.598281302024,-0.077,0.051,0.258,0.000,0.000,-0.407,2.870,4.849,0.308,0.709
191053,0.0225881,110.620869402308,-0.077,0.051,0.258,0.000,0.000,-0.406,2.962,5.040,0.307,0.745
191056,0.0244274,110.64529680321,-0.077,0.051,0.258,0.000,0.000,0.405,2.194,5.768,0.289,0.794
191058,0.0252517,110.670548502821,-0.077,0.051,0.258,0.000,0.000,0.405,2.292,5.958,0.238,0.772
191061,0.0293139,110.699862402398,-0.077,0.051,0.258,0.000,0.000,0.403,2.393,6.146,0.466,0.725
191064,0.0257287,110.725591103081,-0.077,0.051,0.258,0.000,0.000,-0.402,3.405,6.004,0.588,0.693
191067,0.0277476,110.753338702489,-0.077,0.051,0.258,0.000,0.000,-0.399,3.490,6.196,0.634,0.827
191068,0.0249213,110.778260002378,-0.077,0.051,0.258,0.000,0.000,-0.398,3.577,6.386,0.607,0.914
191070,0.0122918,110.790551802609,-0.077,0.051,0.258,0.000,0.000,-0.398,3.664,6.575,0.575,0.914
191072,0.0246842,110.815236002672,-0.077,0.051,0.258,0.000,0.000,-0.398,3.751,6.765,0.752,0.998
191073,0.0151558,110.830391802359,-0.077,0.051,0.258,0.000,0.000,-0.399,3.838,6.953,0.952,0.960
191077,0.0228479,110.853239702526,-0.077,0.051,0.258,0.000,0.000,-0.403,3.922,7.143,0.994,0.887
191078,0.0266723,110.879912002478,-0.077,0.051,0.258,0.000,0.000,-0.405,4.009,7.333,0.749,0.670
191080,0.0179448,110.897856802214,-0.077,0.051,0.258,0.000,0.000,0.109,0.155,-0.386,0.801,0.642
191081,0.0183986,110.916255401913,-0.077,0.051,0.258,0.000,0.000,0.114,0.162,-0.385,0.637,0.585
191083,0.0120505,110.928305902053,-0.077,0.051,0.258,0.000,0.000,0.120,0.172,-0.383,0.495,0.602
191084,0.0193121,110.947618002538,-0.077,0.051,0.258,0.000,0.000,0.125,0.180,-0.381,0.593,0.789
191087,0.0107954,110.958413402084,-0.077,0.051,0.258,0.000,0.000,0.128,0.189,-0.379,0.654,0.891
191088,0.0204969,110.978910301346,-0.077,0.051,0.258,0.000,0.000,0.132,0.198,-0.377,0.809,1.000
191089,0.0172037,110.996114001144,-0.077,0.051,0.258,0.000,0.000,0.135,0.206,-0.375,0.751,1.000
191092,0.0173843,111.013498301152,-0.077,0.051,0.258,0.000,0.000,0.138,0.214,-0.372,0.520,1.000
191093,0.0172642,111.030762501527,-0.077,0.051,0.258,0.000,0.000,0.142,0.223,-0.368,0.420,0.992
191095,0.0112269,111.041989401449,-0.077,0.051,0.258,0.000,0.000,0.145,0.233,-0.364,0.479,0.970
191096,0.0232332,111.065222600941,-0.077,0.051,0.258,0.000,0.000,0.150,0.242,-0.362,0.569,0.882
191098,0.0104554,111.075678000692,-0.077,0.051,0.258,0.000,0.000,0.152,0.252,-0.360,0.630,0.855
191100,0.0226908,111.09836879978,-0.286,0.450,-0.602,0.000,0.000,0.159,0.264,-0.358,0.805,0.822
191102,0.0143474,111.112716199365,-0.281,0.450,-0.591,1.000,0.903,0.158,0.273,-0.357,0.901,0.828
191103,0.0192101,111.131926299538,-0.291,0.439,-0.569,1.000,1.000,0.158,0.285,-0.358,1.000,0.900
191105,0.0112858,111.143212099094,-0.301,0.429,-0.546,1.000,1.000,0.160,0.295,-0.359,0.852,0.917
