Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
15434327,0.0206256,80.7740998696536,0.028,0.947,-0.268,21.009,7.342,358.996
15434331,0.0303519,80.8044517692178,0.036,0.947,-0.267,21.105,6.756,358.800
15434335,0.0319231,80.8363748695701,0.044,0.946,-0.266,21.168,6.177,358.827
15434339,0.0384234,80.8747982699424,0.052,0.945,-0.266,21.985,5.680,358.769
15434344,0.0473939,80.9221921693534,0.057,0.943,-0.268,22.497,5.676,358.634
15434350,0.0469667,80.9691588710994,0.060,0.943,-0.274,22.411,6.517,358.667
15434358,0.0602514,81.029410270974,0.057,0.947,-0.280,20.749,7.692,358.637
15434367,0.0772757,81.1066859718412,0.041,0.954,-0.286,18.106,8.158,357.065
0,0.096519,81.2032049726695,0.024,0.957,-0.280,16.833,6.883,358.172
15434387,0.1029222,81.3061271738261,0.006,0.946,-0.270,21.389,4.782,357.522
15434397,0.0982488,81.4043759759516,-0.010,0.939,-0.261,23.987,2.309,358.225
15434407,0.1019404,81.50631637685,-0.027,0.927,-0.253,28.157,359.416,357.822
0,0.1017648,81.6080811750144,-0.038,0.917,-0.248,31.973,355.430,357.487
15434418,0.0991972,81.7072783764452,-0.039,0.916,-0.247,32.402,355.026,357.244
15434420,0.0094468,81.7167251762003,-0.041,0.915,-0.247,32.801,354.539,356.876
0,0.0171844,81.7339095771313,-0.042,0.915,-0.247,32.953,354.133,356.764
15434424,0.0164748,81.7503843773156,-0.042,0.915,-0.247,32.937,353.903,356.872
15434425,0.0231143,81.7734986767173,-0.042,0.915,-0.247,32.783,353.765,357.005
15434427,0.0120699,81.7855685763061,-0.044,0.914,-0.246,33.188,352.979,356.914
15434429,0.0177194,81.8032879754901,-0.046,0.913,-0.245,33.583,352.280,356.760
15434431,0.0155277,81.8188156755641,-0.048,0.912,-0.245,33.978,351.629,356.636
15434432,0.0172663,81.8360819751397,-0.050,0.911,-0.244,34.343,351.038,356.598
15434434,0.0169371,81.8530190745369,-0.052,0.910,-0.243,34.641,350.508,356.569
15434436,0.020607,81.8736260747537,-0.054,0.909,-0.243,35.058,349.940,356.623
15434438,0.0151166,81.8887426750734,-0.055,0.908,-0.243,35.345,349.548,356.722
15434440,0.0177378,81.9064804753289,-0.056,0.908,-0.242,35.515,349.247,356.739
15434441,0.018907,81.9253874747083,-0.057,0.908,-0.242,35.627,349.038,356.717
15434442,0.0138644,81.9392518745735,-0.058,0.908,-0.241,35.702,348.877,356.707
15434444,0.0166116,81.9558634748682,-0.059,0.907,-0.240,35.796,348.771,356.708
15434446,0.0166846,81.972548074089,-0.060,0.907,-0.240,36.012,348.704,356.727
15434447,0.0170024,81.9895504740998,-0.060,0.906,-0.240,36.272,348.628,356.780
15434449,0.015665,82.0052154744044,-0.061,0.906,-0.240,36.494,348.536,356.994
15434451,0.0187836,82.0239990735427,-0.062,0.906,-0.239,36.624,348.357,357.285
15434452,0.0154862,82.0394852738827,-0.062,0.906,-0.238,36.621,348.086,357.455
0,0.0163818,82.0558670740575,-0.063,0.906,-0.238,36.483,347.742,357.540
0,0.020063,82.0759300738573,-0.064,0.906,-0.237,36.309,347.248,357.536
15434457,0.0127378,82.0886678742245,-0.065,0.906,-0.237,36.177,346.516,357.410
15434459,0.017253,82.1059208745137,-0.066,0.906,-0.237,36.137,345.613,357.150
15434461,0.0169033,82.122824174352,-0.067,0.906,-0.237,36.049,344.678,356.954
15434462,0.0164028,82.1392269739881,-0.068,0.907,-0.238,35.858,343.738,356.782
15434464,0.0175026,82.1567295743153,-0.069,0.908,-0.238,35.589,342.828,356.571
15434466,0.0159677,82.1726972749457,-0.071,0.909,-0.238,35.254,341.931,356.385
15434468,0.0182863,82.1909835757688,-0.072,0.910,-0.239,34.866,341.035,356.266
15434469,0.0163995,82.2073830766603,-0.073,0.911,-0.239,34.480,340.223,356.220
15434471,0.0155011,82.222884176299,-0.074,0.912,-0.240,34.089,339.413,356.208
15434473,0.0195502,82.2424343768507,-0.076,0.914,-0.241,33.646,338.591,356.197
15434474,0.0134398,82.2558741765097,-0.077,0.915,-0.241,33.217,337.813,356.209
0,0.0175105,82.2733846763149,-0.079,0.915,-0.242,32.835,336.983,356.267
0,0.0152902,82.2886748760939,-0.081,0.916,-0.244,32.507,336.072,356.317
0,0.0177046,82.3063794765621,-0.083,0.917,-0.245,32.194,335.027,356.320
0,0.0155851,82.3219645768404,-0.085,0.917,-0.246,31.923,333.921,356.241
0,0.017442,82.3394065760076,-0.088,0.918,-0.248,31.677,332.666,356.062
0,0.0170664,82.3564729765058,-0.090,0.918,-0.249,31.532,331.424,355.808
0,0.0166899,82.3731628768146,-0.093,0.918,-0.251,31.454,330.144,355.488
15434487,0.0186394,82.391802277416,-0.096,0.918,-0.253,31.326,328.579,355.138
15434489,0.013643,82.4054452776909,-0.098,0.919,-0.255,31.223,327.272,354.846
15434491,0.0169237,82.4223689772189,-0.101,0.919,-0.257,31.084,325.952,354.625
15434492,0.0164438,82.4388127774,-0.103,0.919,-0.258,30.921,324.591,354.455
15434494,0.0174602,82.456272976473,-0.106,0.920,-0.260,30.721,323.312,354.345
15434496,0.0160264,82.4722993765026,-0.107,0.920,-0.261,30.476,322.315,354.274
15434497,0.0162215,82.4885208755732,-0.110,0.921,-0.263,30.168,321.161,354.162
15434499,0.0180806,82.5066014751792,-0.111,0.921,-0.264,29.842,320.110,354.108
15434501,0.0160443,82.5226457752287,-0.113,0.922,-0.266,29.587,319.192,354.078
15434503,0.0157552,82.5384009759873,-0.115,0.922,-0.267,29.358,318.293,354.053
15434504,0.0231624,82.5615633763373,-0.117,0.922,-0.269,29.109,317.348,354.034
15434506,0.0108735,82.572436876595,-0.118,0.923,-0.271,28.905,316.633,353.984
15434507,0.0168905,82.5893273763359,-0.119,0.924,-0.272,28.676,316.009,354.015
15434509,0.0154219,82.6047492763028,-0.120,0.924,-0.274,28.441,315.383,354.141
0,0.0181307,82.6228799754754,-0.121,0.925,-0.276,28.199,314.763,354.315
0,0.0163755,82.6392554761842,-0.123,0.925,-0.277,27.966,314.271,354.508
15434514,0.0174656,82.6567210769281,-0.124,0.926,-0.279,27.674,313.640,354.685
15434516,0.0153674,82.6720884768292,-0.125,0.927,-0.281,27.361,313.013,354.768
15434517,0.0173301,82.6894185775891,-0.127,0.927,-0.282,27.086,312.394,354.829
15434519,0.0200822,82.7095007775351,-0.128,0.928,-0.284,26.868,311.807,354.920
15434521,0.0118696,82.7213703775778,-0.129,0.928,-0.286,26.685,311.150,355.014
15434522,0.0183022,82.7396725779399,-0.130,0.929,-0.288,26.529,310.570,355.081
15434524,0.0155495,82.7552220774814,-0.131,0.930,-0.290,26.337,310.029,355.142
15434526,0.0188748,82.7740968773142,-0.133,0.930,-0.291,26.140,309.609,355.171
