Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
15434327,0.0206256,80.7740998696536,0.001,0.217,0.512,0.000
15434331,0.0303519,80.8044517692178,0.001,0.217,0.512,0.000
15434335,0.0319231,80.8363748695701,0.001,0.217,0.512,0.000
15434339,0.0384234,80.8747982699424,0.001,0.217,0.512,0.000
15434344,0.0473939,80.9221921693534,0.001,0.217,0.512,0.000
15434350,0.0469667,80.9691588710994,0.001,0.217,0.512,0.000
15434358,0.0602514,81.029410270974,0.001,0.217,0.512,0.000
15434367,0.0772757,81.1066859718412,0.001,0.217,0.512,0.000
0,0.096519,81.2032049726695,0.001,0.217,0.512,0.000
15434387,0.1029222,81.3061271738261,0.001,0.217,0.512,0.000
15434397,0.0982488,81.4043759759516,0.001,0.217,0.512,0.000
15434407,0.1019404,81.50631637685,0.001,0.217,0.512,0.000
0,0.1017648,81.6080811750144,0.001,0.217,0.512,0.000
15434418,0.0991972,81.7072783764452,0.001,0.217,0.512,0.000
15434420,0.0094468,81.7167251762003,0.001,0.217,0.512,0.000
0,0.0171844,81.7339095771313,0.001,0.217,0.512,0.000
15434424,0.0164748,81.7503843773156,0.001,0.217,0.512,0.000
15434425,0.0231143,81.7734986767173,0.001,0.217,0.512,0.000
15434427,0.0120699,81.7855685763061,0.001,0.217,0.512,0.000
15434429,0.0177194,81.8032879754901,0.001,0.217,0.512,0.000
15434431,0.0155277,81.8188156755641,0.001,0.217,0.512,0.000
15434432,0.0172663,81.8360819751397,0.001,0.217,0.512,0.000
15434434,0.0169371,81.8530190745369,0.001,0.217,0.512,0.000
15434436,0.020607,81.8736260747537,0.001,0.217,0.512,0.000
15434438,0.0151166,81.8887426750734,0.001,0.217,0.512,0.000
15434440,0.0177378,81.9064804753289,0.001,0.217,0.512,0.000
15434441,0.018907,81.9253874747083,0.001,0.217,0.512,0.000
15434442,0.0138644,81.9392518745735,0.001,0.217,0.512,0.000
15434444,0.0166116,81.9558634748682,0.001,0.217,0.512,0.000
15434446,0.0166846,81.972548074089,0.001,0.217,0.512,0.000
15434447,0.0170024,81.9895504740998,0.001,0.217,0.512,0.000
15434449,0.015665,82.0052154744044,0.001,0.217,0.512,0.000
15434451,0.0187836,82.0239990735427,0.001,0.217,0.512,0.000
15434452,0.0154862,82.0394852738827,0.001,0.217,0.512,0.000
0,0.0163818,82.0558670740575,0.001,0.217,0.512,0.000
0,0.020063,82.0759300738573,0.001,0.217,0.512,0.000
15434457,0.0127378,82.0886678742245,0.001,0.217,0.512,0.000
15434459,0.017253,82.1059208745137,0.001,0.217,0.512,0.000
15434461,0.0169033,82.122824174352,0.001,0.217,0.512,0.000
15434462,0.0164028,82.1392269739881,0.001,0.217,0.512,0.000
15434464,0.0175026,82.1567295743153,0.001,0.217,0.512,0.000
15434466,0.0159677,82.1726972749457,0.001,0.217,0.512,0.000
15434468,0.0182863,82.1909835757688,0.001,0.217,0.512,0.000
15434469,0.0163995,82.2073830766603,0.001,0.217,0.512,0.000
15434471,0.0155011,82.222884176299,0.001,0.217,0.512,0.000
15434473,0.0195502,82.2424343768507,0.001,0.217,0.512,0.000
15434474,0.0134398,82.2558741765097,0.001,0.217,0.512,0.000
0,0.0175105,82.2733846763149,0.001,0.217,0.512,0.000
0,0.0152902,82.2886748760939,0.001,0.217,0.512,0.000
0,0.0177046,82.3063794765621,0.001,0.217,0.512,0.000
0,0.0155851,82.3219645768404,0.001,0.217,0.512,0.000
0,0.017442,82.3394065760076,0.001,0.217,0.512,0.000
0,0.0170664,82.3564729765058,0.001,0.217,0.512,0.000
0,0.0166899,82.3731628768146,0.001,0.217,0.512,0.000
15434487,0.0186394,82.391802277416,0.001,0.217,0.512,0.000
15434489,0.013643,82.4054452776909,0.001,0.217,0.512,0.000
15434491,0.0169237,82.4223689772189,0.001,0.217,0.512,0.000
15434492,0.0164438,82.4388127774,0.001,0.217,0.512,0.000
15434494,0.0174602,82.456272976473,0.001,0.217,0.512,0.000
15434496,0.0160264,82.4722993765026,0.001,0.217,0.512,0.000
15434497,0.0162215,82.4885208755732,0.001,0.217,0.512,0.000
15434499,0.0180806,82.5066014751792,0.001,0.217,0.512,0.000
15434501,0.0160443,82.5226457752287,0.001,0.217,0.512,0.000
15434503,0.0157552,82.5384009759873,0.001,0.217,0.512,0.000
15434504,0.0231624,82.5615633763373,0.001,0.217,0.512,0.000
15434506,0.0108735,82.572436876595,0.001,0.217,0.512,0.000
15434507,0.0168905,82.5893273763359,0.001,0.217,0.512,0.000
15434509,0.0154219,82.6047492763028,0.001,0.217,0.512,0.000
0,0.0181307,82.6228799754754,0.001,0.217,0.512,0.000
0,0.0163755,82.6392554761842,0.001,0.217,0.512,0.000
15434514,0.0174656,82.6567210769281,0.001,0.217,0.512,0.000
15434516,0.0153674,82.6720884768292,0.001,0.217,0.512,0.000
15434518,0.0173301,82.6894185775891,0.001,0.217,0.512,0.000
15434519,0.0200822,82.7095007775351,0.001,0.217,0.512,0.000
15434521,0.0118696,82.7213703775778,0.001,0.217,0.512,0.000
15434522,0.0183022,82.7396725779399,0.001,0.217,0.512,0.000
15434524,0.0155495,82.7552220774814,0.001,0.217,0.512,0.000
15434526,0.0188748,82.7740968773142,0.001,0.217,0.512,0.000
15434527,0.0147853,82.7888821773231,0.001,0.217,0.512,0.000
15434529,0.018996,82.807878177613,0.001,0.217,0.512,0.000
15434531,0.015208,82.8230861779302,0.001,0.217,0.512,0.000
15434532,0.0171129,82.8401990775019,0.001,0.217,0.512,0.000
15434534,0.0202926,82.8604916781187,0.001,0.217,0.512,0.000
15434536,0.0111977,82.8716893782839,0.001,0.217,0.512,0.000
15434537,0.0176068,82.889296178706,0.001,0.217,0.512,0.000
15434539,0.0171366,82.9064327785745,0.001,0.217,0.512,0.000
15434541,0.016931,82.9233637778088,0.001,0.217,0.512,0.000
15434542,0.0152664,82.9386301776394,0.001,0.217,0.512,0.000
15434544,0.0199406,82.9585707774386,0.001,0.217,0.512,0.000
15434546,0.0137156,82.9722863771021,0.001,0.217,0.512,0.000
15434547,0.0175731,82.9898594766855,0.001,0.217,0.512,0.000
15434550,0.0162768,83.0061362758279,0.001,0.217,0.512,0.000
15434551,0.0223379,83.0284741763026,0.001,0.217,0.512,0.000
15434552,0.0105352,83.039009376429,0.001,0.217,0.512,0.000
15434554,0.0161337,83.0551430759951,0.001,0.217,0.512,0.000
15434556,0.0159531,83.0710961753502,0.001,0.217,0.512,0.000
15434557,0.0158316,83.0869277762249,0.001,0.217,0.512,0.000
15434559,0.0183548,83.1052825758234,0.001,0.217,0.512,0.000
15434561,0.0163332,83.1216157758608,0.001,0.217,0.512,0.000
15434562,0.0170696,83.1386853763834,0.001,0.217,0.512,0.000
15434564,0.0158005,83.154485876672,0.001,0.217,0.512,0.000
15434566,0.020434,83.17491987627,0.001,0.217,0.512,0.000
15434567,0.0116202,83.1865400765091,0.001,0.217,0.512,0.000
15434569,0.0180271,83.2045671772212,0.001,0.217,0.512,0.000
15434571,0.0177993,83.2223664764315,0.001,0.217,0.512,0.000
