Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
15435202,0.0206963,89.3426141832024,-0.024,0.909,-0.301,37.046,2.481,0.603
15435203,0.0175944,89.3602085839957,-0.024,0.909,-0.301,37.051,2.519,0.637
15435205,0.0073679,89.3675764841028,-0.024,0.909,-0.302,37.035,2.559,0.689
15435207,0.0233462,89.3909226846881,-0.024,0.908,-0.302,37.042,2.576,0.710
15435209,0.0182598,89.409182483796,-0.024,0.908,-0.302,37.057,2.589,0.722
15435210,0.0165561,89.4257385847159,-0.024,0.908,-0.302,37.093,2.606,0.752
15435212,0.0126776,89.4384161843918,-0.024,0.908,-0.302,37.095,2.592,0.736
15435214,0.0250698,89.463485983666,-0.024,0.908,-0.302,37.128,2.593,0.747
15435216,0.0191201,89.4826060845517,-0.025,0.908,-0.302,37.144,2.569,0.765
15435264,0.1136242,89.9620956811123,-0.025,0.908,-0.297,37.249,2.535,0.695
15435267,0.0165137,89.9786093807779,-0.025,0.908,-0.297,37.234,2.507,0.623
15435271,0.0298997,90.0085090803914,-0.025,0.908,-0.296,37.231,2.505,0.604
15435274,0.0388603,90.0473693790846,-0.024,0.908,-0.296,37.243,2.494,0.590
15435278,0.029937,90.0773063781671,-0.024,0.908,-0.295,37.287,2.506,0.567
15435282,0.0410885,90.1183948772959,-0.024,0.908,-0.294,37.274,2.486,0.543
15435286,0.0405924,90.1589872757904,-0.024,0.908,-0.293,37.325,2.493,0.528
15435288,0.0422524,90.2012396748178,-0.024,0.908,-0.293,37.368,2.478,0.530
15435290,0.0246357,90.2258753753267,-0.024,0.908,-0.293,37.393,2.475,0.526
15435291,0.0146463,90.2405216754414,-0.023,0.908,-0.292,37.425,2.462,0.527
15435293,0.0118724,90.2523940750398,-0.023,0.908,-0.292,37.454,2.459,0.511
15435294,0.0223405,90.2747345757671,-0.023,0.908,-0.292,37.482,2.456,0.544
15435297,0.0104614,90.2851959760301,-0.023,0.908,-0.292,37.538,2.437,0.540
15435298,0.0260762,90.3112721755169,-0.023,0.908,-0.291,37.589,2.437,0.538
15435300,0.0139205,90.3251926754601,-0.023,0.908,-0.291,37.619,2.421,0.535
15435302,0.0118746,90.3370672757737,-0.023,0.908,-0.291,37.652,2.399,0.540
15435304,0.0230366,90.360103874933,-0.023,0.907,-0.290,37.685,2.396,0.539
