Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
15366135,0.0120483,2312.84041848034,3.000,0.000,0.000,False
15366137,0.0124745,2312.85289297998,3.000,0.000,0.000,False
15366139,0.0171683,2312.87006128021,3.000,0.000,0.000,False
15366141,0.019152,2312.88921328075,3.000,0.000,0.000,False
15366143,0.0163212,2312.90553448163,3.000,0.000,0.000,False
15366144,0.0201802,2312.92571468093,3.000,0.000,0.000,False
15366146,0.0174343,2312.94314898178,3.000,0.000,0.000,False
15366148,0.0195221,2312.96267108247,3.000,0.000,0.000,False
15366150,0.0182044,2312.98087548278,3.000,0.000,0.000,False
15366152,0.0211546,2313.00203008205,3.000,0.000,0.000,False
15366154,0.0212413,2313.02327138186,3.000,0.000,0.000,False
15366157,0.023634,2313.04690538161,3.000,0.000,0.000,False
15366159,0.021523,2313.06842838228,3.000,0.000,0.000,False
15366161,0.0204544,2313.08888278157,3.000,0.000,0.000,False
15366164,0.0242693,2313.11315208115,3.000,0.000,0.000,False
15366166,0.0234131,2313.1365651805,3.000,0.000,0.000,False
15366169,0.0257784,2313.16234358028,3.000,0.000,0.000,False
15366172,0.0248411,2313.18718468025,3.000,0.000,0.000,False
15366174,0.0287297,2313.21591437981,3.000,0.000,0.000,False
15366177,0.0276134,2313.24352777936,3.000,0.000,0.000,False
15366180,0.0303096,2313.27383738011,3.000,0.000,0.000,False
15366184,0.0313511,2313.30518848076,3.000,0.000,0.000,False
15366188,0.0341028,2313.339291282,3.000,0.000,0.000,False
15366192,0.0383072,2313.37759848312,3.000,0.000,0.000,False
15366196,0.0381391,2313.41573758423,3.000,0.000,0.000,False
15366201,0.043372,2313.45910958573,3.000,0.000,0.000,False
15366207,0.0492897,2313.50839928538,3.000,0.000,0.000,False
15366214,0.0589104,2313.56730968505,3.000,0.000,0.000,False
15366224,0.0692796,2313.63658928871,3.000,0.000,0.000,False
15366234,0.1009091,2313.73749838769,3.000,0.000,0.000,False
15366235,0.0992785,2313.83677688986,3.000,0.000,0.000,False
15366236,0.011051,2313.84782788996,3.000,0.000,0.000,False
0,0.0174131,2313.86524099018,3.000,0.000,0.000,False
0,0.0169007,2313.88214168977,3.000,0.000,0.000,False
0,0.0175646,2313.8997062901,3.000,0.000,0.000,False
0,0.0163348,2313.91604109015,3.000,0.000,0.000,False
0,0.0165606,2313.93260168936,3.000,0.000,0.000,False
0,0.0167138,2313.94931548927,3.000,0.000,0.000,False
15366248,0.0170592,2313.96637468878,3.000,0.000,0.000,False
15366249,0.0175003,2313.98387498874,3.000,0.000,0.000,False
15366251,0.0157933,2313.99966828804,3.000,0.000,0.000,False
15366253,0.015122,2314.01479028817,3.000,0.000,0.000,False
15366255,0.0170064,2314.03179668728,3.000,0.000,0.000,False
15366256,0.0161495,2314.04794618767,3.000,0.000,0.000,False
15366258,0.0176033,2314.06554948818,3.000,0.000,0.000,False
15366260,0.0158343,2314.08138378803,3.000,0.000,0.000,False
15366261,0.0168783,2314.09826208744,3.000,0.000,0.000,False
15366263,0.0209684,2314.11923048738,3.000,0.000,0.000,False
15366265,0.0114156,2314.13064608723,3.000,0.000,0.000,False
15366266,0.0165886,2314.14723468758,3.000,0.000,0.000,False
15366268,0.0168172,2314.16405188851,3.000,0.000,0.000,False
15366270,0.0170913,2314.18114318885,3.000,0.000,0.000,False
15366271,0.0160125,2314.19715568796,3.000,0.000,0.000,False
15366273,0.0173382,2314.2144938875,3.000,0.000,0.000,False
15366275,0.0166542,2314.23114808835,3.000,0.000,0.000,False
15366276,0.0173203,2314.24846838787,3.000,0.000,0.000,False
15366278,0.0156914,2314.26415978745,3.000,0.000,0.000,False
15366280,0.0163702,2314.28052998707,3.000,0.000,0.000,False
15366281,0.0200808,2314.3006107863,3.000,0.000,0.000,False
15366283,0.0146468,2314.31525758654,3.000,0.000,0.000,False
15366285,0.0159252,2314.33118278719,3.000,0.000,0.000,False
15366286,0.0174746,2314.34865738638,3.000,0.000,0.000,False
15366288,0.0168655,2314.3655228857,3.000,0.000,0.000,False
15366290,0.0187028,2314.38422568515,3.000,0.000,0.000,False
15366291,0.0153253,2314.39955098554,3.000,0.000,0.000,False
15366293,0.0168422,2314.41639318503,3.000,0.000,0.000,False
15366295,0.0167965,2314.43318968453,3.000,0.000,0.000,False
15366296,0.0174403,2314.45062998496,3.000,0.000,0.000,False
15366298,0.0159804,2314.46661038511,3.000,0.000,0.000,False
15366300,0.0225151,2314.4891254846,3.000,0.000,0.000,False
15366301,0.0103684,2314.49949388485,3.000,0.000,0.000,False
0,0.017491,2314.51698488463,3.000,0.000,0.000,False
0,0.0174339,2314.53441878501,3.000,0.000,0.000,False
15366306,0.0152072,2314.54962598532,3.000,0.000,0.000,False
15366308,0.0166575,2314.56628348492,3.000,0.000,0.000,False
15366310,0.0174878,2314.58377128467,3.000,0.000,0.000,False
15366311,0.0153728,2314.59914408438,3.000,0.000,0.000,False
15366313,0.0172938,2314.61643788405,3.000,0.000,0.000,False
15366315,0.017222,2314.63365988433,3.000,0.000,0.000,False
15366316,0.0153115,2314.64897138439,3.000,0.000,0.000,False
15366318,0.0212915,2314.67026288435,3.000,0.000,0.000,False
15366320,0.0145867,2314.68484958448,3.000,0.000,0.000,False
15366321,0.0150052,2314.69985478465,3.000,0.000,0.000,False
15366323,0.0179243,2314.71777908411,3.000,0.000,0.000,False
15366325,0.0156158,2314.7333948845,3.000,0.000,0.000,False
15366326,0.0178524,2314.751247284,3.000,0.000,0.000,False
15366328,0.0153343,2314.76658158377,3.000,0.000,0.000,False
15366329,0.0170547,2314.78363628313,3.000,0.000,0.000,False
15366331,0.0158671,2314.7995033823,3.000,0.000,0.000,False
15366333,0.0170722,2314.81657558307,3.000,0.000,0.000,False
15366335,0.0196899,2314.83626548387,3.000,0.000,0.000,False
15366336,0.0194772,2314.85574268363,3.000,0.000,0.000,False
15366338,0.009878,2314.86562068388,3.000,0.000,0.000,False
15366339,0.0151411,2314.88076178357,3.000,0.000,0.000,False
15366341,0.0170486,2314.89781038277,3.000,0.000,0.000,False
15366343,0.0162779,2314.91408828273,3.000,0.000,0.000,False
15366344,0.0168791,2314.93096738309,3.000,0.000,0.000,False
15366346,0.0171871,2314.94815448299,3.000,0.000,0.000,False
15366348,0.0161216,2314.96427608281,3.000,0.000,0.000,False
15366349,0.0166207,2314.98089678213,3.000,0.000,0.000,False
15366351,0.0165876,2314.99748438224,3.000,0.000,0.000,False
15366353,0.0166337,2315.01411808282,3.000,0.000,0.000,False
15366354,0.0170717,2315.03118978255,3.000,0.000,0.000,False
15366356,0.0182503,2315.04944008216,3.000,0.000,0.000,False
15366358,0.015818,2315.065258082,3.000,0.000,0.000,False
15366359,0.0168776,2315.08213568293,3.000,0.000,0.000,False
15366361,0.0167182,2315.0988538824,3.000,0.000,0.000,False
15366363,0.0175791,2315.11643298157,3.000,0.000,0.000,False
15366365,0.0163045,2315.13273748197,3.000,0.000,0.000,False
15366366,0.0179565,2315.15069398284,3.000,0.000,0.000,False
15366368,0.0170007,2315.16769468226,3.000,0.000,0.000,False
15366369,0.0164986,2315.18419328146,3.000,0.000,0.000,False
15366371,0.014531,2315.19872428104,3.000,0.000,0.000,False
15366373,0.0161227,2315.21484698169,3.000,0.000,0.000,False
15366374,0.0165966,2315.2314435821,3.000,0.000,0.000,False
15366376,0.0164776,2315.24792118184,3.000,0.000,0.000,False
15366378,0.0172154,2315.26513658278,3.000,0.000,0.000,False
15366379,0.0160322,2315.28116878308,3.000,0.000,0.000,False
15366381,0.0176053,2315.29877408221,3.000,0.000,0.000,False
15366383,0.0161545,2315.31492858194,3.000,0.000,0.000,False
15366384,0.0161234,2315.33105198108,3.000,0.000,0.000,False
15366386,0.0171891,2315.34824108146,3.000,0.000,0.000,False
15366388,0.0166305,2315.36487158202,3.000,0.000,0.000,False
15366389,0.0171222,2315.38199378178,3.000,0.000,0.000,False
15366391,0.0165386,2315.39853238128,3.000,0.000,0.000,False
15366393,0.0166839,2315.41521628201,3.000,0.000,0.000,False
15366394,0.0169689,2315.43218518235,3.000,0.000,0.000,False
15366396,0.0172351,2315.44942028262,3.000,0.000,0.000,False
15366398,0.0175342,2315.46695448272,3.000,0.000,0.000,False
15366400,0.0161174,2315.48307188228,3.000,0.000,0.000,False
15366401,0.0167668,2315.49983868189,3.000,0.000,0.000,False
15366403,0.0169563,2315.51679498143,3.000,0.000,0.000,False
15366405,0.0160661,2315.53286108188,3.000,0.000,0.000,False
15366406,0.0171832,2315.55004428141,3.000,0.000,0.000,False
15366408,0.0171235,2315.56716778129,3.000,0.000,0.000,False
15366409,0.0155318,2315.58269958105,3.000,0.000,0.000,False
15366411,0.0162257,2315.59892528038,3.000,0.000,0.000,False
15366413,0.0166315,2315.61555678118,3.000,0.000,0.000,False
15366414,0.0173719,2315.63292868156,3.000,0.000,0.000,False
15366416,0.0164737,2315.64940238092,3.000,0.000,0.000,False
15366418,0.0164258,2315.6658281805,3.000,0.000,0.000,False
15366419,0.0166299,2315.68245808128,3.000,0.000,0.000,False
15366421,0.0166314,2315.6990894815,3.000,0.000,0.000,False
15366423,0.0169699,2315.71605938207,3.000,0.000,0.000,False
15366425,0.0166672,2315.73272658233,3.000,0.000,0.000,False
15366426,0.0178843,2315.75061088149,3.000,0.000,0.000,False
15366428,0.0158948,2315.76650568191,3.000,0.000,0.000,False
15366429,0.021838,2315.78834368195,3.000,0.000,0.000,False
15366431,0.0106414,2315.79898508172,3.000,0.000,0.000,False
15366433,0.0168167,2315.8158017816,3.000,0.000,0.000,False
15366434,0.0163035,2315.83210528176,3.000,0.000,0.000,False
15366436,0.0161934,2315.84829868097,3.000,0.000,0.000,False
15366438,0.0166831,2315.86498178076,3.000,0.000,0.000,False
15366439,0.0163972,2315.88137898128,3.000,0.000,0.000,False
15366441,0.0165488,2315.89792778064,3.000,0.000,0.000,False
15366443,0.0168511,2315.91477887984,3.000,0.000,0.000,False
15366444,0.0159216,2315.93070048001,3.000,0.000,0.000,False
15366446,0.0179992,2315.94869968016,3.000,0.000,0.000,False
15366448,0.0201253,2315.96882497985,3.000,0.000,0.000,False
15366449,0.0120727,2315.98089767993,3.000,0.000,0.000,False
15366451,0.0173114,2315.99820907973,3.000,0.000,0.000,False
15366453,0.0159405,2316.01414958015,3.000,0.000,0.000,False
15366454,0.0169404,2316.03108998016,3.000,0.000,0.000,False
15366456,0.0171719,2316.04826188087,3.000,0.000,0.000,False
15366458,0.016128,2316.06438988075,3.000,0.000,0.000,False
15366459,0.0168411,2316.08123098128,3.000,0.000,0.000,False
15366461,0.0176466,2316.09887758084,3.000,0.000,0.000,False
15366463,0.0153858,2316.11426338088,3.000,0.000,0.000,False
15366464,0.0169626,2316.13122598175,3.000,0.000,0.000,False
15366466,0.0172366,2316.14846258145,3.000,0.000,0.000,False
15366468,0.016647,2316.16510958131,3.000,0.000,0.000,False
15366469,0.0172113,2316.1823208807,3.000,0.000,0.000,False
15366471,0.0169149,2316.1992357811,3.000,0.000,0.000,False
15366473,0.0163663,2316.21560208034,3.000,0.000,0.000,False
15366474,0.017028,2316.23263008054,3.000,0.000,0.000,False
15366476,0.0174577,2316.25008777995,3.000,0.000,0.000,False
15366478,0.0166702,2316.26675797906,3.000,0.000,0.000,False
15366479,0.0166061,2316.28336407896,3.000,0.000,0.000,False
15366481,0.0162628,2316.29962687846,3.000,0.000,0.000,False
15366483,0.0165944,2316.31622127909,3.000,0.000,0.000,False
15366484,0.0172004,2316.33342167828,3.000,0.000,0.000,False
15366486,0.0163675,2316.34978917893,3.000,0.000,0.000,False
15366488,0.0173414,2316.3671305785,3.000,0.000,0.000,False
15366489,0.0167778,2316.38390837889,3.000,0.000,0.000,False
15366491,0.0170034,2316.40091177914,3.000,0.000,0.000,False
15366493,0.0155243,2316.41643607896,3.000,0.000,0.000,False
15366494,0.0169499,2316.43338597845,3.000,0.000,0.000,False
15366496,0.0164244,2316.44981037918,3.000,0.000,0.000,False
15366498,0.0168629,2316.46667327825,3.000,0.000,0.000,False
15366499,0.0164159,2316.48308917787,3.000,0.000,0.000,False
15366501,0.0168423,2316.49993147794,3.000,0.000,0.000,False
15366503,0.0170973,2316.51702877786,3.000,0.000,0.000,False
15366504,0.0161222,2316.53315097746,3.000,0.000,0.000,False
15366506,0.0166561,2316.54980707821,3.000,0.000,0.000,False
15366508,0.018129,2316.56793607865,3.000,0.000,0.000,False
15366509,0.0156974,2316.5836334778,3.000,0.000,0.000,False
15366511,0.0171336,2316.60076707695,3.000,0.000,0.000,False
15366513,0.0164953,2316.6172623774,3.000,0.000,0.000,False
15366514,0.0164472,2316.63370957691,3.000,0.000,0.000,False
15366516,0.0163535,2316.65006307606,3.000,0.000,0.000,False
15366518,0.0166465,2316.66670957673,3.000,0.000,0.000,False
15366519,0.016614,2316.68332357612,3.000,0.000,0.000,False
15366521,0.0170333,2316.70035687555,3.000,0.000,0.000,False
15366523,0.0162228,2316.71657967474,3.000,0.000,0.000,False
15366524,0.016129,2316.73270867486,3.000,0.000,0.000,False
15366526,0.0170673,2316.74977597501,3.000,0.000,0.000,False
15366528,0.0169413,2316.76671727467,3.000,0.000,0.000,False
15366529,0.0165133,2316.78323057387,3.000,0.000,0.000,False
0,0.0177073,2316.80093787331,3.000,0.000,0.000,False
0,0.0158558,2316.81679367367,3.000,0.000,0.000,False
0,0.0172634,2316.83405707311,3.000,0.000,0.000,False
0,0.0163645,2316.85042157304,3.000,0.000,0.000,False
0,0.0166758,2316.86709737312,3.000,0.000,0.000,False
