Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
15366135,0.0120483,2312.84041848034,-0.068,0.953,-0.361,13.051,15.877,0.028
15366137,0.0124745,2312.85289297998,-0.068,0.952,-0.361,13.031,15.885,0.035
15366139,0.0171683,2312.87006128021,-0.069,0.952,-0.361,13.038,15.855,0.127
15366141,0.019152,2312.88921328075,-0.070,0.953,-0.362,12.967,15.894,0.251
15366143,0.0163212,2312.90553448163,-0.072,0.953,-0.362,12.882,15.969,0.379
15366144,0.0201802,2312.92571468093,-0.072,0.953,-0.362,12.805,16.136,0.487
15366146,0.0174343,2312.94314898178,-0.073,0.953,-0.362,12.772,16.313,0.526
15366148,0.0195221,2312.96267108247,-0.074,0.953,-0.362,12.741,16.459,0.526
15366150,0.0182044,2312.98087548278,-0.075,0.953,-0.363,12.729,16.538,0.513
15366152,0.0211546,2313.00203008205,-0.076,0.953,-0.363,12.728,16.587,0.579
15366154,0.0212413,2313.02327138186,-0.077,0.953,-0.363,12.774,16.622,0.814
15366157,0.023634,2313.04690538161,-0.078,0.953,-0.364,12.875,16.722,1.126
15366159,0.021523,2313.06842838228,-0.079,0.953,-0.364,12.942,16.858,1.313
15366161,0.0204544,2313.08888278157,-0.080,0.953,-0.364,12.895,16.967,1.479
15366164,0.0242693,2313.11315208115,-0.081,0.953,-0.365,12.818,17.076,1.590
15366166,0.0234131,2313.1365651805,-0.081,0.953,-0.365,12.811,17.265,1.813
15366169,0.0257784,2313.16234358028,-0.082,0.953,-0.366,12.898,17.411,1.877
15366172,0.0248411,2313.18718468025,-0.082,0.952,-0.366,13.149,17.504,1.832
15366174,0.0287297,2313.21591437981,-0.083,0.952,-0.367,13.592,17.634,1.813
15366177,0.0276134,2313.24352777936,-0.083,0.951,-0.368,13.769,17.805,1.867
15366180,0.0303096,2313.27383738011,-0.083,0.951,-0.368,13.824,17.987,1.775
15366184,0.0313511,2313.30518848076,-0.084,0.951,-0.368,13.649,17.472,1.560
15366188,0.0341028,2313.339291282,-0.085,0.951,-0.368,14.092,16.834,2.469
15366192,0.0383072,2313.37759848312,-0.086,0.951,-0.368,14.235,16.076,2.390
15366196,0.0381391,2313.41573758423,-0.087,0.952,-0.369,13.944,15.389,2.214
15366201,0.043372,2313.45910958573,-0.086,0.952,-0.369,13.788,14.902,2.467
15366207,0.0492897,2313.50839928538,-0.085,0.952,-0.370,13.829,14.653,2.198
15366214,0.0589104,2313.56730968505,-0.085,0.953,-0.372,13.489,14.084,2.200
15366224,0.0692796,2313.63658928871,-0.083,0.950,-0.375,14.613,14.105,3.095
15366234,0.1009091,2313.73749838769,-0.084,0.948,-0.376,15.043,13.472,3.094
15366235,0.0992785,2313.83677688986,-0.084,0.948,-0.376,15.083,13.099,3.230
15366236,0.011051,2313.84782788996,-0.085,0.948,-0.376,15.062,12.629,3.335
0,0.0174131,2313.86524099018,-0.085,0.948,-0.376,15.093,12.122,3.272
0,0.0169007,2313.88214168977,-0.086,0.948,-0.376,15.077,11.700,3.133
0,0.0175646,2313.8997062901,-0.087,0.948,-0.376,14.932,11.413,2.987
0,0.0163348,2313.91604109015,-0.087,0.948,-0.376,14.845,11.359,2.976
0,0.0165606,2313.93260168936,-0.088,0.948,-0.376,14.772,10.782,2.963
0,0.0167138,2313.94931548927,-0.089,0.948,-0.376,14.728,10.196,2.854
15366248,0.0170592,2313.96637468878,-0.090,0.948,-0.376,14.600,9.496,2.777
15366249,0.0175003,2313.98387498874,-0.091,0.948,-0.377,14.488,8.705,2.778
15366251,0.0157933,2313.99966828804,-0.092,0.948,-0.377,14.395,8.026,2.810
15366253,0.015122,2314.01479028817,-0.093,0.948,-0.377,14.323,7.247,2.800
15366255,0.0170064,2314.03179668728,-0.094,0.948,-0.378,14.197,6.511,2.806
15366256,0.0161495,2314.04794618767,-0.095,0.948,-0.378,14.041,5.770,2.792
15366258,0.0176033,2314.06554948818,-0.096,0.949,-0.379,13.919,5.130,2.858
15366260,0.0158343,2314.08138378803,-0.096,0.949,-0.379,13.788,4.350,2.961
15366261,0.0168783,2314.09826208744,-0.096,0.949,-0.380,13.672,3.565,3.056
15366263,0.0209684,2314.11923048738,-0.097,0.949,-0.380,13.566,2.685,3.134
15366265,0.0114156,2314.13064608723,-0.097,0.949,-0.380,13.465,1.923,3.155
15366266,0.0165886,2314.14723468758,-0.096,0.949,-0.380,13.448,1.173,3.180
15366268,0.0168172,2314.16405188851,-0.096,0.949,-0.381,13.514,0.425,3.239
15366270,0.0170913,2314.18114318885,-0.095,0.948,-0.381,13.590,359.693,3.306
15366271,0.0160125,2314.19715568796,-0.094,0.948,-0.381,13.630,359.070,3.371
15366273,0.0173382,2314.2144938875,-0.093,0.948,-0.381,13.649,358.316,3.460
15366275,0.0166542,2314.23114808835,-0.091,0.948,-0.381,13.713,357.574,3.513
15366276,0.0173203,2314.24846838787,-0.090,0.948,-0.381,13.774,356.847,3.559
15366278,0.0156914,2314.26415978745,-0.088,0.948,-0.381,13.796,356.141,3.563
15366279,0.0163702,2314.28052998707,-0.086,0.948,-0.381,13.818,355.426,3.474
15366281,0.0200808,2314.3006107863,-0.084,0.949,-0.381,13.782,354.763,3.409
15366283,0.0146468,2314.31525758654,-0.081,0.949,-0.381,13.662,354.183,3.376
15366285,0.0159252,2314.33118278719,-0.078,0.949,-0.381,13.547,353.605,3.342
15366286,0.0174746,2314.34865738638,-0.075,0.949,-0.380,13.441,353.069,3.321
15366288,0.0168655,2314.3655228857,-0.073,0.949,-0.379,13.368,352.632,3.341
15366290,0.0187028,2314.38422568515,-0.069,0.949,-0.379,13.360,352.217,3.363
15366291,0.0153253,2314.39955098554,-0.066,0.950,-0.378,13.451,351.869,3.415
15366293,0.0168422,2314.41639318503,-0.063,0.950,-0.377,13.553,351.554,3.472
15366295,0.0167965,2314.43318968453,-0.059,0.949,-0.377,13.680,351.231,3.517
15366296,0.0174403,2314.45062998496,-0.056,0.949,-0.376,13.825,350.941,3.567
15366298,0.0159804,2314.46661038511,-0.053,0.949,-0.375,13.983,350.634,3.656
15366300,0.0225151,2314.4891254846,-0.049,0.948,-0.374,14.183,350.263,3.785
15366301,0.0103684,2314.49949388485,-0.045,0.948,-0.373,14.375,349.861,3.912
0,0.017491,2314.51698488463,-0.042,0.947,-0.372,14.587,349.365,4.020
0,0.0174339,2314.53441878501,-0.040,0.946,-0.372,14.850,348.758,4.096
15366306,0.0152072,2314.54962598532,-0.037,0.945,-0.371,15.158,348.053,4.100
15366308,0.0166575,2314.56628348492,-0.035,0.945,-0.371,15.402,347.421,4.074
15366310,0.0174878,2314.58377128467,-0.033,0.944,-0.370,15.647,346.556,4.032
15366311,0.0153728,2314.59914408438,-0.032,0.943,-0.369,15.847,345.603,3.970
15366313,0.0172938,2314.61643788405,-0.030,0.942,-0.369,16.012,344.491,3.932
15366315,0.017222,2314.63365988433,-0.030,0.941,-0.368,16.163,343.304,3.922
15366316,0.0153115,2314.64897138439,-0.029,0.940,-0.368,16.358,341.922,3.938
15366318,0.0212915,2314.67026288435,-0.029,0.939,-0.368,16.649,340.590,3.966
15366320,0.0145867,2314.68484958448,-0.029,0.938,-0.368,17.032,339.253,4.028
15366321,0.0150052,2314.69985478465,-0.029,0.936,-0.369,17.474,337.817,4.073
15366323,0.0179243,2314.71777908411,-0.029,0.935,-0.369,17.876,336.395,4.057
