Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
16301378,0.0119567,128.100267458241,0.000,0.000,0.000,0.000
16301380,0.0245817,128.124849158805,0.000,0.000,0.000,0.000
16301382,0.0157767,128.140625858214,0.000,0.000,0.000,0.000
16301384,0.022123,128.162748857867,0.000,0.000,0.000,0.000
16301387,0.0229952,128.185744057875,0.000,0.000,0.000,0.000
16301389,0.0239174,128.209661457222,0.000,0.000,0.000,0.000
16301392,0.0290254,128.238686857279,0.000,0.000,0.000,0.000
16301395,0.022383,128.261069857981,0.000,0.000,0.000,0.000
16301397,0.0260298,128.287099657115,0.000,0.000,0.000,0.000
16301400,0.0295621,128.316661757883,0.000,0.000,0.000,0.000
16301403,0.0314051,128.348066856619,0.000,0.000,0.000,0.000
16301407,0.0279554,128.376022256445,0.000,0.000,0.000,0.000
16301410,0.0315498,128.407572056632,0.000,0.000,0.000,0.000
16301414,0.0344808,128.442052855622,0.000,0.000,0.000,0.000
16301418,0.0364374,128.478490255307,0.000,0.000,0.000,0.000
16301422,0.0385224,128.517012655269,0.000,0.000,0.000,0.000
16301427,0.0442418,128.561254456174,0.000,0.000,0.000,0.000
16301433,0.0520359,128.613290357869,0.000,0.000,0.000,0.000
16301441,0.0632368,128.676527160686,0.000,0.000,0.000,0.000
16301451,0.0766957,128.753222863656,0.000,0.000,0.000,0.000
16301461,0.101242,128.85446486203,0.000,0.000,0.000,0.000
16301471,0.0991724,128.953637260478,0.000,0.000,0.000,0.000
16301472,0.100133,129.053770262282,0.000,0.000,0.000,0.000
16301473,0.0071964,129.060966662131,0.000,0.000,0.000,0.000
16301475,0.0166357,129.077602361329,0.000,0.000,0.000,0.000
16301477,0.0178559,129.095458260737,0.000,0.000,0.000,0.000
16301478,0.0160421,129.111500361003,0.000,0.000,0.000,0.000
16301480,0.0177706,129.129270960577,0.000,0.000,0.000,0.000
16301482,0.0155969,129.144867860712,0.000,0.000,0.000,0.000
16301483,0.0166443,129.161512161605,0.000,0.000,0.000,0.000
16301485,0.01793,129.179442160763,0.000,0.000,0.000,0.000
16301487,0.0162322,129.19567436073,0.000,0.000,0.000,0.000
16301488,0.0165833,129.212257659994,0.000,0.000,0.000,0.000
16301490,0.0149298,129.227187460288,0.000,0.000,0.000,0.000
16301492,0.0175787,129.244766160846,0.000,0.000,0.000,0.000
16301493,0.0160858,129.260851960629,0.000,0.000,0.000,0.000
16301495,0.0185785,129.279430460185,0.000,0.000,0.000,0.000
16301497,0.0148094,129.294239860028,0.000,0.000,0.000,0.000
16301499,0.0174635,129.311703359708,0.000,0.000,0.000,0.000
16301500,0.0168453,129.328548660502,0.000,0.000,0.000,0.000
16301502,0.0171557,129.345704359934,0.000,0.000,0.000,0.000
16301504,0.0167214,129.362425759435,0.000,0.000,0.000,0.000
16301505,0.0164539,129.378879658878,0.000,0.000,0.000,0.000
16301507,0.0175966,129.396476259455,0.000,0.000,0.000,0.000
16301508,0.0162499,129.412726160139,0.000,0.000,0.000,0.000
16301510,0.0172776,129.430003760383,0.000,0.000,0.000,0.000
16301512,0.0158083,129.445812059566,0.000,0.000,0.000,0.000
16301513,0.016768,129.462580058724,0.000,0.000,0.000,0.000
16301515,0.0168488,129.479428859428,0.000,0.000,0.000,0.000
0,0.0167929,129.496221760288,0.000,0.000,0.000,0.000
0,0.0181626,129.514384360984,0.000,0.000,0.000,0.000
0,0.0149776,129.529361961409,0.000,0.000,0.000,0.000
0,0.0182226,129.547584561631,0.000,0.000,0.000,0.000
0,0.0159093,129.563493860886,0.000,0.000,0.000,0.000
0,0.017077,129.580570861697,0.000,0.000,0.000,0.000
0,0.0174916,129.598062461242,0.000,0.000,0.000,0.000
0,0.0162893,129.614351760596,0.000,0.000,0.000,0.000
0,0.0159165,129.630268260837,0.000,0.000,0.000,0.000
16301532,0.0178082,129.648076461628,0.000,0.000,0.000,0.000
16301534,0.0166311,129.664707561955,0.000,0.000,0.000,0.000
16301535,0.0157705,129.680478062481,0.000,0.000,0.000,0.000
