Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
16305477,0.1065661,168.97169891838,0.088,1.188,-0.491,31.920,2.184,2.579
16305480,0.0096181,168.981317018159,0.088,1.188,-0.490,31.938,2.155,2.570
16305483,0.0300319,169.011348919012,0.088,1.188,-0.490,31.860,2.096,2.558
16305487,0.0292309,169.04057981912,0.088,1.188,-0.490,31.837,2.078,2.560
16305490,0.0391669,169.079746720381,0.088,1.188,-0.490,31.840,2.094,2.578
16305492,0.0331474,169.112894118764,0.088,1.189,-0.490,31.799,2.089,2.615
16305494,0.0217717,169.134665817954,0.088,1.189,-0.490,31.759,2.096,2.611
16305496,0.0125525,169.147218317725,0.088,1.189,-0.490,31.722,2.072,2.603
16305498,0.0159525,169.163170817308,0.088,1.189,-0.489,31.684,2.052,2.580
16305499,0.0263111,169.189481916837,0.088,1.189,-0.489,31.695,2.049,2.572
16305502,0.0125319,169.202013816684,0.088,1.189,-0.489,31.709,2.056,2.574
16305503,0.0219611,169.223974917084,0.088,1.189,-0.489,31.710,2.048,2.577
16305505,0.011659,169.235633917153,0.088,1.189,-0.489,31.705,2.058,2.571
16305506,0.0223006,169.257934516296,0.088,1.189,-0.489,31.690,2.069,2.582
16305509,0.0104141,169.268348616548,0.088,1.189,-0.489,31.673,2.069,2.602
16305512,0.0269357,169.295284316875,0.088,1.188,-0.488,31.772,2.062,2.616
16305513,0.0301547,169.325439016335,0.087,1.188,-0.488,31.818,2.070,2.602
16305515,0.0109737,169.336412716657,0.087,1.188,-0.488,31.834,2.066,2.616
16305516,0.0229397,169.35935241729,0.087,1.188,-0.488,31.848,2.067,2.625
16305518,0.0104223,169.369774716906,0.087,1.188,-0.488,31.870,2.042,2.607
16305520,0.022791,169.392565716989,0.087,1.188,-0.487,31.913,2.013,2.573
16305522,0.0112792,169.403844917193,0.087,1.188,-0.487,31.948,2.001,2.534
16305523,0.020566,169.424410916865,0.087,1.188,-0.487,31.979,2.000,2.511
16305525,0.0114217,169.435832616873,0.087,1.188,-0.487,31.989,1.999,2.485
16305526,0.0270253,169.46285791602,0.087,1.188,-0.486,31.978,2.029,2.514
16305528,0.0076656,169.470523516182,0.087,1.188,-0.486,31.958,2.054,2.537
16305530,0.0213141,169.491837615613,0.087,1.188,-0.486,31.925,2.074,2.567
16305532,0.0172638,169.509101415519,0.087,1.188,-0.486,31.890,2.089,2.580
16305533,0.0175075,169.526608914603,0.087,1.188,-0.486,31.877,2.091,2.572
16305535,0.0168295,169.543438414577,0.087,1.188,-0.486,31.857,2.070,2.542
16305537,0.012208,169.555646414403,0.087,1.189,-0.485,31.847,2.062,2.541
16305539,0.0224483,169.578094713856,0.087,1.189,-0.485,31.818,2.042,2.534
16305540,0.0157379,169.593832614366,0.087,1.189,-0.485,31.800,2.033,2.518
16305542,0.0104686,169.604301214684,0.087,1.189,-0.485,31.761,2.045,2.506
16305543,0.0227043,169.627005514223,0.087,1.189,-0.485,31.707,2.046,2.510
16305545,0.0166296,169.643635115121,0.087,1.189,-0.485,31.618,2.051,2.519
16305547,0.0170897,169.660724815447,0.087,1.189,-0.485,31.542,2.055,2.524
16305549,0.01584,169.676564814989,0.087,1.190,-0.485,31.446,2.049,2.496
16305550,0.0169858,169.693550615106,0.087,1.190,-0.485,31.331,2.079,2.501
16305552,0.0170441,169.710594716016,0.087,1.191,-0.485,31.199,2.078,2.493
16305553,0.0175728,169.728167515714,0.087,1.191,-0.485,31.035,2.069,2.468
16305554,0.015318,169.743485515472,0.087,1.191,-0.485,30.866,2.058,2.439
16305557,0.0121984,169.755683915224,0.087,1.192,-0.485,30.690,2.046,2.401
16305558,0.0232824,169.778966314625,0.088,1.192,-0.486,30.518,2.046,2.355
16305560,0.0153377,169.794304014649,0.087,1.193,-0.486,30.350,2.077,2.353
0,0.0167395,169.811043515336,0.087,1.193,-0.486,30.091,2.089,2.341
16305563,0.0171519,169.828195414972,0.087,1.194,-0.486,29.732,2.063,2.317
0,0.0165569,169.844752314966,0.087,1.195,-0.486,29.357,2.042,2.318
0,0.0098599,169.854612214956,0.087,1.196,-0.486,29.052,2.029,2.340
0,0.021916,169.876528215129,0.087,1.197,-0.486,28.759,2.028,2.339
0,0.0140539,169.890582114924,0.087,1.197,-0.486,28.443,2.041,2.312
0,0.0189647,169.909546815325,0.087,1.198,-0.487,28.108,2.017,2.297
0,0.0166257,169.926172515843,0.087,1.199,-0.487,27.711,1.984,2.333
16305575,0.0183362,169.944508715067,0.087,1.200,-0.487,27.386,1.925,2.366
16305576,0.0157974,169.960306115914,0.087,1.201,-0.488,27.064,1.878,2.373
0,0.0175896,169.977895716671,0.086,1.202,-0.488,26.738,1.814,2.326
0,0.0162995,169.99419521587,0.086,1.203,-0.488,26.428,1.727,2.256
16305582,0.012713,170.006908216048,0.086,1.204,-0.488,26.084,1.635,2.224
16305584,0.0216546,170.028562816326,0.086,1.204,-0.489,25.694,1.552,2.198
16305585,0.0173088,170.045871615876,0.085,1.205,-0.489,25.295,1.474,2.214
16305587,0.0091903,170.055061915424,0.085,1.206,-0.490,24.903,1.398,2.241
16305588,0.0232013,170.078263215255,0.085,1.207,-0.490,24.495,1.306,2.238
16305590,0.0151494,170.093412614893,0.085,1.208,-0.491,24.072,1.197,2.222
16305592,0.0138413,170.107253915165,0.084,1.209,-0.491,23.631,1.073,2.216
16305593,0.0194473,170.126701215748,0.084,1.210,-0.492,23.210,0.925,2.208
16305595,0.0166516,170.143352816347,0.084,1.211,-0.492,22.836,0.775,2.199
16305597,0.0119492,170.15530201653,0.083,1.212,-0.493,22.483,0.638,2.199
16305598,0.0219574,170.177259415854,0.083,1.213,-0.493,22.094,0.529,2.172
16305600,0.01575,170.193009416107,0.083,1.214,-0.494,21.594,0.406,2.120
16305602,0.0122252,170.205234616529,0.083,1.215,-0.494,21.074,0.288,2.081
16305604,0.0233764,170.22861101618,0.083,1.216,-0.495,20.631,0.150,2.086
16305605,0.0157736,170.244384616148,0.082,1.217,-0.495,20.262,0.051,2.123
16305607,0.0107,170.255084616598,0.082,1.218,-0.496,19.879,359.929,2.157
16305608,0.0237908,170.278875415679,0.082,1.219,-0.497,19.523,359.827,2.172
16305610,0.0105574,170.289432815742,0.082,1.220,-0.497,19.128,359.719,2.159
16305612,0.0227801,170.312212915625,0.082,1.220,-0.498,18.782,359.640,2.160
16305614,0.0175692,170.32978211483,0.082,1.221,-0.499,18.441,359.572,2.096
16305615,0.014943,170.344725114759,0.082,1.222,-0.500,18.115,359.531,2.065
16305617,0.0172232,170.361948314589,0.082,1.223,-0.500,17.844,359.489,2.023
16305619,0.0181261,170.38007441489,0.082,1.223,-0.501,17.608,359.496,2.000
16305620,0.0139449,170.394019314554,0.082,1.224,-0.502,17.401,359.512,1.996
16305621,0.0183569,170.412376215216,0.082,1.224,-0.503,17.212,359.546,2.009
16305624,0.0113667,170.423742915038,0.082,1.224,-0.503,17.083,359.574,2.046
16305625,0.0237034,170.447446315084,0.082,1.225,-0.504,16.992,359.634,2.087
16305627,0.0095798,170.457026115153,0.082,1.225,-0.504,16.939,359.718,2.107
16305628,0.0229775,170.480003614444,0.082,1.225,-0.505,16.845,359.784,2.100
16305630,0.0104149,170.490418514702,0.083,1.226,-0.505,16.757,359.844,2.088
16305632,0.0221411,170.512559615541,0.083,1.226,-0.506,16.670,359.905,2.077
16305633,0.0149636,170.527523215394,0.083,1.226,-0.506,16.585,359.928,2.074
16305635,0.0131129,170.540636115242,0.083,1.226,-0.506,16.488,359.977,2.055
16305637,0.0234885,170.564124614466,0.083,1.226,-0.507,16.379,0.005,2.017
16305638,0.0144526,170.578577214386,0.083,1.227,-0.507,16.300,0.031,1.981
16305640,0.0116693,170.590246513952,0.083,1.227,-0.507,16.235,0.049,1.938
16305642,0.0220248,170.61227131309,0.083,1.227,-0.508,16.204,0.081,1.921
16305643,0.0164521,170.628723413218,0.084,1.227,-0.508,16.204,0.090,1.899
16305645,0.0122415,170.640964913648,0.084,1.227,-0.508,16.228,0.102,1.886
16305647,0.0228334,170.663798313122,0.084,1.227,-0.509,16.261,0.120,1.845
16305648,0.0143986,170.678196913097,0.083,1.227,-0.509,16.248,0.103,1.800
16305650,0.0181,170.696296914015,0.083,1.227,-0.509,16.242,0.066,1.763
16305652,0.0117613,170.708058214281,0.083,1.227,-0.510,16.235,0.004,1.753
16305653,0.0198781,170.727936314885,0.083,1.227,-0.510,16.241,359.929,1.738
16305655,0.0118184,170.739754714537,0.083,1.227,-0.510,16.233,359.865,1.717
16305656,0.0238414,170.763596114237,0.083,1.227,-0.510,16.198,359.789,1.665
16305658,0.0096071,170.773203214165,0.083,1.227,-0.511,16.139,359.707,1.636
16305660,0.0227378,170.795941013377,0.083,1.227,-0.511,16.076,359.620,1.618
16305661,0.0109779,170.806918913033,0.082,1.227,-0.511,16.022,359.524,1.619
16305663,0.0165549,170.823473812547,0.082,1.227,-0.512,15.979,359.439,1.630
16305665,0.0219013,170.845375112724,0.082,1.227,-0.512,15.946,359.360,1.617
16305667,0.0125819,170.857957012486,0.082,1.227,-0.512,15.904,359.290,1.572
16305668,0.0208324,170.878789413255,0.082,1.228,-0.513,15.818,359.217,1.533
16305670,0.0125772,170.891366613563,0.081,1.228,-0.513,15.712,359.129,1.520
16305672,0.0234549,170.914821514394,0.081,1.228,-0.514,15.626,359.048,1.492
16305673,0.0136842,170.928505714517,0.081,1.228,-0.514,15.560,358.981,1.457
16305675,0.0119449,170.940450614784,0.081,1.228,-0.514,15.478,358.923,1.406
16305677,0.0215837,170.962034315337,0.081,1.229,-0.515,15.359,358.841,1.331
16305678,0.0167394,170.97877371544,0.081,1.229,-0.515,15.237,358.705,1.250
16305680,0.012569,170.991342715453,0.081,1.229,-0.515,15.145,358.580,1.185
16305682,0.0217106,171.013053316157,0.080,1.229,-0.516,15.093,358.445,1.094
16305683,0.0154749,171.028528215829,0.080,1.229,-0.516,15.059,358.329,0.989
16305685,0.0138926,171.042420816142,0.080,1.229,-0.516,15.025,358.210,0.881
16305687,0.0203784,171.062799215782,0.080,1.229,-0.516,14.977,358.071,0.790
16305688,0.0169986,171.079797815997,0.080,1.229,-0.517,14.936,357.942,0.733
16305690,0.0118317,171.091629515868,0.080,1.230,-0.517,14.890,357.865,0.689
16305691,0.0203545,171.111984015908,0.080,1.230,-0.517,14.866,357.753,0.627
16305693,0.0119211,171.123905116227,0.080,1.230,-0.517,14.837,357.697,0.562
16305695,0.0216912,171.145596315619,0.080,1.230,-0.517,14.791,357.639,0.494
16305697,0.0177894,171.16338571487,0.080,1.230,-0.518,14.718,357.574,0.447
16305698,0.0154293,171.178815015126,0.080,1.230,-0.518,14.654,357.490,0.434
16305700,0.0131249,171.191939915065,0.080,1.231,-0.518,14.628,357.423,0.417
16305702,0.0191259,171.211065814365,0.079,1.231,-0.518,14.602,357.355,0.389
16305703,0.0177064,171.228772214148,0.079,1.231,-0.518,14.631,357.295,0.368
16305705,0.0123335,171.241105714347,0.079,1.231,-0.518,14.646,357.219,0.272
16305707,0.0212948,171.262400514912,0.079,1.231,-0.519,14.679,357.167,0.130
16305708,0.0157157,171.278116214555,0.079,1.231,-0.519,14.690,357.076,359.962
16305710,0.0118272,171.289943414275,0.079,1.231,-0.519,14.717,356.964,359.784
16305711,0.0227851,171.312728513498,0.079,1.231,-0.519,14.733,356.810,359.598
16305714,0.0097259,171.322454413865,0.079,1.231,-0.519,14.745,356.627,359.415
16305715,0.025636,171.348090414424,0.079,1.230,-0.519,14.793,356.417,359.169
16305717,0.008037,171.356127414387,0.079,1.230,-0.520,14.816,356.237,358.957
16305718,0.0219512,171.378078614827,0.079,1.230,-0.520,14.842,356.070,358.798
16305720,0.0107287,171.388807314914,0.079,1.230,-0.520,14.871,355.927,358.684
16305721,0.0248196,171.413626914378,0.079,1.230,-0.520,14.924,355.816,358.609
16305723,0.0091926,171.422819514293,0.078,1.230,-0.520,14.992,355.747,358.561
16305725,0.022737,171.445556514431,0.079,1.230,-0.520,15.109,355.736,358.581
16305727,0.0106725,171.456229014788,0.079,1.230,-0.520,15.213,355.758,358.583
16305728,0.0224343,171.4786633146,0.079,1.229,-0.520,15.271,355.801,358.619
16305730,0.0171647,171.495828014333,0.079,1.229,-0.520,15.295,355.853,358.662
16305731,0.0160575,171.511885514949,0.079,1.229,-0.520,15.334,355.943,358.709
16305733,0.011928,171.523813514505,0.079,1.229,-0.520,15.399,356.023,358.723
16305735,0.0217197,171.54553321423,0.079,1.229,-0.521,15.467,356.131,358.743
16305737,0.0114042,171.556937414687,0.079,1.229,-0.521,15.490,356.227,358.754
16305738,0.0242455,171.581182915252,0.079,1.229,-0.521,15.506,356.313,358.768
16305740,0.0101911,171.59137401497,0.079,1.229,-0.521,15.514,356.395,358.779
