Timestamp,Participant Number,Age,Gender,Nationality,Handedness,Vision,VR,AR,MISC_0,MISC_1,Condition_1,Hand_1,I was able to control the robot,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,Comment_1,MISC_2,Condition_2,Hand_2,I was able to control the robot,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,Comment_2,Did you notice a difference between the two control conditions? Please elaborate.,Which control condition did you prefer? Please explain why.,"Did you notice a difference in how you executed the task using condition 1 (disconnected) , versus using condition 2 (connected)? Please elaborate",Do you have any other thoughts?
1/20/2021 15:52:12,0,25,Male,Dutch,Right,No,Sometimes,Once or Twice,0,2,2,Right,1,2,3,2,5,2,5,2,1,2,2,2,"My arm got tired pretty quickly. Furthermore, the field of view was sometimes obstructed by my arm causing to miss the spawn of blocks on the right side. ",4,1,Right,,4,2,2,4,4,4,2,2,2,2,3,Less physically stressing than the situating control condition.,Yes,Disconnected control condition: It was physically easier to sustain the movements. ,"I was less focused on the interaction between my hand and the robot in the disconnected control situation, subjectively making it feel easier to control the robot.",
1/29/2021 15:47:49,1,24,Male,Dutch,Right,No,Once or Twice,Never,0,0,1,Right,1,5,1,1,1,5,1,1,5,1,5,1,,0,0,Right,2,4,2,1,2,4,2,2,4,1,4,1,,"Yes, situated control was a bit harder to control and for me more arm muscles were needed.",Disconnected control. Was easier to control and required less muscle activity.,A little bit of a difference. With situated control I made more mistakes which cost time,no
2/2/2021 16:48:49,2,25,Female,Dutch,Cross-dominant,No,Never,Never,0,0,2,Right,1,5,1,1,1,5,1,1,5,1,5,3,,0,1,Right,1,5,1,1,1,5,1,1,5,1,5,3,,The distance,"De eerste, vond ik overzichtelijker","Niet een heel groot verschil, bij de eerste moest ik mn arm meer strekken, waardoor ik het idee had dat hij hem wat beter pakte",
2/17/2021 12:05:48,3,27,Male,Dutch,Right,No,Once or Twice,Never,0,0,1,Right,1,5,2,2,2,5,1,1,5,2,4,2,,0,2,Right,3,4,3,2,3,4,3,2,3,2,3,3,,"Yes, the first one felt more like a controller of the robot arm while the second one was more like being the robot arm itself. ","1, less glitches, hands did not obstruct the view of the robot-arm, you didn't have to look down as much as in condition 2.","Yes, in condition 2 I was trying to get the best tracking of my hand. In condition 1 I was just hitting the blocks without thinking.",Well done
2/17/2021 15:14:27,4,23,Male,Dutch,Right,Lensses,Once or Twice,Never,0,1,2,Right,2,5,2,2,3,4,2,3,3,1,3,1,Cool concept,1,1,Right,1,5,2,2,2,4,2,2,4,1,3,1,"Felt really natural in the middle visible area, a bit less on the sides","The disconnected one felt a bit smoother, but that could be because after a while you get used to the movements. ",The disconnected one because I could see more of the stuff I was doing instead of blocking it with my own hand. Felt like I was more in control,"In the disconnected experiment it started to feel like a reflex movement, where the connected experiment asked more of my actual focus",At both experiments it felt like reaching to a red block that was on the far sides was a larger distance than I estimated. Sometimes I missed the block because of that
2/18/2021 11:10:50,5,36,Male,Dutch,Right,No*,Never,Never,0,1,1,Right,1,5,2,1,3,5,2,1,3,2,4,3,,1,2,Right,1,5,1,2,2,4,2,1,4,2,4,3,,Tweede conditie had ik het gevoel meer directe controle te hebben omdat mijn hand dichterbij was ,Tweede conditie: omdat voor mij gevoel de controle directer was,In conditie 1 leek ik een kleine vertraging te voelen tussen mijn hand beweging en de robot,
2/18/2021 16:24:48,6,27,Male,Dutch,Right,No,Sometimes,Once or Twice,2,3,2,Right,2,4,3,3,2,4,3,3,3,3,4,3,voelde vrij direct. Misschien beetje delay (minimaal),4,1,Right,3,2,4,3,4,3,4,4,3,4,2,3,,"Of course. One was direct 1-to-1, the other was more disconnected from my hand","connected felt better in control ease. Disconnected was more playful, but took more effort to control.",Yes. Performance in connected was likely better. Felt like effort was lower in disconnected. ,not sure which to like more. Depends on the task I guess...
2/19/2021 10:46:48,7,30,Male,Dutch,Right,No,Sometimes,Once or Twice,0,0,1,Right,4,4,2,1,2,5,1,1,5,1,4,1,,0,2,Right,2,4,2,1,1,5,1,1,5,1,5,1,,First condition feels more natural for my arm,first condition because the second condition felt too close,I feel like the first condition was more accurate/reliable,introduce a third condition with the experiment surface on the actual table
2/19/2021 13:51:40,8,26,Female,Dutch,Right,No,Never,Never,0,0,2,Right,2,4,2,2,3,4,2,2,3,3,4,2,,0,1,Right,2,4,2,2,1,4,2,2,4,3,4,3,,"Nummer 1 was rustiger voor je ogen, je kon meer naar voren kijken. Was wel even inkomen met aansturen maar na een paar bewegingen ging dat prima. ","Nummer 1, zie hierboven",Verwacht dat ik bij 2 iets beter was (ook al vond ik deze minder fijn) maar wellicht was ik ook strenger voor mezelf bij condition 1 die ik als tweede test uitvoerde dus me daar meer ergerde als ik niet snel op de goede plek was. ,Succes!
2/19/2021 14:40:35,9,19,Male,Dutch,Right,Glasses,Once or Twice,Never,0,2,1,Right,2,4,1,1,2,5,2,2,4,2,4,3,The red boxes on the edge were farther away than my brain calculated for my hands,3,2,Right,1,5,1,1,3,4,3,1,4,1,5,2,"Je moest voor dit experiment redelijk veel naar  beneden kijken, wat wel zwaar werd voor je nek naar verloop van tijd.","De eerste condition wa moeilijker te controleren dan de tweede, maar bij de tweede moest je iets te veel naar beneden kijken","Voor mij werkte de tweede beter, omdat ik de hele tijd ook mijn vingers zag, wat toch het orrienteren makkelijker maakte","Volgens mij heb ik de taak bij de tweede conditie beter gedaan, vooral bij de blokken aan de randen",
